Time_ms,Absolute_Displacement_nm
0.000,14396962515.575
1.000,14396962515.575
2.000,14396962515.575
3.000,14396962515.575
4.000,14396962515.575
5.000,14396962515.575
6.000,14396962515.575
7.000,14396962515.575
8.000,14396962515.575
9.000,14396962515.575
10.000,14396962515.575
11.000,14396962515.575
12.000,14396962515.575
13.000,14396962515.575
14.000,14396962515.575
15.000,14396962515.575
16.000,14396962515.575
17.000,14396962515.575
18.000,14396962515.575
19.000,14396962515.575
20.000,14396962515.575
21.000,14396962515.575
22.000,14396962515.575
23.000,14396962515.575
24.000,14396962515.575
25.000,14396962515.575
26.000,14396962515.575
27.000,14396962515.575
28.000,14396962515.575
29.000,14396962515.575
30.000,14396962515.575
31.000,14396962515.575
32.000,14396962515.575
33.000,14396962515.575
34.000,14396962515.575
35.000,14396962515.575
36.000,14396962515.575
37.000,14396962515.575
38.000,14396962515.575
39.000,14396962515.575
40.000,14396962515.575
41.000,14396962515.575
42.000,14396962515.575
43.000,14396962515.575
44.000,14396962515.575
45.000,14396962515.575
46.000,14396962515.575
47.000,14396962515.575
48.000,14396962515.575
49.000,14396962515.575
50.000,14396962515.575
51.000,14396962515.575
52.000,14396962515.575
53.000,14396962515.575
54.000,14396962515.575
55.000,14396962515.575
56.000,14396962515.575
57.000,14396962515.575
58.000,14396962515.575
59.000,14396962515.575
60.000,14396962515.575
61.000,14396962515.575
62.000,14396962515.575
63.000,14396962515.575
64.000,14396962515.575
65.000,14396962515.575
66.000,14396962515.575
67.000,14396962515.575
68.000,14396962515.575
69.000,14396962515.575
70.000,14396962515.575
71.000,14396962515.575
72.000,14396962515.575
73.000,14396962515.575
74.000,14396962515.575
75.000,14396962515.575
76.000,14396962515.575
77.000,14396962515.575
78.000,14396962515.575
79.000,14396962515.575
80.000,14396962515.575
81.000,14396962515.575
82.000,14396962515.575
83.000,14396962515.575
84.000,14396962515.575
85.000,14396962515.575
86.000,14396962515.575
87.000,14396962515.575
88.000,14396962515.575
89.000,14396962515.575
90.000,14396962515.575
91.000,14396962515.575
92.000,14396962515.575
93.000,14396962515.575
94.000,14396962515.575
95.000,14396962515.575
96.000,14396962515.575
97.000,14396962515.575
98.000,14396962515.575
99.000,14396962515.575
100.000,14396962515.575
101.000,14396962515.575
102.000,14396962515.575
103.000,14396962515.575
104.000,14396962515.575
105.000,14396962515.575
106.000,14396962515.575
107.000,14396962515.575
108.000,14396962515.575
109.000,14396962515.575
110.000,14396962515.575
111.000,14396962515.575
112.000,14396962515.575
113.000,14396962515.575
114.000,14396962515.575
115.000,14396962515.575
116.000,14396962515.575
117.000,14396962515.575
118.000,14396962515.575
119.000,14396962515.575
120.000,14396962515.575
121.000,14396962515.575
122.000,14396962515.575
123.000,14396962515.575
124.000,14396962515.575
125.000,14396962515.575
126.000,14396962515.575
127.000,14396962515.575
128.000,14396962515.575
129.000,14396962515.575
130.000,14396962515.575
131.000,14396962515.575
132.000,14396962515.575
133.000,14396962515.575
134.000,14396962515.575
135.000,14396962515.575
136.000,14396962515.575
137.000,14396962515.575
138.000,14396962515.575
139.000,14396962515.575
140.000,14396962515.575
141.000,14396962515.575
142.000,14396962515.575
143.000,14396962515.575
144.000,14396962515.575
145.000,14396962515.575
