Time_ms,Absolute_Displacement_nm
0.000,14403304614.379
1.000,14403304614.379
2.000,14403304614.379
3.000,14403304614.379
4.000,14403304614.379
5.000,14403304535.255
6.000,14403304535.255
7.000,14403304535.255
8.000,14403304535.255
9.000,14403304535.255
10.000,14403304535.255
11.000,14403304535.255
12.000,14403304535.255
13.000,14403304535.255
14.000,14403304535.255
15.000,14403304456.131
16.000,14403304456.131
17.000,14403304456.131
18.000,14403304456.131
19.000,14403304456.131
20.000,14403304456.131
21.000,14403304456.131
22.000,14403304456.131
23.000,14403304377.007
24.000,14403304377.007
25.000,14403304377.007
26.000,14403304377.007
27.000,14403304377.007
28.000,14403304377.007
29.000,14403304377.007
30.000,14403304377.007
31.000,14403304377.007
32.000,14403304297.883
33.000,14403304297.883
34.000,14403304297.883
35.000,14403304297.883
36.000,14403304297.883
37.000,14403304297.883
38.000,14403304297.883
39.000,14403304297.883
40.000,14403304218.759
41.000,14403304218.759
42.000,14403304218.759
43.000,14403304218.759
44.000,14403304218.759
45.000,14403304218.759
46.000,14403304218.759
47.000,14403304218.759
48.000,14403304139.635
49.000,14403304139.635
50.000,14403304139.635
51.000,14403304139.635
52.000,14403304139.635
53.000,14403304139.635
54.000,14403304139.635
55.000,14403304218.759
56.000,14403304218.759
57.000,14403304218.759
58.000,14403304218.759
59.000,14403304218.759
60.000,14403304218.759
61.000,14403304218.759
62.000,14403304218.759
63.000,14403304218.759
64.000,14403304297.883
65.000,14403304297.883
66.000,14403304297.883
67.000,14403304297.883
68.000,14403304297.883
69.000,14403304297.883
70.000,14403304297.883
71.000,14403304297.883
72.000,14403304297.883
73.000,14403304377.007
74.000,14403304377.007
75.000,14403304377.007
76.000,14403304377.007
77.000,14403304377.007
78.000,14403304377.007
79.000,14403304377.007
80.000,14403304377.007
81.000,14403304456.131
82.000,14403304456.131
83.000,14403304456.131
84.000,14403304456.131
85.000,14403304456.131
86.000,14403304456.131
87.000,14403304456.131
88.000,14403304456.131
89.000,14403304535.255
90.000,14403304535.255
91.000,14403304535.255
92.000,14403304535.255
93.000,14403304535.255
94.000,14403304535.255
95.000,14403304535.255
96.000,14403304535.255
97.000,14403304535.255
98.000,14403304614.379
99.000,14403304614.379
100.000,14403304614.379
101.000,14403304614.379
102.000,14403304614.379
103.000,14403304614.379
104.000,14403304614.379
105.000,14403304535.255
106.000,14403304535.255
107.000,14403304535.255
108.000,14403304535.255
109.000,14403304535.255
110.000,14403304535.255
111.000,14403304535.255
112.000,14403304535.255
113.000,14403304535.255
114.000,14403304535.255
115.000,14403304456.131
116.000,14403304456.131
117.000,14403304456.131
118.000,14403304456.131
119.000,14403304456.131
120.000,14403304456.131
121.000,14403304456.131
122.000,14403304456.131
123.000,14403304456.131
124.000,14403304377.007
125.000,14403304377.007
126.000,14403304377.007
127.000,14403304377.007
128.000,14403304377.007
129.000,14403304377.007
130.000,14403304377.007
131.000,14403304377.007
132.000,14403304297.883
133.000,14403304297.883
134.000,14403304297.883
135.000,14403304297.883
136.000,14403304297.883
137.000,14403304297.883
138.000,14403304297.883
139.000,14403304297.883
140.000,14403304218.759
141.000,14403304218.759
142.000,14403304218.759
143.000,14403304218.759
144.000,14403304218.759
145.000,14403304218.759
146.000,14403304218.759
147.000,14403304218.759
148.000,14403304218.759
149.000,14403304139.635
150.000,14403304139.635
