Time_ms,Absolute_Displacement_nm
0.000,3085.833
1.000,3085.833
2.000,3164.957
3.000,3164.957
4.000,3164.957
5.000,3164.957
6.000,3164.957
7.000,3085.833
8.000,3085.833
9.000,3085.833
10.000,3164.957
11.000,3164.957
12.000,3164.957
13.000,3164.957
14.000,3164.957
15.000,3085.833
16.000,3085.833
17.000,3085.833
18.000,3164.957
19.000,3164.957
20.000,3164.957
21.000,3164.957
22.000,3164.957
23.000,3085.833
24.000,3085.833
25.000,3085.833
26.000,3085.833
27.000,3164.957
28.000,3164.957
29.000,3164.957
30.000,3164.957
31.000,3164.957
32.000,3085.833
33.000,3085.833
34.000,3085.833
35.000,3164.957
36.000,3164.957
37.000,3164.957
38.000,3164.957
39.000,3164.957
40.000,3085.833
41.000,3085.833
42.000,3085.833
43.000,3164.957
44.000,3164.957
45.000,3164.957
46.000,3164.957
47.000,3164.957
48.000,3085.833
49.000,3085.833
50.000,3085.833
51.000,3164.957
52.000,3164.957
53.000,3164.957
54.000,3164.957
55.000,3164.957
56.000,3085.833
57.000,3085.833
58.000,3085.833
59.000,3085.833
60.000,3164.957
61.000,3164.957
62.000,3164.957
63.000,3164.957
64.000,3164.957
65.000,3085.833
66.000,3085.833
67.000,3085.833
68.000,3085.833
69.000,3164.957
70.000,3164.957
71.000,3164.957
72.000,3164.957
73.000,3085.833
74.000,3085.833
75.000,3085.833
76.000,3085.833
77.000,3164.957
78.000,3164.957
79.000,3164.957
80.000,3164.957
81.000,3164.957
82.000,3085.833
83.000,3085.833
84.000,3085.833
85.000,3164.957
86.000,3164.957
87.000,3164.957
88.000,3164.957
89.000,3164.957
90.000,3085.833
91.000,3085.833
92.000,3085.833
93.000,3085.833
94.000,3164.957
95.000,3164.957
96.000,3164.957
97.000,3164.957
98.000,3164.957
99.000,3085.833
100.000,3085.833
101.000,3085.833
102.000,3164.957
103.000,3164.957
104.000,3164.957
105.000,3164.957
106.000,3164.957
107.000,3085.833
108.000,3085.833
109.000,3085.833
110.000,3164.957
111.000,3164.957
112.000,3164.957
113.000,3164.957
114.000,3164.957
115.000,3085.833
116.000,3085.833
117.000,3085.833
118.000,3164.957
119.000,3164.957
120.000,3164.957
121.000,3164.957
122.000,3164.957
123.000,3085.833
124.000,3085.833
125.000,3085.833
126.000,3085.833
127.000,3164.957
128.000,3164.957
129.000,3164.957
130.000,3164.957
131.000,3164.957
132.000,3085.833
133.000,3085.833
134.000,3085.833
135.000,3164.957
136.000,3164.957
137.000,3164.957
138.000,3164.957
139.000,3164.957
140.000,3085.833
141.000,3085.833
