Time_ms,Absolute_Displacement_nm
0.000,-997204796.083
1.000,-997204479.587
2.000,-997204558.711
3.000,-997204796.083
4.000,-997204558.711
5.000,-997204400.463
6.000,-997204716.959
7.000,-997204637.835
8.000,-997204400.463
9.000,-997204637.835
10.000,-997204796.083
11.000,-997204479.587
12.000,-997204479.587
13.000,-997204796.083
14.000,-997204558.711
15.000,-997204400.463
16.000,-997204716.959
17.000,-997204716.959
18.000,-997204400.463
19.000,-997204637.835
20.000,-997204796.083
21.000,-997204400.463
22.000,-997204479.587
23.000,-997204796.083
24.000,-997204558.711
25.000,-997204400.463
26.000,-997204796.083
27.000,-997204716.959
28.000,-997204400.463
29.000,-997204637.835
30.000,-997204716.959
31.000,-997204400.463
32.000,-997204479.587
33.000,-997204796.083
34.000,-997204558.711
35.000,-997204479.587
36.000,-997204716.959
37.000,-997204637.835
38.000,-997204321.339
39.000,-997204558.711
40.000,-997204716.959
41.000,-997204479.587
42.000,-997204558.711
43.000,-997204875.206
44.000,-997204558.711
45.000,-997204400.463
46.000,-997204716.959
47.000,-997204637.835
48.000,-997204321.339
49.000,-997204637.835
50.000,-997204796.083
51.000,-997204479.587
52.000,-997204558.711
53.000,-997204796.083
54.000,-997204558.711
55.000,-997204400.463
56.000,-997204716.959
57.000,-997204637.835
58.000,-997204400.463
59.000,-997204637.835
60.000,-997204796.083
61.000,-997204479.587
62.000,-997204479.587
63.000,-997204796.083
64.000,-997204558.711
65.000,-997204400.463
66.000,-997204716.959
67.000,-997204716.959
68.000,-997204400.463
69.000,-997204637.835
70.000,-997204796.083
71.000,-997204400.463
72.000,-997204479.587
73.000,-997204796.083
74.000,-997204558.711
75.000,-997204400.463
76.000,-997204796.083
77.000,-997204716.959
78.000,-997204400.463
79.000,-997204637.835
80.000,-997204716.959
81.000,-997204400.463
82.000,-997204479.587
83.000,-997204796.083
84.000,-997204558.711
85.000,-997204479.587
86.000,-997204716.959
87.000,-997204637.835
88.000,-997204321.339
89.000,-997204558.711
90.000,-997204716.959
91.000,-997204479.587
92.000,-997204558.711
93.000,-997204875.206
94.000,-997204558.711
95.000,-997204400.463
96.000,-997204716.959
97.000,-997204637.835
98.000,-997204321.339
99.000,-997204637.835
100.000,-997204796.083
101.000,-997204479.587
102.000,-997204558.711
103.000,-997204796.083
104.000,-997204558.711
105.000,-997204321.339
106.000,-997204716.959
107.000,-997204637.835
108.000,-997204400.463
109.000,-997204637.835
110.000,-997204796.083
111.000,-997204479.587
112.000,-997204479.587
113.000,-997204796.083
114.000,-997204479.587
115.000,-997204400.463
116.000,-997204716.959
117.000,-997204716.959
118.000,-997204400.463
119.000,-997204637.835
120.000,-997204796.083
121.000,-997204400.463
122.000,-997204479.587
123.000,-997204796.083
124.000,-997204558.711
125.000,-997204400.463
126.000,-997204796.083
127.000,-997204716.959
128.000,-997204400.463
129.000,-997204637.835
130.000,-997204716.959
131.000,-997204400.463
132.000,-997204479.587
133.000,-997204796.083
134.000,-997204558.711
135.000,-997204479.587
136.000,-997204796.083
137.000,-997204637.835
138.000,-997204321.339
139.000,-997204558.711
140.000,-997204716.959
141.000,-997204400.463
142.000,-997204558.711
143.000,-997204875.206
144.000,-997204558.711
145.000,-997204400.463
146.000,-997204716.959
147.000,-997204637.835
148.000,-997204321.339
149.000,-997204637.835
150.000,-997204796.083
151.000,-997204479.587
152.000,-997204558.711
153.000,-997204796.083
154.000,-997204558.711
155.000,-997204400.463
156.000,-997204716.959
157.000,-997204637.835
158.000,-997204400.463
159.000,-997204637.835
160.000,-997204796.083
161.000,-997204479.587
162.000,-997204479.587
163.000,-997204796.083
164.000,-997204479.587
165.000,-997204400.463
166.000,-997204716.959
167.000,-997204716.959
168.000,-997204400.463
169.000,-997204637.835
170.000,-997204796.083
171.000,-997204400.463
172.000,-997204479.587
173.000,-997204796.083
174.000,-997204558.711
175.000,-997204400.463
176.000,-997204796.083
177.000,-997204716.959
178.000,-997204400.463
179.000,-997204637.835
180.000,-997204716.959
181.000,-997204400.463
182.000,-997204479.587
183.000,-997204796.083
184.000,-997204558.711
185.000,-997204479.587
186.000,-997204796.083
187.000,-997204637.835
188.000,-997204321.339
189.000,-997204558.711
190.000,-997204716.959
191.000,-997204479.587
192.000,-997204558.711
193.000,-997204875.206
194.000,-997204558.711
195.000,-997204400.463
196.000,-997204716.959
197.000,-997204637.835
198.000,-997204321.339
199.000,-997204637.835
200.000,-997204796.083
201.000,-997204479.587
202.000,-997204558.711
203.000,-997204796.083
204.000,-997204479.587
205.000,-997204321.339
206.000,-997204716.959
207.000,-997204637.835
208.000,-997204400.463
209.000,-997204716.959
210.000,-997204796.083
211.000,-997204479.587
212.000,-997204479.587
213.000,-997204716.959
214.000,-997204479.587
215.000,-997204400.463
216.000,-997204716.959
217.000,-997204716.959
218.000,-997204479.587
219.000,-997204716.959
220.000,-997204796.083
221.000,-997204400.463
222.000,-997204400.463
223.000,-997204716.959
224.000,-997204558.711
225.000,-997204400.463
226.000,-997204796.083
227.000,-997204716.959
228.000,-997204400.463
229.000,-997204637.835
230.000,-997204716.959
231.000,-997204400.463
232.000,-997204479.587
233.000,-997204796.083
234.000,-997204558.711
235.000,-997204479.587
236.000,-997204796.083
237.000,-997204637.835
238.000,-997204321.339
239.000,-997204558.711
240.000,-997204716.959
241.000,-997204400.463
242.000,-997204558.711
243.000,-997204875.206
244.000,-997204558.711
245.000,-997204400.463
246.000,-997204716.959
247.000,-997204637.835
248.000,-997204321.339
249.000,-997204637.835
250.000,-997204796.083
251.000,-997204479.587
252.000,-997204558.711
253.000,-997204796.083
254.000,-997204558.711
255.000,-997204321.339
256.000,-997204716.959
257.000,-997204637.835
258.000,-997204400.463
259.000,-997204716.959
260.000,-997204796.083
261.000,-997204479.587
262.000,-997204479.587
263.000,-997204716.959
264.000,-997204479.587
265.000,-997204400.463
266.000,-997204716.959
267.000,-997204716.959
268.000,-997204479.587
269.000,-997204716.959
270.000,-997204796.083
271.000,-997204400.463
272.000,-997204400.463
273.000,-997204716.959
274.000,-997204558.711
275.000,-997204479.587
276.000,-997204796.083
277.000,-997204716.959
278.000,-997204400.463
279.000,-997204637.835
280.000,-997204716.959
281.000,-997204400.463
282.000,-997204479.587
283.000,-997204796.083
284.000,-997204558.711
285.000,-997204479.587
286.000,-997204796.083
287.000,-997204716.959
288.000,-997204321.339
289.000,-997204558.711
290.000,-997204716.959
291.000,-997204400.463
292.000,-997204558.711
293.000,-997204875.206
294.000,-997204558.711
295.000,-997204400.463
296.000,-997204716.959
297.000,-997204637.835
298.000,-997204321.339
299.000,-997204637.835
300.000,-997204796.083
301.000,-997204479.587
302.000,-997204558.711
303.000,-997204796.083
304.000,-997204558.711
305.000,-997204400.463
306.000,-997204716.959
307.000,-997204637.835
308.000,-997204400.463
309.000,-997204637.835
310.000,-997204796.083
311.000,-997204479.587
312.000,-997204479.587
313.000,-997204796.083
314.000,-997204479.587
315.000,-997204400.463
316.000,-997204716.959
317.000,-997204716.959
318.000,-997204400.463
319.000,-997204637.835
320.000,-997204796.083
321.000,-997204400.463
322.000,-997204479.587
323.000,-997204796.083
324.000,-997204558.711
325.000,-997204479.587
326.000,-997204796.083
327.000,-997204716.959
328.000,-997204400.463
329.000,-997204637.835
330.000,-997204716.959
331.000,-997204400.463
332.000,-997204479.587
333.000,-997204796.083
334.000,-997204637.835
335.000,-997204479.587
336.000,-997204796.083
337.000,-997204637.835
338.000,-997204321.339
339.000,-997204558.711
340.000,-997204716.959
341.000,-997204479.587
342.000,-997204558.711
343.000,-997204875.206
344.000,-997204558.711
345.000,-997204400.463
346.000,-997204716.959
347.000,-997204637.835
348.000,-997204321.339
349.000,-997204637.835
350.000,-997204796.083
351.000,-997204479.587
352.000,-997204558.711
353.000,-997204796.083
354.000,-997204558.711
355.000,-997204400.463
356.000,-997204716.959
357.000,-997204637.835
358.000,-997204400.463
359.000,-997204716.959
360.000,-997204796.083
361.000,-997204479.587
362.000,-997204479.587
363.000,-997204796.083
364.000,-997204479.587
365.000,-997204400.463
366.000,-997204716.959
367.000,-997204716.959
368.000,-997204400.463
369.000,-997204637.835
370.000,-997204796.083
371.000,-997204400.463
372.000,-997204479.587
373.000,-997204796.083
