Time_ms,Absolute_Displacement_nm
0.000,-445908556.536
1.000,-445908556.536
2.000,-445908556.536
3.000,-445908477.412
4.000,-445908477.412
5.000,-445908477.412
6.000,-445908556.536
7.000,-445908556.536
8.000,-445908556.536
9.000,-445908556.536
10.000,-445908556.536
11.000,-445908556.536
12.000,-445908477.412
13.000,-445908477.412
14.000,-445908477.412
15.000,-445908556.536
16.000,-445908556.536
17.000,-445908556.536
18.000,-445908556.536
19.000,-445908556.536
20.000,-445908477.412
21.000,-445908477.412
22.000,-445908477.412
23.000,-445908556.536
24.000,-445908556.536
25.000,-445908556.536
26.000,-445908556.536
27.000,-445908556.536
28.000,-445908556.536
29.000,-445908477.412
30.000,-445908477.412
31.000,-445908477.412
32.000,-445908556.536
33.000,-445908556.536
34.000,-445908556.536
35.000,-445908556.536
36.000,-445908556.536
37.000,-445908556.536
38.000,-445908477.412
39.000,-445908477.412
40.000,-445908556.536
41.000,-445908556.536
42.000,-445908556.536
43.000,-445908556.536
44.000,-445908556.536
45.000,-445908556.536
46.000,-445908477.412
47.000,-445908477.412
48.000,-445908556.536
49.000,-445908556.536
50.000,-445908556.536
51.000,-445908556.536
52.000,-445908556.536
53.000,-445908556.536
54.000,-445908477.412
55.000,-445908477.412
56.000,-445908556.536
57.000,-445908556.536
58.000,-445908556.536
59.000,-445908556.536
60.000,-445908556.536
61.000,-445908556.536
62.000,-445908477.412
63.000,-445908477.412
64.000,-445908556.536
65.000,-445908556.536
66.000,-445908556.536
67.000,-445908556.536
68.000,-445908556.536
69.000,-445908556.536
70.000,-445908477.412
71.000,-445908477.412
72.000,-445908477.412
73.000,-445908556.536
74.000,-445908556.536
75.000,-445908556.536
76.000,-445908556.536
77.000,-445908556.536
78.000,-445908556.536
79.000,-445908477.412
80.000,-445908477.412
81.000,-445908477.412
82.000,-445908556.536
83.000,-445908556.536
84.000,-445908556.536
85.000,-445908556.536
86.000,-445908556.536
87.000,-445908477.412
88.000,-445908477.412
89.000,-445908477.412
90.000,-445908556.536
91.000,-445908556.536
92.000,-445908556.536
93.000,-445908556.536
94.000,-445908556.536
95.000,-445908556.536
96.000,-445908477.412
97.000,-445908477.412
98.000,-445908556.536
99.000,-445908556.536
100.000,-445908556.536
101.000,-445908556.536
102.000,-445908556.536
103.000,-445908556.536
104.000,-445908477.412
105.000,-445908477.412
106.000,-445908477.412
107.000,-445908556.536
108.000,-445908556.536
109.000,-445908556.536
110.000,-445908556.536
111.000,-445908556.536
112.000,-445908556.536
113.000,-445908477.412
114.000,-445908477.412
115.000,-445908556.536
116.000,-445908556.536
117.000,-445908556.536
118.000,-445908556.536
119.000,-445908556.536
120.000,-445908556.536
121.000,-445908477.412
122.000,-445908477.412
123.000,-445908556.536
124.000,-445908556.536
125.000,-445908556.536
126.000,-445908556.536
127.000,-445908556.536
128.000,-445908556.536
129.000,-445908477.412
130.000,-445908477.412
131.000,-445908556.536
132.000,-445908556.536
133.000,-445908556.536
134.000,-445908556.536
135.000,-445908556.536
136.000,-445908556.536
137.000,-445908556.536
138.000,-445908477.412
139.000,-445908556.536
140.000,-445908556.536
141.000,-445908556.536
142.000,-445908556.536
143.000,-445908556.536
144.000,-445908556.536
145.000,-445908556.536
146.000,-445908477.412
147.000,-445908556.536
148.000,-445908556.536
149.000,-445908556.536
150.000,-445908556.536
151.000,-445908556.536
152.000,-445908556.536
153.000,-445908556.536
154.000,-445908477.412
155.000,-445908477.412
156.000,-445908556.536
157.000,-445908556.536
158.000,-445908556.536
159.000,-445908556.536
160.000,-445908556.536
161.000,-445908556.536
162.000,-445908477.412
163.000,-445908477.412
164.000,-445908477.412
165.000,-445908556.536
166.000,-445908556.536
167.000,-445908556.536
168.000,-445908556.536
169.000,-445908556.536
170.000,-445908477.412
171.000,-445908477.412
172.000,-445908477.412
173.000,-445908556.536
174.000,-445908556.536
175.000,-445908556.536
176.000,-445908556.536
177.000,-445908556.536
178.000,-445908556.536
179.000,-445908477.412
180.000,-445908477.412
181.000,-445908556.536
182.000,-445908556.536
183.000,-445908556.536
184.000,-445908556.536
185.000,-445908556.536
186.000,-445908556.536
187.000,-445908556.536
188.000,-445908477.412
189.000,-445908477.412
190.000,-445908556.536
191.000,-445908556.536
192.000,-445908556.536
193.000,-445908556.536
194.000,-445908556.536
195.000,-445908556.536
196.000,-445908477.412
197.000,-445908477.412
198.000,-445908556.536
199.000,-445908556.536
200.000,-445908556.536
201.000,-445908556.536
202.000,-445908556.536
203.000,-445908556.536
204.000,-445908477.412
205.000,-445908477.412
206.000,-445908477.412
207.000,-445908556.536
208.000,-445908556.536
209.000,-445908556.536
210.000,-445908556.536
211.000,-445908556.536
212.000,-445908556.536
213.000,-445908477.412
214.000,-445908477.412
215.000,-445908556.536
216.000,-445908556.536
217.000,-445908556.536
218.000,-445908556.536
219.000,-445908556.536
220.000,-445908556.536
221.000,-445908477.412
222.000,-445908477.412
223.000,-445908556.536
224.000,-445908556.536
225.000,-445908556.536
226.000,-445908556.536
227.000,-445908556.536
228.000,-445908556.536
229.000,-445908556.536
230.000,-445908477.412
231.000,-445908556.536
232.000,-445908556.536
233.000,-445908556.536
234.000,-445908556.536
235.000,-445908556.536
236.000,-445908556.536
237.000,-445908556.536
238.000,-445908556.536
239.000,-445908556.536
240.000,-445908556.536
241.000,-445908556.536
242.000,-445908556.536
243.000,-445908556.536
244.000,-445908556.536
245.000,-445908556.536
246.000,-445908556.536
247.000,-445908556.536
248.000,-445908556.536
249.000,-445908556.536
250.000,-445908556.536
251.000,-445908556.536
252.000,-445908556.536
253.000,-445908556.536
254.000,-445908556.536
255.000,-445908477.412
256.000,-445908556.536
257.000,-445908556.536
258.000,-445908556.536
259.000,-445908556.536
260.000,-445908556.536
261.000,-445908556.536
262.000,-445908477.412
263.000,-445908477.412
264.000,-445908556.536
265.000,-445908556.536
266.000,-445908556.536
267.000,-445908556.536
268.000,-445908556.536
269.000,-445908556.536
270.000,-445908556.536
271.000,-445908477.412
