Time_ms,Absolute_Displacement_nm
0.000,2690.213
1.000,2690.213
2.000,2690.213
3.000,2690.213
4.000,2690.213
5.000,2690.213
6.000,2611.089
7.000,2690.213
8.000,2690.213
9.000,2690.213
10.000,2690.213
11.000,2690.213
12.000,2690.213
13.000,2690.213
14.000,2611.089
15.000,2611.089
16.000,2690.213
17.000,2690.213
18.000,2690.213
19.000,2690.213
20.000,2690.213
21.000,2690.213
22.000,2611.089
23.000,2611.089
24.000,2690.213
25.000,2690.213
26.000,2690.213
27.000,2690.213
28.000,2690.213
29.000,2690.213
30.000,2611.089
31.000,2611.089
32.000,2611.089
33.000,2690.213
34.000,2690.213
35.000,2690.213
36.000,2690.213
37.000,2690.213
38.000,2690.213
39.000,2611.089
40.000,2611.089
41.000,2690.213
42.000,2690.213
43.000,2690.213
44.000,2690.213
45.000,2690.213
46.000,2690.213
47.000,2611.089
48.000,2611.089
49.000,2611.089
50.000,2690.213
51.000,2690.213
52.000,2690.213
53.000,2690.213
54.000,2690.213
55.000,2690.213
56.000,2611.089
57.000,2611.089
58.000,2690.213
59.000,2690.213
60.000,2690.213
61.000,2690.213
62.000,2690.213
63.000,2690.213
64.000,2611.089
65.000,2611.089
66.000,2611.089
67.000,2690.213
68.000,2690.213
69.000,2690.213
70.000,2690.213
71.000,2690.213
72.000,2690.213
73.000,2611.089
74.000,2690.213
75.000,2690.213
76.000,2690.213
77.000,2690.213
78.000,2690.213
79.000,2690.213
80.000,2690.213
81.000,2611.089
82.000,2690.213
83.000,2690.213
84.000,2690.213
85.000,2690.213
86.000,2690.213
87.000,2690.213
88.000,2690.213
89.000,2611.089
90.000,2611.089
91.000,2690.213
92.000,2690.213
93.000,2690.213
94.000,2690.213
95.000,2690.213
96.000,2690.213
97.000,2611.089
98.000,2611.089
99.000,2611.089
100.000,2690.213
101.000,2690.213
102.000,2690.213
103.000,2690.213
104.000,2690.213
105.000,2690.213
106.000,2611.089
107.000,2611.089
108.000,2690.213
109.000,2690.213
110.000,2690.213
111.000,2690.213
112.000,2690.213
113.000,2690.213
114.000,2611.089
115.000,2611.089
116.000,2611.089
117.000,2690.213
118.000,2690.213
119.000,2690.213
120.000,2690.213
121.000,2690.213
122.000,2690.213
123.000,2611.089
124.000,2690.213
125.000,2690.213
126.000,2690.213
127.000,2690.213
128.000,2690.213
129.000,2690.213
130.000,2690.213
131.000,2611.089
132.000,2611.089
133.000,2690.213
134.000,2690.213
135.000,2690.213
136.000,2690.213
137.000,2690.213
138.000,2690.213
139.000,2611.089
140.000,2611.089
141.000,2690.213
142.000,2690.213
143.000,2690.213
144.000,2690.213
145.000,2690.213
146.000,2690.213
147.000,2611.089
148.000,2611.089
149.000,2611.089
150.000,2690.213
151.000,2690.213
152.000,2690.213
153.000,2690.213
154.000,2690.213
155.000,2611.089
156.000,2611.089
157.000,2611.089
158.000,2690.213
159.000,2690.213
160.000,2690.213
161.000,2690.213
162.000,2690.213
163.000,2690.213
164.000,2611.089
165.000,2611.089
166.000,2690.213
167.000,2690.213
168.000,2690.213
169.000,2690.213
170.000,2690.213
171.000,2690.213
172.000,2611.089
173.000,2611.089
174.000,2611.089
175.000,2690.213
176.000,2690.213
177.000,2690.213
178.000,2690.213
179.000,2690.213
180.000,2690.213
181.000,2611.089
182.000,2611.089
183.000,2690.213
184.000,2690.213
185.000,2690.213
186.000,2690.213
187.000,2690.213
188.000,2690.213
189.000,2611.089
190.000,2611.089
191.000,2611.089
192.000,2690.213
193.000,2690.213
194.000,2690.213
195.000,2690.213
196.000,2690.213
197.000,2611.089
198.000,2611.089
199.000,2611.089
200.000,2690.213
201.000,2690.213
202.000,2690.213
203.000,2690.213
204.000,2690.213
205.000,2690.213
206.000,2611.089
207.000,2611.089
208.000,2690.213
209.000,2690.213
210.000,2690.213
211.000,2690.213
212.000,2690.213
213.000,2690.213
214.000,2611.089
215.000,2611.089
216.000,2690.213
217.000,2690.213
218.000,2690.213
219.000,2690.213
220.000,2690.213
221.000,2690.213
222.000,2611.089
223.000,2611.089
224.000,2690.213
225.000,2690.213
226.000,2690.213
227.000,2690.213
228.000,2690.213
229.000,2690.213
230.000,2611.089
231.000,2611.089
232.000,2611.089
233.000,2690.213
234.000,2690.213
235.000,2690.213
236.000,2690.213
237.000,2690.213
238.000,2690.213
239.000,2611.089
240.000,2611.089
241.000,2690.213
242.000,2690.213
243.000,2690.213
244.000,2690.213
245.000,2690.213
246.000,2690.213
247.000,2611.089
248.000,2611.089
249.000,2690.213
250.000,2690.213
251.000,2690.213
252.000,2690.213
253.000,2690.213
254.000,2690.213
255.000,2611.089
256.000,2611.089
257.000,2611.089
258.000,2690.213
259.000,2690.213
260.000,2690.213
261.000,2690.213
262.000,2690.213
263.000,2611.089
264.000,2611.089
265.000,2611.089
266.000,2690.213
267.000,2690.213
268.000,2690.213
269.000,2690.213
270.000,2690.213
271.000,2690.213
272.000,2611.089
273.000,2611.089
274.000,2611.089
275.000,2690.213
276.000,2690.213
277.000,2690.213
278.000,2690.213
279.000,2690.213
280.000,2611.089
281.000,2611.089
282.000,2611.089
283.000,2690.213
284.000,2690.213
285.000,2690.213
286.000,2690.213
287.000,2690.213
288.000,2611.089
289.000,2611.089
290.000,2611.089
291.000,2611.089
292.000,2690.213
293.000,2690.213
294.000,2690.213
295.000,2690.213
296.000,2690.213
297.000,2611.089
298.000,2611.089
299.000,2611.089
300.000,2690.213
301.000,2690.213
302.000,2690.213
303.000,2690.213
304.000,2690.213
305.000,2611.089
306.000,2611.089
307.000,2611.089
308.000,2690.213
309.000,2690.213
310.000,2690.213
311.000,2690.213
312.000,2690.213
313.000,2690.213
314.000,2611.089
315.000,2611.089
316.000,2611.089
317.000,2690.213
318.000,2690.213
319.000,2690.213
320.000,2690.213
321.000,2690.213
322.000,2611.089
323.000,2611.089
324.000,2611.089
325.000,2690.213
326.000,2690.213
327.000,2690.213
328.000,2690.213
329.000,2690.213
330.000,2690.213
331.000,2611.089
332.000,2611.089
333.000,2690.213
334.000,2690.213
335.000,2690.213
336.000,2690.213
337.000,2690.213
338.000,2690.213
339.000,2611.089
340.000,2611.089
341.000,2611.089
342.000,2690.213
343.000,2690.213
344.000,2690.213
345.000,2690.213
346.000,2690.213
347.000,2611.089
348.000,2611.089
349.000,2611.089
350.000,2690.213
351.000,2690.213
352.000,2690.213
353.000,2690.213
354.000,2690.213
355.000,2611.089
356.000,2611.089
357.000,2611.089
358.000,2690.213
359.000,2690.213
360.000,2690.213
361.000,2690.213
362.000,2690.213
363.000,2690.213
364.000,2611.089
365.000,2611.089
366.000,2690.213
367.000,2690.213
368.000,2690.213
369.000,2690.213
370.000,2690.213
371.000,2690.213
372.000,2611.089
373.000,2611.089
374.000,2611.089
375.000,2690.213
376.000,2690.213
377.000,2690.213
378.000,2690.213
379.000,2690.213
380.000,2611.089
381.000,2611.089
382.000,2611.089
383.000,2690.213
384.000,2690.213
385.000,2690.213
386.000,2690.213
387.000,2690.213
388.000,2690.213
389.000,2611.089
390.000,2611.089
391.000,2611.089
392.000,2690.213
393.000,2690.213
394.000,2690.213
395.000,2690.213
396.000,2690.213
397.000,2611.089
398.000,2611.089
399.000,2611.089
400.000,2690.213
401.000,2690.213
402.000,2690.213
403.000,2690.213
404.000,2690.213
405.000,2611.089
406.000,2611.089
407.000,2611.089
408.000,2690.213
409.000,2690.213
410.000,2690.213
411.000,2690.213
412.000,2690.213
413.000,2611.089
414.000,2611.089
415.000,2611.089
416.000,2611.089
417.000,2690.213
418.000,2690.213
419.000,2690.213
420.000,2690.213
421.000,2690.213
422.000,2611.089
423.000,2611.089
424.000,2611.089
425.000,2690.213
426.000,2690.213
427.000,2690.213
428.000,2690.213
429.000,2690.213
430.000,2690.213
431.000,2611.089
432.000,2611.089
433.000,2690.213
434.000,2690.213
435.000,2690.213
436.000,2690.213
437.000,2690.213
438.000,2690.213
439.000,2611.089
440.000,2611.089
441.000,2611.089
442.000,2690.213
443.000,2690.213
444.000,2690.213
445.000,2690.213
446.000,2690.213
447.000,2611.089
448.000,2611.089
449.000,2690.213
450.000,2690.213
451.000,2690.213
452.000,2690.213
453.000,2690.213
454.000,2690.213
455.000,2611.089
456.000,2611.089
457.000,2611.089
458.000,2690.213
459.000,2690.213
460.000,2690.213
461.000,2690.213
462.000,2690.213
463.000,2611.089
464.000,2611.089
465.000,2611.089
466.000,2690.213
467.000,2690.213
468.000,2690.213
469.000,2690.213
470.000,2690.213
471.000,2690.213
472.000,2611.089
473.000,2611.089
474.000,2611.089
475.000,2690.213
476.000,2690.213
477.000,2690.213
478.000,2690.213
479.000,2690.213
480.000,2611.089
481.000,2611.089
482.000,2611.089
483.000,2690.213
484.000,2690.213
485.000,2690.213
486.000,2690.213
487.000,2690.213
488.000,2690.213
489.000,2611.089
490.000,2611.089
491.000,2611.089
492.000,2690.213
493.000,2690.213
494.000,2690.213
495.000,2690.213
496.000,2690.213
497.000,2611.089
498.000,2611.089
499.000,2611.089
500.000,2690.213
501.000,2690.213
502.000,2690.213
503.000,2690.213
504.000,2690.213
505.000,2611.089
506.000,2611.089
507.000,2611.089
508.000,2690.213
509.000,2690.213
510.000,2690.213
511.000,2690.213
512.000,2690.213
513.000,2611.089
514.000,2611.089
515.000,2611.089
516.000,2690.213
517.000,2690.213
518.000,2690.213
519.000,2690.213
520.000,2690.213
521.000,2690.213
522.000,2611.089
523.000,2611.089
524.000,2611.089
525.000,2690.213
526.000,2690.213
527.000,2690.213
528.000,2690.213
529.000,2690.213
530.000,2611.089
531.000,2611.089
532.000,2611.089
533.000,2690.213
534.000,2690.213
535.000,2690.213
536.000,2690.213
537.000,2690.213
538.000,2611.089
539.000,2611.089
540.000,2611.089
541.000,2611.089
542.000,2690.213
543.000,2690.213
544.000,2690.213
545.000,2690.213
546.000,2690.213
547.000,2611.089
548.000,2611.089
549.000,2611.089
550.000,2690.213
551.000,2690.213
552.000,2690.213
553.000,2690.213
554.000,2690.213
555.000,2611.089
556.000,2611.089
557.000,2611.089
558.000,2611.089
559.000,2690.213
560.000,2690.213
561.000,2690.213
562.000,2690.213
563.000,2690.213
564.000,2611.089
565.000,2611.089
566.000,2611.089
567.000,2690.213
568.000,2690.213
569.000,2690.213
570.000,2690.213
571.000,2690.213
572.000,2611.089
573.000,2611.089
574.000,2611.089
575.000,2690.213
576.000,2690.213
577.000,2690.213
578.000,2690.213
579.000,2690.213
580.000,2611.089
581.000,2611.089
582.000,2611.089
583.000,2690.213
584.000,2690.213
585.000,2690.213
