Time_ms,Absolute_Displacement_nm
0.000,-997204637.835
1.000,-997204637.835
2.000,-997204637.835
3.000,-997204637.835
4.000,-997204637.835
5.000,-997204637.835
6.000,-997204637.835
7.000,-997204637.835
8.000,-997204637.835
9.000,-997204637.835
10.000,-997204637.835
11.000,-997204637.835
12.000,-997204637.835
13.000,-997204558.711
14.000,-997204558.711
15.000,-997204637.835
16.000,-997204637.835
17.000,-997204637.835
18.000,-997204637.835
19.000,-997204637.835
20.000,-997204637.835
21.000,-997204558.711
22.000,-997204558.711
23.000,-997204558.711
24.000,-997204637.835
25.000,-997204637.835
26.000,-997204637.835
27.000,-997204637.835
28.000,-997204637.835
29.000,-997204637.835
30.000,-997204558.711
31.000,-997204558.711
32.000,-997204558.711
33.000,-997204637.835
34.000,-997204637.835
35.000,-997204637.835
36.000,-997204637.835
37.000,-997204637.835
38.000,-997204558.711
39.000,-997204558.711
40.000,-997204558.711
41.000,-997204558.711
42.000,-997204637.835
43.000,-997204637.835
44.000,-997204637.835
45.000,-997204637.835
46.000,-997204637.835
47.000,-997204558.711
48.000,-997204558.711
49.000,-997204558.711
50.000,-997204637.835
51.000,-997204637.835
52.000,-997204637.835
53.000,-997204637.835
54.000,-997204637.835
55.000,-997204637.835
56.000,-997204558.711
57.000,-997204558.711
58.000,-997204637.835
59.000,-997204637.835
60.000,-997204637.835
61.000,-997204637.835
62.000,-997204637.835
63.000,-997204637.835
64.000,-997204558.711
65.000,-997204558.711
66.000,-997204637.835
67.000,-997204637.835
68.000,-997204637.835
69.000,-997204637.835
70.000,-997204637.835
71.000,-997204637.835
72.000,-997204558.711
73.000,-997204558.711
74.000,-997204558.711
75.000,-997204637.835
76.000,-997204637.835
77.000,-997204637.835
78.000,-997204637.835
79.000,-997204637.835
80.000,-997204558.711
81.000,-997204558.711
82.000,-997204558.711
83.000,-997204637.835
84.000,-997204637.835
85.000,-997204637.835
86.000,-997204637.835
87.000,-997204637.835
88.000,-997204558.711
89.000,-997204558.711
90.000,-997204558.711
91.000,-997204558.711
92.000,-997204637.835
93.000,-997204637.835
94.000,-997204637.835
95.000,-997204637.835
96.000,-997204637.835
97.000,-997204558.711
98.000,-997204558.711
99.000,-997204558.711
100.000,-997204637.835
101.000,-997204637.835
102.000,-997204637.835
103.000,-997204637.835
104.000,-997204637.835
105.000,-997204637.835
106.000,-997204558.711
107.000,-997204558.711
108.000,-997204637.835
109.000,-997204637.835
110.000,-997204637.835
111.000,-997204637.835
112.000,-997204637.835
113.000,-997204637.835
114.000,-997204558.711
115.000,-997204558.711
116.000,-997204637.835
117.000,-997204637.835
118.000,-997204637.835
119.000,-997204637.835
120.000,-997204637.835
121.000,-997204637.835
122.000,-997204558.711
123.000,-997204558.711
124.000,-997204558.711
125.000,-997204637.835
126.000,-997204637.835
127.000,-997204637.835
128.000,-997204637.835
129.000,-997204637.835
130.000,-997204558.711
131.000,-997204558.711
132.000,-997204558.711
133.000,-997204637.835
134.000,-997204637.835
135.000,-997204637.835
136.000,-997204637.835
137.000,-997204637.835
138.000,-997204637.835
139.000,-997204558.711
140.000,-997204558.711
141.000,-997204637.835
142.000,-997204637.835
143.000,-997204637.835
144.000,-997204637.835
145.000,-997204637.835
146.000,-997204637.835
147.000,-997204558.711
148.000,-997204558.711
149.000,-997204558.711
150.000,-997204637.835
151.000,-997204637.835
152.000,-997204637.835
153.000,-997204637.835
154.000,-997204637.835
155.000,-997204637.835
156.000,-997204558.711
157.000,-997204558.711
158.000,-997204637.835
159.000,-997204637.835
160.000,-997204637.835
161.000,-997204637.835
162.000,-997204637.835
163.000,-997204637.835
164.000,-997204558.711
165.000,-997204558.711
166.000,-997204637.835
167.000,-997204637.835
168.000,-997204637.835
169.000,-997204637.835
170.000,-997204637.835
171.000,-997204637.835
172.000,-997204558.711
173.000,-997204558.711
174.000,-997204558.711
175.000,-997204637.835
176.000,-997204637.835
177.000,-997204637.835
178.000,-997204637.835
179.000,-997204637.835
180.000,-997204558.711
181.000,-997204558.711
182.000,-997204558.711
183.000,-997204637.835
184.000,-997204637.835
185.000,-997204637.835
186.000,-997204637.835
187.000,-997204637.835
188.000,-997204637.835
189.000,-997204558.711
190.000,-997204558.711
191.000,-997204637.835
192.000,-997204637.835
193.000,-997204637.835
194.000,-997204637.835
195.000,-997204637.835
196.000,-997204637.835
197.000,-997204558.711
198.000,-997204558.711
199.000,-997204637.835
200.000,-997204637.835
201.000,-997204637.835
202.000,-997204637.835
203.000,-997204637.835
204.000,-997204637.835
205.000,-997204558.711
206.000,-997204558.711
207.000,-997204558.711
208.000,-997204637.835
209.000,-997204637.835
210.000,-997204637.835
211.000,-997204637.835
212.000,-997204637.835
213.000,-997204558.711
214.000,-997204558.711
215.000,-997204558.711
216.000,-997204558.711
217.000,-997204637.835
218.000,-997204637.835
219.000,-997204637.835
220.000,-997204637.835
221.000,-997204637.835
222.000,-997204558.711
223.000,-997204558.711
224.000,-997204558.711
225.000,-997204637.835
226.000,-997204637.835
227.000,-997204637.835
228.000,-997204637.835
229.000,-997204637.835
230.000,-997204558.711
231.000,-997204558.711
232.000,-997204558.711
233.000,-997204637.835
234.000,-997204637.835
235.000,-997204637.835
236.000,-997204637.835
237.000,-997204637.835
238.000,-997204637.835
239.000,-997204558.711
240.000,-997204558.711
241.000,-997204637.835
242.000,-997204637.835
243.000,-997204637.835
244.000,-997204637.835
245.000,-997204637.835
246.000,-997204637.835
247.000,-997204558.711
248.000,-997204558.711
249.000,-997204558.711
250.000,-997204637.835
251.000,-997204637.835
252.000,-997204637.835
253.000,-997204637.835
254.000,-997204637.835
255.000,-997204558.711
256.000,-997204558.711
257.000,-997204558.711
258.000,-997204637.835
259.000,-997204637.835
260.000,-997204637.835
261.000,-997204637.835
262.000,-997204637.835
263.000,-997204637.835
264.000,-997204558.711
