Time_ms,Absolute_Displacement_nm
0.000,3085.833
1.000,3085.833
2.000,3085.833
3.000,3085.833
4.000,3085.833
5.000,3085.833
6.000,3085.833
7.000,3085.833
8.000,3085.833
9.000,3085.833
10.000,3085.833
11.000,3085.833
12.000,3085.833
13.000,3085.833
14.000,3085.833
15.000,3085.833
16.000,3085.833
17.000,3006.709
18.000,3085.833
19.000,3085.833
20.000,3085.833
21.000,3085.833
22.000,3085.833
23.000,3085.833
24.000,3085.833
25.000,3006.709
26.000,3006.709
27.000,3085.833
28.000,3085.833
29.000,3085.833
30.000,3085.833
31.000,3085.833
32.000,3085.833
33.000,3006.709
34.000,3006.709
35.000,3085.833
36.000,3085.833
37.000,3085.833
38.000,3085.833
39.000,3085.833
40.000,3085.833
41.000,3006.709
42.000,3006.709
43.000,3006.709
44.000,3085.833
45.000,3085.833
46.000,3085.833
47.000,3085.833
48.000,3085.833
49.000,3006.709
50.000,3006.709
51.000,3006.709
52.000,3085.833
53.000,3085.833
54.000,3085.833
55.000,3085.833
56.000,3085.833
57.000,3006.709
58.000,3006.709
59.000,3006.709
60.000,3006.709
61.000,3085.833
62.000,3085.833
63.000,3085.833
64.000,3085.833
65.000,3006.709
66.000,3006.709
67.000,3006.709
68.000,3006.709
69.000,3006.709
70.000,3085.833
71.000,3085.833
72.000,3085.833
73.000,3006.709
74.000,3006.709
75.000,3006.709
76.000,3006.709
77.000,3006.709
78.000,3006.709
79.000,3085.833
80.000,3085.833
81.000,3006.709
82.000,3006.709
83.000,3006.709
84.000,3006.709
85.000,3006.709
86.000,3006.709
87.000,3006.709
88.000,3085.833
89.000,3006.709
90.000,3006.709
91.000,3006.709
92.000,3006.709
93.000,3006.709
94.000,3006.709
95.000,3006.709
96.000,3006.709
97.000,3006.709
98.000,3006.709
99.000,3006.709
100.000,3006.709
101.000,3006.709
102.000,3006.709
103.000,3006.709
104.000,3006.709
105.000,3006.709
106.000,3006.709
107.000,3006.709
108.000,3006.709
109.000,3006.709
110.000,3006.709
111.000,3006.709
112.000,3006.709
113.000,3006.709
114.000,3006.709
115.000,3006.709
116.000,2927.585
117.000,2927.585
118.000,3006.709
119.000,3006.709
120.000,3006.709
121.000,3006.709
122.000,3006.709
123.000,3006.709
124.000,2927.585
125.000,2927.585
126.000,2927.585
127.000,3006.709
128.000,3006.709
129.000,3006.709
130.000,3006.709
131.000,3006.709
132.000,2927.585
133.000,2927.585
134.000,2927.585
135.000,2927.585
136.000,3006.709
137.000,3006.709
138.000,3006.709
139.000,3006.709
140.000,2927.585
141.000,2927.585
