Time_ms,Absolute_Displacement_nm
0.000,2769.337
1.000,3006.709
2.000,3085.833
3.000,2927.585
4.000,2769.337
5.000,2848.461
6.000,2927.585
7.000,3006.709
8.000,2927.585
9.000,2769.337
10.000,2848.461
11.000,3006.709
12.000,3085.833
13.000,2927.585
14.000,2769.337
15.000,2769.337
16.000,2927.585
17.000,3006.709
18.000,2927.585
19.000,2769.337
20.000,2848.461
21.000,3006.709
22.000,3006.709
23.000,2927.585
24.000,2769.337
25.000,2769.337
26.000,3006.709
27.000,3085.833
28.000,2927.585
29.000,2769.337
30.000,2848.461
31.000,2927.585
32.000,3006.709
33.000,2848.461
34.000,2769.337
35.000,2848.461
36.000,3006.709
37.000,3085.833
38.000,2927.585
39.000,2769.337
40.000,2769.337
41.000,2927.585
42.000,3006.709
43.000,2927.585
44.000,2769.337
45.000,2848.461
46.000,3006.709
47.000,3006.709
48.000,2927.585
49.000,2769.337
50.000,2769.337
51.000,2927.585
52.000,3085.833
53.000,2927.585
54.000,2769.337
55.000,2848.461
56.000,2927.585
57.000,3006.709
58.000,2848.461
59.000,2769.337
60.000,2848.461
61.000,3006.709
62.000,3085.833
63.000,2927.585
64.000,2769.337
65.000,2769.337
66.000,2927.585
67.000,3006.709
68.000,2927.585
69.000,2769.337
70.000,2848.461
71.000,3006.709
72.000,3006.709
73.000,2927.585
74.000,2769.337
75.000,2769.337
76.000,2927.585
77.000,3006.709
78.000,2927.585
79.000,2848.461
80.000,2848.461
81.000,2927.585
82.000,3006.709
83.000,2848.461
84.000,2769.337
85.000,2848.461
86.000,3006.709
87.000,3085.833
88.000,2927.585
89.000,2769.337
90.000,2769.337
91.000,2927.585
92.000,3006.709
93.000,2927.585
94.000,2769.337
95.000,2848.461
96.000,3006.709
97.000,3006.709
98.000,2927.585
99.000,2769.337
100.000,2769.337
101.000,2927.585
102.000,3006.709
103.000,2927.585
104.000,2769.337
105.000,2848.461
106.000,3006.709
107.000,3006.709
108.000,2848.461
109.000,2769.337
110.000,2848.461
111.000,3006.709
112.000,3085.833
113.000,2927.585
114.000,2769.337
115.000,2769.337
116.000,2927.585
117.000,3006.709
118.000,2927.585
119.000,2769.337
120.000,2848.461
121.000,3006.709
122.000,3006.709
123.000,2927.585
124.000,2769.337
125.000,2769.337
126.000,3006.709
127.000,3085.833
128.000,2927.585
129.000,2769.337
130.000,2848.461
131.000,2927.585
132.000,3006.709
133.000,2848.461
134.000,2769.337
135.000,2848.461
136.000,3006.709
137.000,3085.833
138.000,2927.585
139.000,2769.337
140.000,2769.337
141.000,2927.585
142.000,3006.709
143.000,2927.585
144.000,2769.337
145.000,2848.461
146.000,3006.709
147.000,3006.709
148.000,2927.585
149.000,2769.337
150.000,2769.337
151.000,2927.585
152.000,3006.709
153.000,2927.585
154.000,2769.337
155.000,2848.461
156.000,3006.709
157.000,3006.709
158.000,2848.461
159.000,2769.337
160.000,2848.461
161.000,3006.709
162.000,3085.833
163.000,2927.585
164.000,2769.337
165.000,2769.337
166.000,2927.585
167.000,3006.709
168.000,2927.585
169.000,2769.337
170.000,2848.461
171.000,3006.709
172.000,3006.709
173.000,2927.585
174.000,2769.337
175.000,2769.337
176.000,3006.709
177.000,3085.833
178.000,2927.585
179.000,2769.337
180.000,2848.461
181.000,2927.585
182.000,3006.709
183.000,2848.461
184.000,2769.337
185.000,2848.461
186.000,3006.709
187.000,3085.833
188.000,2927.585
189.000,2769.337
190.000,2769.337
191.000,2927.585
192.000,3006.709
193.000,2927.585
194.000,2769.337
195.000,2848.461
196.000,3006.709
197.000,3006.709
198.000,2927.585
199.000,2769.337
200.000,2769.337
201.000,2927.585
202.000,3006.709
203.000,2927.585
204.000,2848.461
205.000,2848.461
206.000,2927.585
207.000,3006.709
208.000,2848.461
209.000,2769.337
210.000,2848.461
211.000,3006.709
212.000,3085.833
213.000,2927.585
214.000,2769.337
215.000,2769.337
216.000,2927.585
217.000,3006.709
218.000,2927.585
219.000,2769.337
220.000,2848.461
221.000,3006.709
222.000,3085.833
223.000,2927.585
224.000,2769.337
225.000,2769.337
226.000,2927.585
227.000,3006.709
228.000,2927.585
229.000,2769.337
230.000,2848.461
231.000,3006.709
232.000,3006.709
233.000,2927.585
234.000,2769.337
235.000,2848.461
236.000,3006.709
237.000,3085.833
238.000,2927.585
239.000,2769.337
240.000,2769.337
241.000,2927.585
242.000,3006.709
243.000,2927.585
244.000,2769.337
245.000,2848.461
246.000,3006.709
247.000,3006.709
248.000,2927.585
249.000,2769.337
250.000,2769.337
251.000,3006.709
252.000,3085.833
253.000,2927.585
254.000,2769.337
255.000,2848.461
256.000,2927.585
257.000,3006.709
258.000,2848.461
259.000,2769.337
260.000,2848.461
261.000,3006.709
262.000,3085.833
263.000,2927.585
264.000,2769.337
265.000,2769.337
266.000,2927.585
267.000,3006.709
268.000,2927.585
269.000,2769.337
270.000,2848.461
271.000,3006.709
272.000,3006.709
273.000,2927.585
274.000,2769.337
275.000,2769.337
276.000,2927.585
277.000,3006.709
278.000,2927.585
279.000,2848.461
280.000,2848.461
281.000,3006.709
282.000,3006.709
283.000,2848.461
284.000,2769.337
285.000,2848.461
286.000,3006.709
287.000,3085.833
288.000,2927.585
289.000,2769.337
290.000,2769.337
291.000,2927.585
292.000,3006.709
293.000,2927.585
294.000,2769.337
295.000,2848.461
296.000,3006.709
297.000,3006.709
298.000,2927.585
299.000,2769.337
300.000,2769.337
301.000,2927.585
302.000,3006.709
303.000,2927.585
304.000,2769.337
305.000,2848.461
306.000,3006.709
307.000,3006.709
308.000,2848.461
309.000,2769.337
310.000,2848.461
311.000,3006.709
312.000,3085.833
313.000,2927.585
314.000,2769.337
315.000,2769.337
316.000,2927.585
317.000,3006.709
318.000,2927.585
319.000,2769.337
320.000,2848.461
321.000,3006.709
322.000,3006.709
323.000,2927.585
324.000,2769.337
325.000,2769.337
326.000,2927.585
327.000,3006.709
328.000,2927.585
329.000,2848.461
330.000,2848.461
331.000,3006.709
332.000,3006.709
333.000,2848.461
334.000,2769.337
335.000,2848.461
336.000,3006.709
337.000,3085.833
338.000,2927.585
339.000,2769.337
340.000,2769.337
341.000,2927.585
342.000,3006.709
343.000,2927.585
344.000,2769.337
345.000,2848.461
346.000,3006.709
347.000,3006.709
348.000,2927.585
349.000,2769.337
350.000,2769.337
351.000,2927.585
352.000,3006.709
353.000,2927.585
354.000,2769.337
355.000,2848.461
356.000,3006.709
357.000,3006.709
358.000,2927.585
359.000,2769.337
360.000,2848.461
361.000,3006.709
362.000,3085.833
363.000,2927.585
364.000,2769.337
365.000,2769.337
366.000,2927.585
367.000,3006.709
368.000,2927.585
369.000,2769.337
370.000,2848.461
371.000,3006.709
372.000,3006.709
373.000,2927.585
374.000,2769.337
375.000,2769.337
376.000,3006.709
377.000,3085.833
378.000,2927.585
379.000,2848.461
380.000,2848.461
381.000,2927.585
382.000,3006.709
383.000,2848.461
384.000,2769.337
385.000,2848.461
386.000,3006.709
387.000,3085.833
388.000,2927.585
389.000,2769.337
390.000,2769.337
391.000,2927.585
392.000,3006.709
393.000,2927.585
394.000,2769.337
395.000,2848.461
396.000,3006.709
397.000,3006.709
398.000,2927.585
399.000,2769.337
400.000,2769.337
401.000,2927.585
402.000,3006.709
403.000,2927.585
404.000,2848.461
405.000,2848.461
406.000,3006.709
407.000,3006.709
408.000,2848.461
409.000,2769.337
410.000,2848.461
411.000,3006.709
412.000,3085.833
413.000,2927.585
414.000,2769.337
415.000,2769.337
416.000,2927.585
417.000,3006.709
418.000,2927.585
419.000,2769.337
420.000,2848.461
421.000,3006.709
422.000,3006.709
423.000,2927.585
424.000,2769.337
425.000,2769.337
426.000,2927.585
427.000,3006.709
428.000,2927.585
429.000,2848.461
