Time_ms,Absolute_Displacement_nm
0.000,474.744
1.000,474.744
2.000,158.248
3.000,-79.124
4.000,158.248
5.000,474.744
6.000,395.620
7.000,79.124
8.000,-79.124
9.000,158.248
10.000,553.867
11.000,474.744
12.000,79.124
13.000,-79.124
14.000,158.248
15.000,474.744
16.000,395.620
17.000,79.124
18.000,-79.124
19.000,237.372
20.000,553.867
21.000,474.744
22.000,79.124
23.000,-158.248
24.000,158.248
25.000,474.744
26.000,474.744
27.000,158.248
28.000,-79.124
29.000,158.248
30.000,474.744
31.000,395.620
32.000,79.124
33.000,-79.124
34.000,158.248
35.000,474.744
36.000,474.744
37.000,79.124
38.000,-79.124
39.000,158.248
40.000,474.744
41.000,395.620
42.000,79.124
43.000,-79.124
44.000,158.248
45.000,553.867
46.000,474.744
47.000,79.124
48.000,-79.124
49.000,158.248
50.000,474.744
51.000,474.744
52.000,79.124
53.000,-79.124
54.000,158.248
55.000,474.744
56.000,395.620
57.000,79.124
58.000,-79.124
59.000,158.248
60.000,553.867
61.000,474.744
62.000,79.124
63.000,-79.124
64.000,158.248
65.000,474.744
66.000,395.620
67.000,79.124
68.000,-79.124
69.000,237.372
70.000,553.867
71.000,474.744
72.000,79.124
73.000,-158.248
74.000,158.248
75.000,474.744
76.000,474.744
77.000,158.248
78.000,0.000
79.000,158.248
80.000,474.744
81.000,395.620
82.000,79.124
83.000,-79.124
84.000,158.248
85.000,553.867
86.000,474.744
87.000,158.248
88.000,-79.124
89.000,158.248
90.000,474.744
91.000,395.620
92.000,79.124
93.000,-79.124
94.000,237.372
95.000,553.867
96.000,474.744
97.000,79.124
98.000,-79.124
99.000,158.248
100.000,474.744
101.000,474.744
102.000,79.124
103.000,-79.124
104.000,158.248
105.000,474.744
106.000,395.620
107.000,79.124
108.000,-79.124
109.000,158.248
110.000,474.744
111.000,474.744
112.000,79.124
113.000,-79.124
114.000,158.248
115.000,474.744
116.000,395.620
117.000,79.124
118.000,-79.124
119.000,158.248
120.000,553.867
121.000,474.744
122.000,79.124
123.000,-79.124
124.000,158.248
125.000,474.744
126.000,474.744
127.000,158.248
128.000,-79.124
129.000,158.248
130.000,474.744
131.000,395.620
132.000,79.124
133.000,-79.124
134.000,158.248
135.000,553.867
136.000,474.744
137.000,79.124
138.000,-79.124
139.000,158.248
140.000,474.744
141.000,395.620
142.000,79.124
143.000,-79.124
144.000,237.372
145.000,553.867
146.000,474.744
147.000,79.124
148.000,-79.124
149.000,158.248
150.000,474.744
151.000,474.744
152.000,158.248
153.000,-79.124
154.000,158.248
155.000,474.744
156.000,395.620
157.000,79.124
158.000,-79.124
159.000,158.248
160.000,553.867
161.000,474.744
162.000,158.248
163.000,-79.124
164.000,158.248
165.000,474.744
166.000,395.620
167.000,79.124
168.000,-79.124
169.000,158.248
170.000,553.867
171.000,474.744
172.000,79.124
173.000,-79.124
174.000,158.248
175.000,474.744
176.000,474.744
177.000,79.124
178.000,-79.124
179.000,158.248
180.000,474.744
181.000,395.620
182.000,79.124
183.000,-79.124
184.000,158.248
185.000,553.867
186.000,474.744
187.000,79.124
188.000,-79.124
189.000,158.248
190.000,474.744
191.000,395.620
192.000,79.124
193.000,-79.124
194.000,237.372
195.000,553.867
196.000,474.744
197.000,79.124
198.000,-158.248
199.000,158.248
200.000,474.744
201.000,474.744
202.000,158.248
203.000,-79.124
204.000,158.248
205.000,474.744
206.000,395.620
207.000,79.124
208.000,-79.124
209.000,158.248
210.000,553.867
211.000,474.744
212.000,158.248
213.000,-79.124
214.000,158.248
215.000,474.744
216.000,395.620
217.000,79.124
218.000,-79.124
219.000,237.372
220.000,553.867
221.000,474.744
222.000,79.124
223.000,-158.248
224.000,158.248
225.000,474.744
226.000,474.744
227.000,158.248
228.000,-79.124
229.000,158.248
230.000,474.744
231.000,395.620
232.000,79.124
233.000,-79.124
234.000,158.248
235.000,553.867
236.000,474.744
237.000,158.248
238.000,-79.124
239.000,158.248
240.000,474.744
241.000,395.620
242.000,79.124
243.000,-79.124
244.000,237.372
245.000,553.867
246.000,474.744
247.000,79.124
248.000,-158.248
249.000,158.248
250.000,474.744
251.000,474.744
252.000,158.248
253.000,-79.124
254.000,158.248
255.000,474.744
256.000,395.620
257.000,79.124
258.000,-79.124
259.000,158.248
260.000,553.867
261.000,474.744
262.000,158.248
263.000,-79.124
264.000,158.248
265.000,474.744
266.000,395.620
267.000,79.124
268.000,-79.124
269.000,237.372
270.000,553.867
271.000,474.744
272.000,79.124
273.000,-79.124
274.000,158.248
275.000,474.744
276.000,474.744
277.000,79.124
278.000,-79.124
279.000,158.248
280.000,474.744
281.000,395.620
282.000,79.124
283.000,-79.124
284.000,158.248
285.000,553.867
286.000,474.744
287.000,79.124
288.000,-79.124
289.000,158.248
290.000,474.744
291.000,395.620
292.000,79.124
293.000,-79.124
294.000,158.248
295.000,553.867
296.000,474.744
297.000,79.124
298.000,-158.248
299.000,158.248
300.000,474.744
301.000,474.744
302.000,158.248
303.000,-79.124
304.000,158.248
305.000,474.744
306.000,395.620
307.000,79.124
308.000,-79.124
309.000,158.248
310.000,553.867
311.000,474.744
312.000,79.124
313.000,-79.124
314.000,158.248
315.000,474.744
316.000,395.620
317.000,79.124
318.000,-79.124
319.000,237.372
320.000,553.867
321.000,474.744
322.000,79.124
323.000,-158.248
324.000,158.248
325.000,474.744
326.000,474.744
327.000,158.248
328.000,-79.124
329.000,158.248
330.000,474.744
331.000,395.620
332.000,79.124
333.000,-79.124
334.000,158.248
335.000,553.867
336.000,474.744
337.000,158.248
338.000,-79.124
339.000,158.248
340.000,474.744
341.000,395.620
342.000,79.124
343.000,-79.124
344.000,237.372
345.000,553.867
346.000,474.744
347.000,79.124
348.000,-158.248
349.000,158.248
350.000,474.744
351.000,474.744
352.000,158.248
353.000,-79.124
354.000,158.248
355.000,474.744
356.000,395.620
357.000,79.124
358.000,-79.124
359.000,158.248
360.000,553.867
361.000,474.744
362.000,158.248
363.000,-79.124
364.000,158.248
365.000,474.744
366.000,395.620
367.000,79.124
368.000,-79.124
369.000,237.372
370.000,553.867
371.000,474.744
372.000,79.124
373.000,-158.248
374.000,158.248
375.000,474.744
376.000,474.744
377.000,158.248
378.000,-79.124
379.000,158.248
380.000,474.744
381.000,395.620
382.000,79.124
383.000,-79.124
384.000,158.248
385.000,553.867
386.000,474.744
387.000,158.248
388.000,-79.124
389.000,158.248
390.000,474.744
391.000,395.620
392.000,79.124
393.000,-79.124
394.000,158.248
395.000,553.867
396.000,474.744
397.000,79.124
398.000,-79.124
399.000,158.248
400.000,474.744
401.000,474.744
402.000,79.124
403.000,-79.124
404.000,158.248
405.000,474.744
406.000,395.620
407.000,79.124
408.000,-79.124
409.000,158.248
410.000,553.867
411.000,474.744
412.000,79.124
