Time_ms,Absolute_Displacement_nm
0.000,474.744
1.000,79.124
2.000,395.620
3.000,79.124
4.000,474.744
5.000,79.124
6.000,474.744
7.000,79.124
8.000,474.744
9.000,79.124
10.000,395.620
11.000,79.124
12.000,474.744
13.000,79.124
14.000,474.744
15.000,158.248
16.000,474.744
17.000,79.124
18.000,395.620
19.000,79.124
20.000,395.620
21.000,79.124
22.000,474.744
23.000,158.248
24.000,474.744
25.000,79.124
26.000,474.744
27.000,79.124
28.000,395.620
29.000,79.124
30.000,474.744
31.000,158.248
32.000,474.744
33.000,79.124
34.000,474.744
35.000,79.124
36.000,474.744
37.000,79.124
38.000,474.744
39.000,79.124
40.000,474.744
41.000,79.124
42.000,474.744
43.000,79.124
44.000,474.744
45.000,79.124
46.000,474.744
47.000,79.124
48.000,474.744
49.000,79.124
50.000,474.744
51.000,79.124
52.000,395.620
53.000,79.124
54.000,474.744
55.000,158.248
56.000,474.744
57.000,79.124
58.000,474.744
59.000,79.124
60.000,395.620
61.000,79.124
62.000,474.744
63.000,79.124
64.000,474.744
65.000,158.248
66.000,474.744
67.000,79.124
68.000,395.620
69.000,79.124
70.000,395.620
71.000,79.124
72.000,474.744
73.000,158.248
74.000,474.744
75.000,79.124
76.000,395.620
77.000,79.124
78.000,395.620
79.000,79.124
80.000,474.744
81.000,158.248
82.000,474.744
83.000,158.248
84.000,474.744
85.000,79.124
86.000,395.620
87.000,79.124
88.000,474.744
89.000,79.124
90.000,474.744
91.000,158.248
92.000,474.744
93.000,79.124
94.000,395.620
95.000,79.124
96.000,474.744
97.000,79.124
98.000,474.744
99.000,79.124
100.000,474.744
101.000,79.124
102.000,474.744
103.000,79.124
104.000,474.744
105.000,79.124
106.000,474.744
107.000,79.124
108.000,474.744
109.000,79.124
110.000,395.620
111.000,79.124
112.000,474.744
113.000,79.124
114.000,474.744
115.000,79.124
116.000,474.744
117.000,79.124
118.000,395.620
119.000,79.124
120.000,474.744
121.000,79.124
122.000,474.744
123.000,158.248
124.000,474.744
125.000,79.124
126.000,395.620
127.000,79.124
128.000,395.620
129.000,79.124
130.000,474.744
131.000,158.248
132.000,474.744
133.000,79.124
134.000,474.744
135.000,79.124
136.000,395.620
137.000,79.124
138.000,474.744
139.000,158.248
140.000,474.744
141.000,158.248
142.000,474.744
143.000,79.124
144.000,395.620
145.000,79.124
146.000,474.744
147.000,79.124
148.000,474.744
149.000,158.248
150.000,474.744
151.000,79.124
152.000,395.620
153.000,79.124
154.000,474.744
155.000,79.124
156.000,474.744
157.000,158.248
158.000,474.744
159.000,79.124
160.000,395.620
161.000,79.124
162.000,474.744
163.000,79.124
164.000,474.744
165.000,79.124
166.000,474.744
167.000,79.124
168.000,395.620
169.000,79.124
170.000,474.744
171.000,79.124
172.000,474.744
173.000,79.124
174.000,474.744
175.000,79.124
176.000,395.620
177.000,79.124
178.000,474.744
179.000,79.124
180.000,474.744
181.000,158.248
182.000,474.744
183.000,79.124
184.000,474.744
185.000,79.124
186.000,395.620
187.000,79.124
188.000,474.744
189.000,158.248
190.000,474.744
191.000,79.124
192.000,474.744
193.000,79.124
194.000,395.620
195.000,79.124
196.000,474.744
197.000,158.248
198.000,474.744
199.000,158.248
200.000,474.744
201.000,79.124
202.000,395.620
203.000,79.124
204.000,474.744
205.000,158.248
206.000,474.744
207.000,158.248
208.000,474.744
209.000,79.124
210.000,395.620
211.000,79.124
212.000,474.744
213.000,79.124
214.000,474.744
215.000,158.248
216.000,474.744
217.000,79.124
218.000,395.620
219.000,79.124
220.000,395.620
221.000,79.124
222.000,474.744
223.000,158.248
224.000,474.744
225.000,79.124
226.000,395.620
227.000,79.124
228.000,395.620
229.000,79.124
230.000,474.744
231.000,158.248
232.000,474.744
233.000,79.124
234.000,474.744
235.000,79.124
236.000,395.620
237.000,79.124
238.000,474.744
