Time_ms,Absolute_Displacement_nm
0.000,3323.205
1.000,3323.205
2.000,2848.461
3.000,2531.965
4.000,2769.337
5.000,3244.081
6.000,3323.205
7.000,2927.585
8.000,2611.089
9.000,2848.461
10.000,3244.081
11.000,3323.205
12.000,2848.461
13.000,2531.965
14.000,2769.337
15.000,3323.205
16.000,3323.205
17.000,2927.585
18.000,2611.089
19.000,2769.337
20.000,3244.081
21.000,3323.205
22.000,2848.461
23.000,2611.089
24.000,2848.461
25.000,3323.205
26.000,3323.205
27.000,2848.461
28.000,2531.965
29.000,2769.337
30.000,3244.081
31.000,3323.205
32.000,2927.585
33.000,2611.089
34.000,2769.337
35.000,3244.081
36.000,3323.205
37.000,2848.461
38.000,2531.965
39.000,2848.461
40.000,3323.205
41.000,3323.205
42.000,2927.585
43.000,2531.965
44.000,2769.337
45.000,3244.081
46.000,3323.205
47.000,2927.585
48.000,2611.089
49.000,2848.461
50.000,3244.081
51.000,3323.205
52.000,2848.461
53.000,2531.965
54.000,2769.337
55.000,3244.081
56.000,3323.205
57.000,2927.585
58.000,2611.089
59.000,2769.337
60.000,3244.081
61.000,3323.205
62.000,2848.461
63.000,2531.965
64.000,2848.461
65.000,3323.205
66.000,3323.205
67.000,2927.585
68.000,2531.965
69.000,2769.337
70.000,3244.081
71.000,3323.205
72.000,2927.585
73.000,2611.089
74.000,2848.461
75.000,3323.205
76.000,3323.205
77.000,2848.461
78.000,2531.965
79.000,2769.337
80.000,3244.081
81.000,3323.205
82.000,2927.585
83.000,2611.089
84.000,2848.461
85.000,3244.081
86.000,3323.205
87.000,2848.461
88.000,2531.965
89.000,2848.461
90.000,3323.205
91.000,3323.205
92.000,2927.585
93.000,2531.965
94.000,2769.337
95.000,3244.081
96.000,3323.205
97.000,2848.461
98.000,2611.089
99.000,2848.461
100.000,3323.205
101.000,3323.205
102.000,2848.461
103.000,2531.965
104.000,2769.337
105.000,3244.081
106.000,3323.205
107.000,2927.585
108.000,2611.089
109.000,2848.461
110.000,3244.081
111.000,3323.205
112.000,2848.461
113.000,2531.965
114.000,2848.461
115.000,3323.205
116.000,3323.205
117.000,2927.585
118.000,2531.965
119.000,2769.337
120.000,3244.081
121.000,3323.205
122.000,2848.461
123.000,2611.089
124.000,2848.461
125.000,3323.205
126.000,3323.205
127.000,2848.461
128.000,2531.965
129.000,2769.337
130.000,3244.081
131.000,3323.205
132.000,2927.585
133.000,2611.089
134.000,2848.461
135.000,3244.081
136.000,3323.205
137.000,2848.461
138.000,2531.965
139.000,2769.337
140.000,3323.205
141.000,3323.205
142.000,2927.585
143.000,2611.089
144.000,2769.337
145.000,3244.081
146.000,3323.205
147.000,2848.461
148.000,2611.089
149.000,2848.461
150.000,3323.205
151.000,3323.205
152.000,2848.461
153.000,2531.965
154.000,2769.337
155.000,3244.081
156.000,3323.205
157.000,2927.585
158.000,2611.089
159.000,2769.337
160.000,3244.081
161.000,3323.205
162.000,2848.461
163.000,2531.965
164.000,2848.461
165.000,3323.205
166.000,3323.205
167.000,2927.585
168.000,2531.965
169.000,2769.337
170.000,3244.081
171.000,3323.205
172.000,2927.585
173.000,2611.089
174.000,2848.461
175.000,3323.205
176.000,3323.205
177.000,2848.461
178.000,2531.965
179.000,2769.337
180.000,3244.081
181.000,3323.205
182.000,2927.585
183.000,2611.089
184.000,2769.337
185.000,3244.081
186.000,3244.081
187.000,2848.461
188.000,2531.965
189.000,2848.461
190.000,3323.205
191.000,3323.205
192.000,2927.585
193.000,2531.965
194.000,2769.337
195.000,3244.081
196.000,3323.205
197.000,2927.585
198.000,2611.089
199.000,2848.461
200.000,3323.205
201.000,3323.205
202.000,2848.461
203.000,2531.965
204.000,2769.337
205.000,3244.081
206.000,3323.205
207.000,2927.585
208.000,2611.089
209.000,2848.461
210.000,3244.081
211.000,3323.205
212.000,2848.461
213.000,2531.965
214.000,2769.337
215.000,3323.205
216.000,3323.205
217.000,2927.585
218.000,2611.089
219.000,2769.337
220.000,3244.081
221.000,3323.205
222.000,2848.461
223.000,2611.089
224.000,2848.461
225.000,3323.205
226.000,3323.205
227.000,2848.461
228.000,2531.965
229.000,2769.337
230.000,3244.081
231.000,3323.205
232.000,2927.585
233.000,2611.089
234.000,2848.461
235.000,3244.081
236.000,3323.205
237.000,2848.461
238.000,2531.965
239.000,2848.461
240.000,3323.205
241.000,3323.205
242.000,2927.585
243.000,2531.965
244.000,2769.337
245.000,3244.081
246.000,3323.205
247.000,2927.585
248.000,2611.089
249.000,2848.461
250.000,3323.205
251.000,3323.205
252.000,2848.461
253.000,2531.965
254.000,2769.337
255.000,3244.081
256.000,3323.205
257.000,2927.585
258.000,2611.089
259.000,2769.337
260.000,3244.081
261.000,3323.205
262.000,2848.461
263.000,2531.965
264.000,2769.337
265.000,3323.205
266.000,3323.205
267.000,2927.585
268.000,2531.965
269.000,2769.337
270.000,3244.081
271.000,3323.205
272.000,2848.461
273.000,2611.089
274.000,2848.461
275.000,3323.205
276.000,3323.205
277.000,2848.461
278.000,2531.965
279.000,2769.337
280.000,3244.081
281.000,3323.205
282.000,2927.585
283.000,2611.089
284.000,2769.337
285.000,3244.081
286.000,3323.205
287.000,2848.461
288.000,2531.965
289.000,2769.337
290.000,3323.205
291.000,3323.205
292.000,2927.585
293.000,2531.965
294.000,2769.337
295.000,3244.081
296.000,3323.205
297.000,2927.585
298.000,2611.089
299.000,2848.461
300.000,3323.205
301.000,3323.205
302.000,2848.461
303.000,2531.965
304.000,2769.337
305.000,3244.081
306.000,3323.205
307.000,2927.585
308.000,2611.089
309.000,2769.337
310.000,3244.081
311.000,3244.081
312.000,2848.461
313.000,2531.965
314.000,2848.461
315.000,3323.205
316.000,3402.329
317.000,2927.585
318.000,2531.965
319.000,2769.337
320.000,3244.081
321.000,3323.205
322.000,2927.585
323.000,2611.089
324.000,2848.461
325.000,3323.205
326.000,3323.205
327.000,2848.461
328.000,2531.965
329.000,2769.337
330.000,3244.081
331.000,3323.205
332.000,2927.585
333.000,2611.089
334.000,2848.461
335.000,3244.081
336.000,3323.205
337.000,2848.461
338.000,2531.965
339.000,2769.337
340.000,3323.205
341.000,3402.329
342.000,2927.585
343.000,2531.965
344.000,2769.337
345.000,3244.081
346.000,3323.205
347.000,2848.461
348.000,2611.089
349.000,2848.461
350.000,3323.205
351.000,3323.205
352.000,2848.461
353.000,2531.965
354.000,2769.337
355.000,3244.081
356.000,3323.205
357.000,2927.585
358.000,2611.089
359.000,2769.337
360.000,3244.081
361.000,3323.205
362.000,2848.461
363.000,2531.965
364.000,2769.337
365.000,3323.205
366.000,3323.205
367.000,2927.585
368.000,2531.965
369.000,2769.337
370.000,3244.081
371.000,3323.205
372.000,2848.461
373.000,2611.089
374.000,2848.461
375.000,3323.205
376.000,3323.205
377.000,2848.461
378.000,2531.965
379.000,2769.337
380.000,3244.081
381.000,3323.205
382.000,2927.585
383.000,2611.089
384.000,2848.461
385.000,3244.081
386.000,3323.205
387.000,2848.461
388.000,2531.965
389.000,2769.337
390.000,3323.205
391.000,3323.205
392.000,2927.585
393.000,2611.089
394.000,2769.337
395.000,3244.081
396.000,3323.205
397.000,2927.585
398.000,2611.089
399.000,2848.461
400.000,3323.205
401.000,3323.205
402.000,2848.461
403.000,2531.965
404.000,2769.337
405.000,3244.081
406.000,3323.205
407.000,2927.585
408.000,2611.089
409.000,2769.337
410.000,3244.081
411.000,3323.205
412.000,2848.461
413.000,2531.965
414.000,2769.337
415.000,3323.205
416.000,3323.205
417.000,2927.585
418.000,2531.965
419.000,2769.337
420.000,3244.081
421.000,3323.205
422.000,2927.585
423.000,2611.089
424.000,2848.461
425.000,3323.205
426.000,3323.205
427.000,2848.461
428.000,2531.965
429.000,2769.337
430.000,3244.081
431.000,3323.205
432.000,2927.585
433.000,2611.089
434.000,2769.337
435.000,3244.081
436.000,3323.205
437.000,2848.461
438.000,2531.965
439.000,2769.337
440.000,3323.205
441.000,3402.329
442.000,2927.585
443.000,2611.089
444.000,2769.337
445.000,3244.081
446.000,3323.205
447.000,2927.585
448.000,2611.089
449.000,2848.461
450.000,3323.205
451.000,3323.205
452.000,2848.461
453.000,2531.965
454.000,2769.337
455.000,3244.081
456.000,3323.205
457.000,2927.585
458.000,2611.089
459.000,2848.461
460.000,3244.081
461.000,3323.205
462.000,2848.461
463.000,2531.965
464.000,2769.337
465.000,3323.205
466.000,3323.205
467.000,2927.585
468.000,2531.965
469.000,2769.337
470.000,3244.081
471.000,3323.205
472.000,2927.585
473.000,2611.089
474.000,2848.461
475.000,3323.205
476.000,3323.205
477.000,2848.461
478.000,2531.965
479.000,2769.337
480.000,3244.081
481.000,3323.205
482.000,2927.585
483.000,2611.089
484.000,2769.337
485.000,3244.081
486.000,3323.205
487.000,2848.461
488.000,2531.965
489.000,2769.337
490.000,3323.205
491.000,3402.329
492.000,2927.585
493.000,2531.965
494.000,2769.337
495.000,3244.081
496.000,3323.205
497.000,2927.585
498.000,2611.089
499.000,2848.461
500.000,3323.205
501.000,3323.205
502.000,2848.461
503.000,2531.965
504.000,2769.337
505.000,3244.081
506.000,3323.205
507.000,2927.585
508.000,2611.089
509.000,2769.337
510.000,3244.081
511.000,3323.205
512.000,2848.461
513.000,2531.965
514.000,2769.337
515.000,3244.081
516.000,3323.205
517.000,2927.585
518.000,2531.965
519.000,2769.337
520.000,3244.081
521.000,3323.205
522.000,2927.585
523.000,2611.089
524.000,2848.461
525.000,3244.081
526.000,3323.205
527.000,2848.461
528.000,2531.965
529.000,2769.337
530.000,3244.081
531.000,3323.205
532.000,2927.585
533.000,2611.089
534.000,2769.337
535.000,3244.081
536.000,3323.205
537.000,2848.461
538.000,2611.089
539.000,2848.461
540.000,3323.205
541.000,3323.205
542.000,2927.585
543.000,2531.965
544.000,2769.337
545.000,3244.081
