Time_ms,Absolute_Displacement_nm
0.000,-997204479.587
1.000,-997204479.587
2.000,-997204558.711
3.000,-997204637.835
4.000,-997204637.835
5.000,-997204558.711
6.000,-997204558.711
7.000,-997204479.587
8.000,-997204479.587
9.000,-997204479.587
10.000,-997204558.711
11.000,-997204558.711
12.000,-997204637.835
13.000,-997204637.835
14.000,-997204558.711
15.000,-997204558.711
16.000,-997204479.587
17.000,-997204479.587
18.000,-997204558.711
19.000,-997204558.711
20.000,-997204558.711
21.000,-997204558.711
22.000,-997204558.711
23.000,-997204558.711
24.000,-997204479.587
25.000,-997204479.587
26.000,-997204558.711
27.000,-997204558.711
28.000,-997204558.711
29.000,-997204558.711
30.000,-997204558.711
31.000,-997204558.711
32.000,-997204479.587
33.000,-997204479.587
34.000,-997204558.711
35.000,-997204558.711
36.000,-997204558.711
37.000,-997204558.711
38.000,-997204558.711
39.000,-997204558.711
40.000,-997204479.587
41.000,-997204479.587
42.000,-997204558.711
43.000,-997204558.711
44.000,-997204558.711
45.000,-997204558.711
46.000,-997204558.711
47.000,-997204558.711
48.000,-997204479.587
49.000,-997204479.587
50.000,-997204479.587
51.000,-997204558.711
52.000,-997204558.711
53.000,-997204637.835
54.000,-997204637.835
55.000,-997204558.711
56.000,-997204479.587
57.000,-997204479.587
58.000,-997204479.587
59.000,-997204479.587
60.000,-997204558.711
61.000,-997204637.835
62.000,-997204637.835
63.000,-997204558.711
64.000,-997204558.711
65.000,-997204479.587
66.000,-997204479.587
67.000,-997204479.587
68.000,-997204558.711
69.000,-997204558.711
70.000,-997204637.835
71.000,-997204637.835
72.000,-997204558.711
73.000,-997204558.711
74.000,-997204479.587
75.000,-997204479.587
76.000,-997204479.587
77.000,-997204558.711
78.000,-997204558.711
79.000,-997204558.711
80.000,-997204558.711
81.000,-997204558.711
82.000,-997204479.587
83.000,-997204479.587
84.000,-997204479.587
85.000,-997204558.711
86.000,-997204558.711
87.000,-997204558.711
88.000,-997204558.711
89.000,-997204558.711
90.000,-997204479.587
91.000,-997204479.587
92.000,-997204479.587
93.000,-997204558.711
94.000,-997204558.711
95.000,-997204637.835
96.000,-997204558.711
97.000,-997204558.711
98.000,-997204479.587
99.000,-997204479.587
100.000,-997204479.587
101.000,-997204558.711
102.000,-997204558.711
103.000,-997204637.835
104.000,-997204637.835
105.000,-997204558.711
106.000,-997204479.587
107.000,-997204479.587
108.000,-997204479.587
109.000,-997204479.587
110.000,-997204558.711
111.000,-997204637.835
112.000,-997204637.835
113.000,-997204558.711
114.000,-997204558.711
115.000,-997204479.587
116.000,-997204479.587
117.000,-997204479.587
118.000,-997204558.711
119.000,-997204558.711
120.000,-997204637.835
121.000,-997204637.835
122.000,-997204558.711
123.000,-997204479.587
124.000,-997204479.587
125.000,-997204479.587
126.000,-997204479.587
127.000,-997204558.711
128.000,-997204637.835
129.000,-997204637.835
130.000,-997204558.711
131.000,-997204558.711
132.000,-997204479.587
133.000,-997204479.587
134.000,-997204479.587
135.000,-997204558.711
136.000,-997204558.711
137.000,-997204637.835
138.000,-997204558.711
139.000,-997204558.711
140.000,-997204479.587
141.000,-997204479.587
142.000,-997204479.587
143.000,-997204558.711
144.000,-997204558.711
145.000,-997204637.835
146.000,-997204558.711
147.000,-997204558.711
148.000,-997204479.587
149.000,-997204479.587
150.000,-997204479.587
151.000,-997204558.711
152.000,-997204558.711
153.000,-997204637.835
154.000,-997204637.835
155.000,-997204558.711
156.000,-997204558.711
157.000,-997204479.587
158.000,-997204479.587
159.000,-997204479.587
160.000,-997204558.711
161.000,-997204637.835
162.000,-997204637.835
163.000,-997204558.711
164.000,-997204558.711
165.000,-997204479.587
166.000,-997204479.587
167.000,-997204479.587
168.000,-997204558.711
169.000,-997204558.711
170.000,-997204637.835
171.000,-997204637.835
172.000,-997204558.711
173.000,-997204479.587
174.000,-997204479.587
175.000,-997204479.587
176.000,-997204558.711
177.000,-997204558.711
178.000,-997204637.835
179.000,-997204637.835
180.000,-997204558.711
181.000,-997204558.711
182.000,-997204479.587
183.000,-997204479.587
184.000,-997204479.587
185.000,-997204558.711
186.000,-997204637.835
187.000,-997204637.835
188.000,-997204558.711
189.000,-997204558.711
190.000,-997204479.587
191.000,-997204479.587
192.000,-997204479.587
193.000,-997204558.711
194.000,-997204558.711
195.000,-997204637.835
196.000,-997204637.835
197.000,-997204558.711
198.000,-997204479.587
199.000,-997204479.587
200.000,-997204479.587
201.000,-997204558.711
202.000,-997204558.711
203.000,-997204637.835
204.000,-997204637.835
205.000,-997204558.711
206.000,-997204558.711
207.000,-997204479.587
208.000,-997204479.587
209.000,-997204479.587
210.000,-997204558.711
211.000,-997204558.711
212.000,-997204637.835
213.000,-997204558.711
214.000,-997204558.711
215.000,-997204479.587
216.000,-997204479.587
217.000,-997204479.587
218.000,-997204558.711
219.000,-997204558.711
220.000,-997204637.835
221.000,-997204558.711
222.000,-997204558.711
223.000,-997204479.587
224.000,-997204479.587
