Time_ms,Absolute_Displacement_nm
0.000,2848.461
1.000,3006.709
2.000,2848.461
3.000,3006.709
4.000,2848.461
5.000,3006.709
6.000,2848.461
7.000,3006.709
8.000,2848.461
9.000,3006.709
10.000,2848.461
11.000,3006.709
12.000,2848.461
13.000,3006.709
14.000,2848.461
15.000,3006.709
16.000,2848.461
17.000,3006.709
18.000,2848.461
19.000,3006.709
20.000,2848.461
21.000,3006.709
22.000,2848.461
23.000,3006.709
24.000,2848.461
25.000,3006.709
26.000,2848.461
27.000,3006.709
28.000,2848.461
29.000,3006.709
30.000,2848.461
31.000,3006.709
32.000,2848.461
33.000,3006.709
34.000,2848.461
35.000,3006.709
36.000,2848.461
37.000,3006.709
38.000,2848.461
39.000,3006.709
40.000,2848.461
41.000,3006.709
42.000,2848.461
43.000,3006.709
44.000,2848.461
45.000,3006.709
46.000,2848.461
47.000,3006.709
48.000,2769.337
49.000,3006.709
50.000,2848.461
51.000,3006.709
52.000,2848.461
53.000,3006.709
54.000,2848.461
55.000,3006.709
56.000,2848.461
57.000,3006.709
58.000,2848.461
59.000,3006.709
60.000,2848.461
61.000,3006.709
62.000,2848.461
63.000,3006.709
64.000,2848.461
65.000,3006.709
66.000,2848.461
67.000,3006.709
68.000,2848.461
69.000,3006.709
70.000,2848.461
71.000,3006.709
72.000,2848.461
73.000,3006.709
74.000,2848.461
75.000,3006.709
76.000,2848.461
77.000,3006.709
78.000,2848.461
79.000,3006.709
80.000,2848.461
81.000,3006.709
82.000,2848.461
83.000,3006.709
84.000,2848.461
85.000,3006.709
86.000,2848.461
87.000,3006.709
88.000,2769.337
89.000,2927.585
90.000,2848.461
91.000,3006.709
92.000,2848.461
93.000,3006.709
94.000,2848.461
95.000,3006.709
96.000,2848.461
97.000,2927.585
98.000,2769.337
99.000,3006.709
100.000,2848.461
101.000,3006.709
102.000,2848.461
103.000,3006.709
104.000,2848.461
105.000,3006.709
106.000,2769.337
107.000,3006.709
108.000,2848.461
109.000,3006.709
110.000,2848.461
111.000,3006.709
112.000,2848.461
113.000,3006.709
114.000,2769.337
115.000,2927.585
116.000,2848.461
117.000,3006.709
118.000,2848.461
119.000,3006.709
120.000,2848.461
121.000,3006.709
122.000,2848.461
123.000,3006.709
124.000,2848.461
125.000,3006.709
126.000,2848.461
127.000,3006.709
128.000,2848.461
129.000,3006.709
130.000,2848.461
131.000,3006.709
132.000,2848.461
133.000,3006.709
134.000,2848.461
135.000,3006.709
136.000,2848.461
137.000,3006.709
138.000,2848.461
139.000,3006.709
140.000,2848.461
141.000,3006.709
142.000,2848.461
143.000,3006.709
144.000,2848.461
145.000,3006.709
146.000,2848.461
147.000,3006.709
148.000,2769.337
149.000,3006.709
150.000,2848.461
151.000,3006.709
152.000,2848.461
153.000,3006.709
154.000,2848.461
155.000,3006.709
156.000,2769.337
157.000,3006.709
158.000,2848.461
159.000,3006.709
160.000,2848.461
161.000,3006.709
162.000,2848.461
163.000,3006.709
164.000,2769.337
165.000,3006.709
166.000,2848.461
167.000,3006.709
168.000,2848.461
169.000,3006.709
170.000,2848.461
171.000,3006.709
172.000,2848.461
173.000,3006.709
174.000,2848.461
175.000,3006.709
176.000,2848.461
177.000,3006.709
178.000,2848.461
179.000,3006.709
180.000,2848.461
181.000,3006.709
182.000,2848.461
183.000,3006.709
184.000,2848.461
185.000,3006.709
186.000,2848.461
187.000,3006.709
188.000,2848.461
189.000,3006.709
190.000,2848.461
191.000,3006.709
192.000,2848.461
193.000,3006.709
194.000,2848.461
195.000,3006.709
196.000,2848.461
197.000,3006.709
198.000,2848.461
199.000,3006.709
200.000,2848.461
201.000,3006.709
202.000,2848.461
203.000,3006.709
204.000,2848.461
205.000,3006.709
206.000,2769.337
207.000,3006.709
208.000,2848.461
209.000,3006.709
210.000,2848.461
211.000,3006.709
212.000,2848.461
213.000,3006.709
214.000,2769.337
215.000,3006.709
216.000,2848.461
217.000,3006.709
218.000,2848.461
219.000,3006.709
220.000,2848.461
221.000,3006.709
222.000,2769.337
223.000,2927.585
224.000,2848.461
225.000,3006.709
226.000,2848.461
227.000,3006.709
228.000,2848.461
229.000,3006.709
230.000,2848.461
231.000,2927.585
232.000,2769.337
233.000,3006.709
234.000,2848.461
235.000,3006.709
236.000,2848.461
237.000,3006.709
238.000,2848.461
239.000,2927.585
240.000,2769.337
241.000,3006.709
242.000,2848.461
243.000,3006.709
244.000,2848.461
245.000,3006.709
246.000,2848.461
247.000,3006.709
248.000,2848.461
249.000,3006.709
250.000,2848.461
251.000,3006.709
252.000,2848.461
253.000,3006.709
254.000,2848.461
255.000,3006.709
256.000,2848.461
257.000,3006.709
258.000,2848.461
259.000,3006.709
260.000,2848.461
261.000,3006.709
262.000,2848.461
263.000,3006.709
264.000,2848.461
265.000,3006.709
266.000,2848.461
267.000,3006.709
268.000,2848.461
269.000,3006.709
270.000,2848.461
271.000,3006.709
272.000,2769.337
273.000,3006.709
274.000,2848.461
275.000,3006.709
276.000,2848.461
277.000,3006.709
278.000,2848.461
279.000,3006.709
280.000,2769.337
281.000,2927.585
282.000,2848.461
283.000,3006.709
284.000,2848.461
285.000,3006.709
286.000,2848.461
287.000,3006.709
288.000,2848.461
289.000,2927.585
290.000,2769.337
291.000,3006.709
292.000,2848.461
293.000,3006.709
294.000,2848.461
295.000,3006.709
296.000,2848.461
297.000,3006.709
298.000,2769.337
299.000,3006.709
300.000,2848.461
301.000,3006.709
302.000,2848.461
303.000,3006.709
304.000,2848.461
305.000,3006.709
306.000,2848.461
307.000,3006.709
308.000,2848.461
309.000,3006.709
310.000,2848.461
311.000,3006.709
312.000,2848.461
313.000,3006.709
314.000,2848.461
315.000,3006.709
316.000,2848.461
317.000,3006.709
318.000,2848.461
319.000,3006.709
320.000,2848.461
321.000,3006.709
322.000,2769.337
323.000,3006.709
324.000,2848.461
325.000,3006.709
326.000,2848.461
327.000,3006.709
328.000,2848.461
329.000,3006.709
330.000,2769.337
331.000,3006.709
332.000,2848.461
