Time_ms,Absolute_Displacement_nm
0.000,-949.487
1.000,-632.991
2.000,-712.115
3.000,-949.487
4.000,-712.115
5.000,-553.867
6.000,-870.363
7.000,-870.363
8.000,-553.867
9.000,-791.239
10.000,-949.487
11.000,-632.991
12.000,-632.991
13.000,-949.487
14.000,-712.115
15.000,-553.867
16.000,-949.487
17.000,-870.363
18.000,-553.867
19.000,-791.239
20.000,-949.487
21.000,-553.867
22.000,-632.991
23.000,-949.487
24.000,-712.115
25.000,-553.867
26.000,-949.487
27.000,-870.363
28.000,-553.867
29.000,-791.239
30.000,-949.487
31.000,-553.867
32.000,-632.991
33.000,-949.487
34.000,-712.115
35.000,-553.867
36.000,-949.487
37.000,-870.363
38.000,-553.867
39.000,-791.239
40.000,-949.487
41.000,-632.991
42.000,-712.115
43.000,-949.487
44.000,-712.115
45.000,-553.867
46.000,-870.363
47.000,-870.363
48.000,-553.867
49.000,-791.239
50.000,-949.487
51.000,-632.991
52.000,-712.115
53.000,-949.487
54.000,-712.115
55.000,-553.867
56.000,-870.363
57.000,-870.363
58.000,-553.867
59.000,-791.239
60.000,-949.487
61.000,-632.991
62.000,-632.991
63.000,-949.487
64.000,-712.115
65.000,-553.867
66.000,-949.487
67.000,-870.363
68.000,-553.867
69.000,-791.239
70.000,-949.487
71.000,-553.867
72.000,-632.991
73.000,-949.487
74.000,-712.115
75.000,-553.867
76.000,-949.487
77.000,-870.363
78.000,-553.867
79.000,-791.239
80.000,-949.487
81.000,-553.867
82.000,-632.991
83.000,-949.487
84.000,-712.115
85.000,-553.867
86.000,-949.487
87.000,-870.363
88.000,-553.867
89.000,-791.239
90.000,-949.487
91.000,-553.867
92.000,-632.991
93.000,-949.487
94.000,-712.115
95.000,-553.867
96.000,-949.487
97.000,-870.363
98.000,-553.867
99.000,-791.239
100.000,-949.487
101.000,-632.991
102.000,-712.115
103.000,-949.487
104.000,-712.115
105.000,-553.867
106.000,-870.363
107.000,-870.363
108.000,-553.867
109.000,-791.239
110.000,-949.487
111.000,-632.991
112.000,-632.991
113.000,-949.487
114.000,-712.115
115.000,-553.867
116.000,-949.487
117.000,-870.363
118.000,-553.867
119.000,-791.239
120.000,-949.487
121.000,-632.991
122.000,-632.991
123.000,-949.487
124.000,-712.115
125.000,-553.867
126.000,-949.487
127.000,-870.363
128.000,-553.867
129.000,-791.239
130.000,-949.487
131.000,-553.867
132.000,-632.991
133.000,-949.487
134.000,-712.115
135.000,-553.867
136.000,-949.487
137.000,-870.363
138.000,-553.867
139.000,-791.239
140.000,-949.487
141.000,-553.867
142.000,-632.991
143.000,-949.487
144.000,-712.115
145.000,-553.867
146.000,-949.487
147.000,-870.363
148.000,-553.867
149.000,-791.239
150.000,-949.487
151.000,-632.991
152.000,-712.115
153.000,-949.487
154.000,-712.115
155.000,-553.867
156.000,-949.487
157.000,-870.363
158.000,-553.867
159.000,-791.239
160.000,-949.487
161.000,-632.991
162.000,-632.991
163.000,-949.487
164.000,-712.115
165.000,-553.867
166.000,-949.487
167.000,-870.363
168.000,-553.867
