Time_ms,Absolute_Displacement_nm
0.000,158.248
1.000,158.248
2.000,632.991
3.000,632.991
4.000,237.372
5.000,474.744
6.000,474.744
7.000,0.000
8.000,0.000
9.000,395.620
10.000,237.372
11.000,237.372
12.000,632.991
13.000,632.991
14.000,237.372
15.000,395.620
16.000,474.744
17.000,0.000
18.000,79.124
19.000,474.744
20.000,237.372
21.000,158.248
22.000,632.991
23.000,553.867
24.000,237.372
25.000,395.620
26.000,474.744
27.000,79.124
28.000,79.124
29.000,395.620
30.000,237.372
31.000,158.248
32.000,632.991
33.000,632.991
34.000,237.372
35.000,474.744
36.000,474.744
37.000,79.124
38.000,79.124
39.000,395.620
40.000,158.248
41.000,158.248
42.000,632.991
43.000,632.991
44.000,237.372
45.000,474.744
46.000,474.744
47.000,0.000
48.000,0.000
49.000,395.620
50.000,237.372
51.000,158.248
52.000,632.991
53.000,632.991
54.000,237.372
55.000,395.620
56.000,474.744
57.000,0.000
58.000,0.000
59.000,395.620
60.000,237.372
61.000,237.372
62.000,632.991
63.000,632.991
64.000,237.372
65.000,395.620
66.000,474.744
67.000,0.000
68.000,79.124
69.000,474.744
70.000,237.372
71.000,158.248
72.000,632.991
73.000,553.867
74.000,237.372
75.000,395.620
76.000,474.744
77.000,0.000
78.000,79.124
79.000,474.744
80.000,237.372
81.000,158.248
82.000,632.991
83.000,553.867
84.000,237.372
85.000,474.744
86.000,474.744
87.000,0.000
88.000,79.124
89.000,395.620
90.000,158.248
91.000,158.248
92.000,632.991
93.000,632.991
94.000,237.372
95.000,474.744
96.000,474.744
97.000,0.000
98.000,0.000
99.000,395.620
100.000,237.372
101.000,158.248
102.000,632.991
103.000,632.991
104.000,237.372
105.000,395.620
106.000,474.744
107.000,0.000
108.000,0.000
109.000,395.620
110.000,237.372
111.000,237.372
112.000,632.991
113.000,632.991
114.000,237.372
115.000,395.620
116.000,474.744
117.000,0.000
118.000,79.124
119.000,474.744
120.000,237.372
121.000,158.248
122.000,632.991
123.000,553.867
124.000,237.372
125.000,395.620
126.000,474.744
127.000,79.124
128.000,79.124
129.000,474.744
130.000,237.372
131.000,158.248
132.000,632.991
133.000,553.867
134.000,237.372
135.000,474.744
136.000,553.867
137.000,79.124
138.000,79.124
139.000,395.620
140.000,158.248
141.000,158.248
142.000,632.991
143.000,632.991
144.000,237.372
145.000,474.744
146.000,474.744
147.000,0.000
148.000,0.000
149.000,395.620
150.000,237.372
151.000,158.248
152.000,632.991
153.000,632.991
154.000,237.372
155.000,395.620
156.000,474.744
157.000,0.000
158.000,0.000
159.000,395.620
160.000,237.372
161.000,237.372
162.000,632.991
163.000,632.991
164.000,237.372
165.000,395.620
166.000,474.744
167.000,0.000
168.000,79.124
169.000,474.744
170.000,237.372
171.000,158.248
172.000,632.991
173.000,553.867
174.000,237.372
175.000,395.620
176.000,474.744
177.000,79.124
178.000,79.124
179.000,474.744
180.000,237.372
181.000,158.248
182.000,632.991
183.000,553.867
184.000,237.372
185.000,474.744
186.000,553.867
187.000,79.124
188.000,79.124
189.000,395.620
190.000,158.248
191.000,158.248
192.000,632.991
193.000,632.991
194.000,237.372
195.000,474.744
196.000,474.744
197.000,0.000
198.000,0.000
199.000,395.620
200.000,237.372
201.000,158.248
202.000,632.991
203.000,632.991
204.000,237.372
205.000,474.744
206.000,474.744
207.000,0.000
208.000,0.000
209.000,395.620
210.000,237.372
211.000,158.248
212.000,632.991
213.000,632.991
214.000,237.372
215.000,395.620
216.000,474.744
217.000,0.000
218.000,79.124
219.000,474.744
220.000,237.372
221.000,158.248
222.000,632.991
223.000,553.867
224.000,237.372
225.000,395.620
226.000,474.744
227.000,79.124
228.000,79.124
229.000,395.620
230.000,237.372
231.000,158.248
232.000,553.867
233.000,553.867
234.000,237.372
235.000,474.744
236.000,553.867
237.000,79.124
238.000,79.124
239.000,395.620
240.000,158.248
241.000,158.248
242.000,632.991
243.000,632.991
244.000,237.372
245.000,474.744
246.000,474.744
247.000,0.000
248.000,0.000
