Time_ms,Absolute_Displacement_nm
0.000,2927.585
1.000,3164.957
2.000,2769.337
3.000,3085.833
4.000,2848.461
5.000,2848.461
6.000,3164.957
7.000,2769.337
8.000,3164.957
9.000,2927.585
10.000,2927.585
11.000,3164.957
12.000,2690.213
13.000,3085.833
14.000,2848.461
15.000,2927.585
16.000,3164.957
17.000,2769.337
18.000,3164.957
19.000,2927.585
20.000,2848.461
21.000,3164.957
22.000,2769.337
23.000,3164.957
24.000,2927.585
25.000,2927.585
26.000,3164.957
27.000,2769.337
28.000,3085.833
29.000,2848.461
30.000,2848.461
31.000,3164.957
32.000,2769.337
33.000,3164.957
34.000,2927.585
35.000,2927.585
36.000,3164.957
37.000,2690.213
38.000,3085.833
39.000,2848.461
40.000,2927.585
41.000,3164.957
42.000,2769.337
43.000,3164.957
44.000,2927.585
45.000,2848.461
46.000,3085.833
47.000,2690.213
48.000,3164.957
49.000,2927.585
50.000,2927.585
51.000,3164.957
52.000,2769.337
53.000,3085.833
54.000,2848.461
55.000,2848.461
56.000,3164.957
57.000,2769.337
58.000,3164.957
59.000,2927.585
60.000,2927.585
61.000,3164.957
62.000,2690.213
63.000,3085.833
64.000,2848.461
65.000,2927.585
66.000,3164.957
67.000,2769.337
68.000,3164.957
69.000,2927.585
70.000,2848.461
71.000,3164.957
72.000,2690.213
73.000,3085.833
74.000,2927.585
75.000,2927.585
76.000,3164.957
77.000,2769.337
78.000,3085.833
79.000,2848.461
80.000,2848.461
81.000,3164.957
82.000,2769.337
83.000,3164.957
84.000,2927.585
85.000,2927.585
86.000,3164.957
87.000,2690.213
88.000,3085.833
89.000,2848.461
90.000,2927.585
91.000,3164.957
92.000,2769.337
93.000,3164.957
94.000,2927.585
95.000,2848.461
96.000,3164.957
97.000,2690.213
98.000,3085.833
99.000,2927.585
100.000,2927.585
101.000,3164.957
102.000,2769.337
103.000,3085.833
104.000,2848.461
105.000,2848.461
106.000,3164.957
107.000,2769.337
108.000,3164.957
109.000,2927.585
110.000,2927.585
111.000,3164.957
112.000,2690.213
113.000,3085.833
114.000,2848.461
115.000,2927.585
116.000,3164.957
117.000,2769.337
118.000,3164.957
119.000,2927.585
120.000,2848.461
121.000,3164.957
122.000,2690.213
123.000,3085.833
124.000,2927.585
125.000,2927.585
126.000,3164.957
127.000,2769.337
128.000,3085.833
129.000,2848.461
130.000,2848.461
131.000,3164.957
132.000,2769.337
133.000,3164.957
134.000,2927.585
135.000,2927.585
136.000,3164.957
137.000,2690.213
138.000,3085.833
139.000,2848.461
140.000,2927.585
141.000,3164.957
142.000,2769.337
143.000,3164.957
144.000,2927.585
145.000,2848.461
146.000,3164.957
147.000,2690.213
148.000,3085.833
149.000,2927.585
150.000,2927.585
151.000,3164.957
152.000,2769.337
153.000,3085.833
154.000,2848.461
155.000,2848.461
156.000,3164.957
157.000,2769.337
158.000,3164.957
159.000,2927.585
160.000,2927.585
161.000,3164.957
162.000,2690.213
163.000,3085.833
164.000,2927.585
165.000,2927.585
166.000,3164.957
167.000,2769.337
168.000,3164.957
169.000,2927.585
170.000,2848.461
171.000,3164.957
172.000,2769.337
173.000,3164.957
174.000,2927.585
175.000,2927.585
176.000,3164.957
177.000,2769.337
178.000,3085.833
179.000,2848.461
180.000,2848.461
181.000,3164.957
182.000,2769.337
183.000,3164.957
184.000,2927.585
185.000,2927.585
186.000,3164.957
187.000,2690.213
188.000,3085.833
189.000,2848.461
190.000,2927.585
191.000,3164.957
192.000,2769.337
193.000,3164.957
194.000,2927.585
195.000,2848.461
196.000,3085.833
197.000,2690.213
198.000,3085.833
199.000,2927.585
200.000,2927.585
201.000,3164.957
202.000,2769.337
203.000,3085.833
204.000,2848.461
205.000,2848.461
206.000,3164.957
207.000,2769.337
208.000,3164.957
209.000,2927.585
210.000,2927.585
211.000,3164.957
212.000,2690.213
213.000,3085.833
214.000,2848.461
215.000,2927.585
216.000,3164.957
217.000,2769.337
218.000,3164.957
219.000,2927.585
220.000,2848.461
221.000,3164.957
222.000,2690.213
223.000,3085.833
224.000,2927.585
225.000,2927.585
226.000,3164.957
227.000,2769.337
228.000,3085.833
229.000,2848.461
230.000,2848.461
231.000,3164.957
232.000,2769.337
233.000,3164.957
234.000,2927.585
235.000,2927.585
236.000,3164.957
237.000,2690.213
238.000,3085.833
239.000,2848.461
240.000,2927.585
241.000,3164.957
242.000,2769.337
243.000,3164.957
244.000,2927.585
245.000,2848.461
246.000,3164.957
247.000,2690.213
248.000,3085.833
249.000,2927.585
250.000,2927.585
251.000,3164.957
252.000,2769.337
253.000,3085.833
254.000,2848.461
255.000,2848.461
256.000,3164.957
257.000,2769.337
258.000,3164.957
259.000,2927.585
260.000,2927.585
261.000,3164.957
262.000,2690.213
263.000,3085.833
264.000,2848.461
265.000,2927.585
266.000,3164.957
267.000,2769.337
268.000,3164.957
269.000,2927.585
270.000,2927.585
271.000,3164.957
272.000,2690.213
273.000,3085.833
274.000,2927.585
275.000,2927.585
276.000,3164.957
277.000,2769.337
278.000,3085.833
279.000,2848.461
280.000,2848.461
281.000,3164.957
282.000,2769.337
283.000,3164.957
284.000,2927.585
285.000,2927.585
286.000,3164.957
287.000,2690.213
288.000,3085.833
289.000,2927.585
290.000,2927.585
291.000,3164.957
292.000,2769.337
293.000,3164.957
294.000,2848.461
295.000,2848.461
296.000,3164.957
297.000,2769.337
298.000,3164.957
299.000,2927.585
300.000,2927.585
301.000,3164.957
302.000,2769.337
303.000,3085.833
304.000,2848.461
305.000,2848.461
306.000,3164.957
307.000,2769.337
308.000,3164.957
309.000,2927.585
310.000,2927.585
311.000,3164.957
312.000,2690.213
313.000,3085.833
314.000,2848.461
315.000,2927.585
316.000,3164.957
317.000,2769.337
318.000,3164.957
319.000,2927.585
320.000,2848.461
321.000,3085.833
322.000,2690.213
323.000,3085.833
324.000,2927.585
325.000,2927.585
326.000,3164.957
327.000,2769.337
328.000,3085.833
329.000,2848.461
330.000,2848.461
331.000,3164.957
332.000,2769.337
333.000,3164.957
334.000,2927.585
335.000,2927.585
336.000,3164.957
337.000,2690.213
338.000,3085.833
339.000,2848.461
340.000,2927.585
341.000,3164.957
342.000,2769.337
343.000,3164.957
344.000,2927.585
345.000,2848.461
346.000,3164.957
347.000,2690.213
348.000,3085.833
349.000,2927.585
350.000,2927.585
351.000,3164.957
352.000,2769.337
353.000,3085.833
354.000,2848.461
355.000,2848.461
356.000,3164.957
357.000,2769.337
358.000,3164.957
359.000,2927.585
360.000,2927.585
361.000,3164.957
362.000,2690.213
363.000,3085.833
364.000,2848.461
365.000,2927.585
366.000,3164.957
367.000,2769.337
368.000,3164.957
369.000,2927.585
370.000,2848.461
371.000,3085.833
372.000,2690.213
373.000,3085.833
374.000,2927.585
375.000,2927.585
376.000,3164.957
377.000,2769.337
378.000,3085.833
379.000,2848.461
380.000,2848.461
381.000,3164.957
382.000,2769.337
383.000,3164.957
384.000,2927.585
385.000,2927.585
386.000,3164.957
387.000,2690.213
388.000,3085.833
389.000,2848.461
390.000,2927.585
391.000,3164.957
392.000,2769.337
393.000,3164.957
394.000,2927.585
395.000,2848.461
396.000,3164.957
397.000,2690.213
398.000,3085.833
399.000,2927.585
400.000,2927.585
401.000,3164.957
402.000,2769.337
403.000,3085.833
404.000,2848.461
405.000,2848.461
406.000,3164.957
407.000,2769.337
408.000,3164.957
409.000,2927.585
410.000,2927.585
411.000,3164.957
412.000,2690.213
413.000,3085.833
414.000,2848.461
415.000,2927.585
416.000,3164.957
417.000,2769.337
418.000,3164.957
419.000,2927.585
420.000,2848.461
421.000,3164.957
422.000,2690.213
423.000,3164.957
424.000,2927.585
425.000,2927.585
426.000,3164.957
427.000,2769.337
428.000,3085.833
429.000,2848.461
430.000,2848.461
431.000,3164.957
432.000,2769.337
433.000,3164.957
434.000,2927.585
435.000,2927.585
436.000,3164.957
437.000,2690.213
438.000,3085.833
439.000,2848.461
440.000,2927.585
441.000,3164.957
442.000,2769.337
443.000,3164.957
444.000,2927.585
445.000,2848.461
446.000,3085.833
447.000,2690.213
448.000,3085.833
449.000,2927.585
450.000,2927.585
451.000,3164.957
452.000,2769.337
453.000,3085.833
454.000,2848.461
455.000,2848.461
456.000,3164.957
457.000,2769.337
458.000,3164.957
459.000,2927.585
460.000,2927.585
461.000,3164.957
462.000,2690.213
463.000,3085.833
464.000,2848.461
465.000,2927.585
466.000,3164.957
467.000,2769.337
468.000,3164.957
469.000,2927.585
470.000,2848.461
471.000,3164.957
472.000,2690.213
473.000,3085.833
474.000,2927.585
475.000,2927.585
476.000,3164.957
477.000,2769.337
478.000,3085.833
479.000,2848.461
480.000,2848.461
481.000,3164.957
482.000,2769.337
483.000,3164.957
484.000,2927.585
485.000,2927.585
486.000,3164.957
487.000,2690.213
488.000,3085.833
489.000,2848.461
490.000,2927.585
491.000,3164.957
492.000,2769.337
493.000,3164.957
494.000,2927.585
495.000,2848.461
496.000,3085.833
497.000,2690.213
498.000,3085.833
499.000,2927.585
500.000,2927.585
501.000,3164.957
502.000,2769.337
503.000,3085.833
504.000,2848.461
505.000,2848.461
506.000,3164.957
507.000,2769.337
508.000,3164.957
509.000,2927.585
510.000,2927.585
511.000,3164.957
512.000,2690.213
513.000,3085.833
514.000,2848.461
515.000,2927.585
516.000,3164.957
517.000,2769.337
518.000,3164.957
519.000,2927.585
520.000,2848.461
521.000,3164.957
522.000,2769.337
523.000,3085.833
524.000,2927.585
525.000,2927.585
526.000,3164.957
527.000,2769.337
528.000,3085.833
529.000,2848.461
530.000,2848.461
531.000,3164.957
532.000,2769.337
533.000,3164.957
534.000,2927.585
535.000,2927.585
536.000,3164.957
537.000,2690.213
538.000,3085.833
539.000,2927.585
540.000,2927.585
541.000,3164.957
542.000,2769.337
543.000,3164.957
544.000,2927.585
545.000,2848.461
546.000,3085.833
547.000,2769.337
548.000,3164.957
549.000,2927.585
550.000,2927.585
551.000,3164.957
552.000,2769.337
553.000,3085.833
554.000,2848.461
555.000,2848.461
556.000,3164.957
557.000,2769.337
558.000,3164.957
559.000,2927.585
560.000,2927.585
561.000,3164.957
562.000,2690.213
563.000,3085.833
564.000,2848.461
565.000,2927.585
566.000,3164.957
567.000,2769.337
568.000,3164.957
569.000,2927.585
570.000,2848.461
571.000,3164.957
572.000,2690.213
573.000,3085.833
574.000,2927.585
575.000,2927.585
576.000,3164.957
577.000,2769.337
578.000,3085.833
579.000,2848.461
580.000,2848.461
581.000,3164.957
582.000,2769.337
583.000,3164.957
584.000,2927.585
585.000,2927.585
586.000,3164.957
587.000,2690.213
588.000,3085.833
