Time_ms,Absolute_Displacement_nm
0.000,2927.585
1.000,2927.585
2.000,2927.585
3.000,2927.585
4.000,3006.709
5.000,3006.709
6.000,3006.709
7.000,3006.709
8.000,2927.585
9.000,2927.585
10.000,2927.585
11.000,2927.585
12.000,3006.709
13.000,3006.709
14.000,3006.709
15.000,3006.709
16.000,3006.709
17.000,2927.585
18.000,2927.585
19.000,2927.585
20.000,3006.709
21.000,3006.709
22.000,3006.709
23.000,3006.709
24.000,3006.709
25.000,2927.585
26.000,2927.585
27.000,2927.585
28.000,2927.585
29.000,3006.709
30.000,3006.709
31.000,3006.709
32.000,3006.709
33.000,2927.585
34.000,2927.585
35.000,2927.585
36.000,2927.585
37.000,3006.709
38.000,3006.709
39.000,3006.709
40.000,3006.709
41.000,2927.585
42.000,2927.585
43.000,2927.585
44.000,2927.585
45.000,2927.585
46.000,3006.709
47.000,3006.709
48.000,3006.709
49.000,3006.709
50.000,2927.585
51.000,2927.585
52.000,2927.585
53.000,2927.585
54.000,3006.709
55.000,3006.709
56.000,3006.709
57.000,3006.709
58.000,2927.585
59.000,2927.585
60.000,2927.585
61.000,2927.585
62.000,2927.585
63.000,3006.709
64.000,3006.709
65.000,3006.709
66.000,3006.709
67.000,2927.585
68.000,2927.585
69.000,2927.585
70.000,2927.585
71.000,3006.709
72.000,3006.709
73.000,3006.709
74.000,3006.709
75.000,2927.585
76.000,2927.585
77.000,2927.585
78.000,2927.585
79.000,3006.709
80.000,3006.709
81.000,3006.709
82.000,3006.709
83.000,3006.709
84.000,2927.585
85.000,2927.585
86.000,2927.585
87.000,3006.709
88.000,3006.709
89.000,3006.709
90.000,3006.709
91.000,2927.585
92.000,2927.585
93.000,2927.585
94.000,2927.585
95.000,3006.709
96.000,3006.709
97.000,3006.709
98.000,3006.709
99.000,3006.709
100.000,2927.585
101.000,2927.585
102.000,2927.585
103.000,2927.585
104.000,3006.709
105.000,3006.709
106.000,3006.709
107.000,3006.709
108.000,2927.585
109.000,2927.585
110.000,2927.585
111.000,2927.585
112.000,3006.709
113.000,3006.709
114.000,3006.709
115.000,3006.709
116.000,3006.709
117.000,2927.585
118.000,2927.585
119.000,2927.585
120.000,2927.585
121.000,3006.709
122.000,3006.709
123.000,3006.709
124.000,3006.709
125.000,2927.585
126.000,2927.585
127.000,2927.585
128.000,2927.585
129.000,3006.709
130.000,3006.709
131.000,3006.709
132.000,3006.709
133.000,3006.709
134.000,2927.585
135.000,2927.585
136.000,2927.585
137.000,3006.709
138.000,3006.709
139.000,3006.709
140.000,3006.709
141.000,3006.709
142.000,2927.585
143.000,2927.585
144.000,2927.585
145.000,2927.585
146.000,3006.709
147.000,3006.709
148.000,3006.709
149.000,3006.709
150.000,2927.585
151.000,2927.585
152.000,2927.585
153.000,2927.585
154.000,3006.709
155.000,3006.709
156.000,3006.709
157.000,3006.709
158.000,2927.585
159.000,2927.585
160.000,2927.585
161.000,2927.585
162.000,3006.709
163.000,3006.709
164.000,3006.709
165.000,3006.709
166.000,3006.709
167.000,2927.585
168.000,2927.585
169.000,2927.585
170.000,2927.585
171.000,3006.709
172.000,3006.709
173.000,3006.709
174.000,3006.709
175.000,2927.585
176.000,2927.585
177.000,2927.585
178.000,2927.585
179.000,3006.709
180.000,3006.709
181.000,3006.709
182.000,3006.709
183.000,3006.709
184.000,2927.585
185.000,2927.585
186.000,2927.585
187.000,3006.709
188.000,3006.709
189.000,3006.709
190.000,3006.709
191.000,3006.709
192.000,2927.585
193.000,2927.585
194.000,2927.585
195.000,2927.585
196.000,3006.709
197.000,3006.709
198.000,3006.709
199.000,3006.709
200.000,2927.585
201.000,2927.585
202.000,2927.585
203.000,2927.585
204.000,3006.709
205.000,3006.709
206.000,3006.709
207.000,3006.709
208.000,2927.585
209.000,2927.585
210.000,2927.585
211.000,2927.585
212.000,3006.709
213.000,3006.709
214.000,3006.709
215.000,3006.709
216.000,3006.709
217.000,2927.585
218.000,2927.585
219.000,2927.585
220.000,3006.709
221.000,3006.709
222.000,3006.709
223.000,3006.709
224.000,3006.709
225.000,2927.585
226.000,2927.585
227.000,2927.585
228.000,2927.585
229.000,3006.709
230.000,3006.709
231.000,3006.709
232.000,3006.709
233.000,2927.585
234.000,2927.585
235.000,2927.585
236.000,2927.585
237.000,3006.709
238.000,3006.709
239.000,3006.709
240.000,3006.709
241.000,3006.709
242.000,2927.585
243.000,2927.585
244.000,2927.585
245.000,3006.709
246.000,3006.709
247.000,3006.709
248.000,3006.709
249.000,3006.709
250.000,2927.585
251.000,2927.585
252.000,2927.585
253.000,2927.585
254.000,3006.709
255.000,3006.709
256.000,3006.709
257.000,3006.709
258.000,2927.585
259.000,2927.585
260.000,2927.585
261.000,2927.585
262.000,3006.709
263.000,3006.709
264.000,3006.709
265.000,3006.709
266.000,2927.585
267.000,2927.585
268.000,2927.585
269.000,2927.585
270.000,3006.709
271.000,3006.709
272.000,3006.709
273.000,3006.709
274.000,3006.709
275.000,2927.585
276.000,2927.585
277.000,2927.585
278.000,2927.585
279.000,3006.709
280.000,3006.709
281.000,3006.709
282.000,3006.709
283.000,2927.585
284.000,2927.585
285.000,2927.585
286.000,2927.585
287.000,3006.709
288.000,3006.709
289.000,3006.709
290.000,3006.709
291.000,3006.709
292.000,2927.585
293.000,2927.585
294.000,2927.585
295.000,2927.585
296.000,3006.709
297.000,3006.709
298.000,3006.709
299.000,3006.709
300.000,2927.585
301.000,2927.585
302.000,2927.585
303.000,2927.585
304.000,3006.709
305.000,3006.709
306.000,3006.709
307.000,3006.709
308.000,3006.709
309.000,2927.585
310.000,2927.585
311.000,2927.585
312.000,3006.709
313.000,3006.709
314.000,3006.709
315.000,3006.709
316.000,3006.709
317.000,2927.585
318.000,2927.585
319.000,2927.585
320.000,3006.709
321.000,3006.709
322.000,3006.709
323.000,3006.709
324.000,3006.709
325.000,2927.585
326.000,2927.585
327.000,2927.585
328.000,2927.585
329.000,3006.709
330.000,3006.709
331.000,3006.709
332.000,3006.709
333.000,2927.585
334.000,2927.585
335.000,2927.585
336.000,2927.585
337.000,3006.709
338.000,3006.709
339.000,3006.709
340.000,3006.709
341.000,2927.585
342.000,2927.585
343.000,2927.585
344.000,2927.585
345.000,3006.709
346.000,3006.709
347.000,3006.709
348.000,3006.709
349.000,3006.709
350.000,2927.585
351.000,2927.585
352.000,2927.585
353.000,2927.585
354.000,3006.709
355.000,3006.709
356.000,3006.709
357.000,3006.709
358.000,2927.585
359.000,2927.585
360.000,2927.585
361.000,2927.585
362.000,3006.709
363.000,3006.709
364.000,3006.709
365.000,3006.709
366.000,3006.709
367.000,2927.585
368.000,2927.585
369.000,2927.585
370.000,2927.585
371.000,3006.709
372.000,3006.709
373.000,3006.709
374.000,3006.709
375.000,2927.585
376.000,2927.585
377.000,2927.585
378.000,2927.585
379.000,3006.709
380.000,3006.709
381.000,3006.709
382.000,3006.709
383.000,2927.585
384.000,2927.585
385.000,2927.585
386.000,2927.585
387.000,3006.709
388.000,3006.709
389.000,3006.709
390.000,3006.709
391.000,2927.585
392.000,2927.585
393.000,2927.585
394.000,2927.585
395.000,3006.709
396.000,3006.709
397.000,3006.709
398.000,3006.709
399.000,3006.709
400.000,2927.585
401.000,2927.585
402.000,2927.585
403.000,2927.585
404.000,3006.709
405.000,3006.709
406.000,3006.709
407.000,3006.709
408.000,2927.585
409.000,2927.585
410.000,2927.585
411.000,2927.585
412.000,3006.709
413.000,3006.709
414.000,3006.709
415.000,3006.709
416.000,3006.709
417.000,2927.585
418.000,2927.585
419.000,2927.585
420.000,2927.585
421.000,3006.709
422.000,3006.709
423.000,3006.709
424.000,3006.709
425.000,2927.585
426.000,2927.585
427.000,2927.585
428.000,2927.585
429.000,3006.709
430.000,3006.709
431.000,3006.709
432.000,3006.709
433.000,3006.709
434.000,2927.585
435.000,2927.585
436.000,2927.585
437.000,2927.585
438.000,3006.709
439.000,3006.709
440.000,3006.709
441.000,3006.709
442.000,2927.585
443.000,2927.585
444.000,2927.585
445.000,3006.709
446.000,3006.709
447.000,3006.709
448.000,3006.709
449.000,3006.709
450.000,2927.585
451.000,2927.585
452.000,2927.585
453.000,2927.585
454.000,3006.709
455.000,3006.709
456.000,3006.709
457.000,3006.709
458.000,2927.585
459.000,2927.585
460.000,2927.585
461.000,2927.585
462.000,3006.709
463.000,3006.709
464.000,3006.709
465.000,3006.709
466.000,2927.585
467.000,2927.585
468.000,2927.585
469.000,2927.585
470.000,3006.709
471.000,3006.709
472.000,3006.709
473.000,3006.709
474.000,3006.709
475.000,2927.585
476.000,2927.585
477.000,2927.585
478.000,2927.585
479.000,3006.709
480.000,3006.709
481.000,3006.709
482.000,3006.709
483.000,2927.585
484.000,2927.585
485.000,2927.585
486.000,2927.585
487.000,3006.709
488.000,3006.709
489.000,3006.709
490.000,3006.709
491.000,3006.709
492.000,2927.585
493.000,2927.585
494.000,2927.585
495.000,3006.709
496.000,3006.709
497.000,3006.709
498.000,3006.709
499.000,3006.709
500.000,2927.585
501.000,2927.585
502.000,2927.585
503.000,2927.585
504.000,3006.709
505.000,3006.709
506.000,3006.709
507.000,3006.709
508.000,2927.585
509.000,2927.585
510.000,2927.585
511.000,2927.585
512.000,3006.709
513.000,3006.709
514.000,3006.709
515.000,3006.709
516.000,2927.585
517.000,2927.585
518.000,2927.585
519.000,2927.585
520.000,3006.709
521.000,3006.709
522.000,3006.709
523.000,3006.709
524.000,3006.709
525.000,2927.585
526.000,2927.585
527.000,2927.585
528.000,2927.585
529.000,3006.709
530.000,3006.709
531.000,3006.709
532.000,3006.709
533.000,2927.585
534.000,2927.585
535.000,2927.585
536.000,2927.585
537.000,3006.709
538.000,3006.709
539.000,3006.709
540.000,3006.709
541.000,3006.709
542.000,2927.585
543.000,2927.585
544.000,2927.585
545.000,3006.709
546.000,3006.709
547.000,3006.709
548.000,3006.709
549.000,3006.709
550.000,2927.585
551.000,2927.585
552.000,2927.585
553.000,2927.585
554.000,3006.709
555.000,3006.709
556.000,3006.709
557.000,3006.709
558.000,2927.585
559.000,2927.585
560.000,2927.585
561.000,2927.585
562.000,3006.709
563.000,3006.709
564.000,3006.709
565.000,3006.709
566.000,2927.585
567.000,2927.585
568.000,2927.585
569.000,2927.585
570.000,2927.585
571.000,3006.709
572.000,3006.709
573.000,3006.709
574.000,3006.709
575.000,2927.585
576.000,2927.585
577.000,2927.585
578.000,2927.585
579.000,3006.709
580.000,3006.709
581.000,3006.709
582.000,3006.709
583.000,2927.585
584.000,2927.585
585.000,2927.585
586.000,2927.585
587.000,3006.709
588.000,3006.709
589.000,3006.709
590.000,3006.709
591.000,2927.585
592.000,2927.585
593.000,2927.585
594.000,2927.585
595.000,3006.709
596.000,3006.709
597.000,3006.709
598.000,3006.709
599.000,3006.709
600.000,2927.585
601.000,2927.585
602.000,2927.585
603.000,2927.585
604.000,3006.709
605.000,3006.709
606.000,3006.709
607.000,3006.709
608.000,2927.585
609.000,2927.585
610.000,2927.585
611.000,2927.585
612.000,3006.709
613.000,3006.709
614.000,3006.709
615.000,3006.709
616.000,2927.585
617.000,2927.585
618.000,2927.585
619.000,2927.585
620.000,3006.709
621.000,3006.709
622.000,3006.709
623.000,3006.709
624.000,3006.709
625.000,2927.585
626.000,2927.585
627.000,2927.585
628.000,2927.585
629.000,3006.709
630.000,3006.709
631.000,3006.709
632.000,3006.709
633.000,2927.585
634.000,2927.585
635.000,2927.585
636.000,2927.585
637.000,3006.709
638.000,3006.709
639.000,3006.709
640.000,3006.709
641.000,2927.585
642.000,2927.585
643.000,2927.585
644.000,2927.585
645.000,2927.585
646.000,3006.709
647.000,3006.709
648.000,3006.709
649.000,3006.709
650.000,2927.585
651.000,2927.585
652.000,2927.585
653.000,2927.585
654.000,3006.709
655.000,3006.709
656.000,3006.709
657.000,3006.709
658.000,2927.585
659.000,2927.585
660.000,2927.585
661.000,2927.585
662.000,3006.709
663.000,3006.709
664.000,3006.709
665.000,3006.709
666.000,3006.709
667.000,2927.585
668.000,2927.585
669.000,2927.585
670.000,2927.585
671.000,3006.709
672.000,3006.709
673.000,3006.709
674.000,3006.709
675.000,2927.585
676.000,2927.585
677.000,2927.585
