Time_ms,Absolute_Displacement_nm
0.000,3006.709
1.000,2927.585
2.000,2848.461
3.000,2769.337
4.000,2769.337
5.000,2769.337
6.000,2848.461
7.000,2927.585
8.000,3006.709
9.000,3085.833
10.000,3006.709
11.000,2927.585
12.000,2848.461
13.000,2769.337
14.000,2690.213
15.000,2769.337
16.000,2848.461
17.000,2927.585
18.000,3006.709
19.000,3085.833
20.000,3006.709
21.000,2927.585
22.000,2848.461
23.000,2769.337
24.000,2769.337
25.000,2769.337
26.000,2848.461
27.000,3006.709
28.000,3006.709
29.000,3006.709
30.000,3006.709
31.000,2927.585
32.000,2848.461
33.000,2769.337
34.000,2769.337
35.000,2848.461
36.000,2848.461
37.000,2927.585
38.000,3006.709
39.000,3006.709
40.000,3006.709
41.000,2927.585
42.000,2848.461
43.000,2848.461
44.000,2769.337
45.000,2769.337
46.000,2848.461
47.000,2927.585
48.000,2927.585
49.000,3006.709
50.000,3006.709
51.000,2927.585
52.000,2927.585
53.000,2848.461
54.000,2769.337
55.000,2769.337
56.000,2769.337
57.000,2927.585
58.000,3006.709
59.000,3085.833
60.000,3006.709
61.000,3006.709
62.000,2848.461
63.000,2769.337
64.000,2690.213
65.000,2769.337
66.000,2848.461
67.000,2927.585
68.000,3006.709
69.000,3085.833
70.000,3006.709
71.000,2927.585
72.000,2848.461
73.000,2769.337
74.000,2690.213
75.000,2769.337
76.000,2848.461
77.000,3006.709
78.000,3006.709
79.000,3006.709
80.000,3006.709
81.000,2927.585
82.000,2848.461
83.000,2769.337
84.000,2769.337
85.000,2848.461
86.000,2848.461
87.000,2927.585
88.000,3006.709
89.000,3006.709
90.000,3006.709
91.000,2927.585
92.000,2848.461
93.000,2769.337
94.000,2769.337
95.000,2769.337
96.000,2848.461
97.000,2927.585
98.000,3006.709
99.000,3006.709
100.000,3006.709
101.000,2927.585
102.000,2848.461
103.000,2769.337
104.000,2769.337
105.000,2769.337
106.000,2848.461
107.000,2927.585
108.000,3006.709
109.000,3085.833
