Time_ms,Absolute_Displacement_nm
0.000,-997204479.587
1.000,-997204716.959
2.000,-997204400.463
3.000,-997204637.835
4.000,-997204479.587
5.000,-997204716.959
6.000,-997204558.711
7.000,-997204796.083
8.000,-997204558.711
9.000,-997204716.959
10.000,-997204479.587
11.000,-997204637.835
12.000,-997204479.587
13.000,-997204716.959
14.000,-997204558.711
15.000,-997204796.083
16.000,-997204558.711
17.000,-997204716.959
18.000,-997204479.587
19.000,-997204637.835
20.000,-997204400.463
21.000,-997204716.959
22.000,-997204479.587
23.000,-997204796.083
24.000,-997204558.711
25.000,-997204716.959
26.000,-997204479.587
27.000,-997204637.835
28.000,-997204400.463
29.000,-997204637.835
30.000,-997204479.587
31.000,-997204716.959
32.000,-997204558.711
33.000,-997204716.959
34.000,-997204479.587
35.000,-997204716.959
36.000,-997204479.587
37.000,-997204637.835
38.000,-997204479.587
39.000,-997204716.959
40.000,-997204558.711
41.000,-997204716.959
42.000,-997204479.587
43.000,-997204716.959
44.000,-997204479.587
45.000,-997204637.835
46.000,-997204479.587
47.000,-997204716.959
48.000,-997204558.711
49.000,-997204716.959
50.000,-997204479.587
51.000,-997204716.959
52.000,-997204479.587
53.000,-997204637.835
54.000,-997204479.587
55.000,-997204716.959
56.000,-997204558.711
57.000,-997204796.083
58.000,-997204479.587
59.000,-997204716.959
60.000,-997204479.587
61.000,-997204637.835
62.000,-997204479.587
63.000,-997204716.959
64.000,-997204558.711
65.000,-997204796.083
66.000,-997204558.711
67.000,-997204716.959
68.000,-997204479.587
69.000,-997204637.835
70.000,-997204400.463
71.000,-997204716.959
72.000,-997204479.587
73.000,-997204796.083
74.000,-997204558.711
75.000,-997204716.959
76.000,-997204479.587
77.000,-997204637.835
78.000,-997204400.463
79.000,-997204637.835
80.000,-997204479.587
81.000,-997204716.959
82.000,-997204558.711
83.000,-997204796.083
84.000,-997204479.587
85.000,-997204716.959
86.000,-997204479.587
87.000,-997204637.835
88.000,-997204479.587
89.000,-997204716.959
90.000,-997204558.711
91.000,-997204796.083
92.000,-997204479.587
93.000,-997204716.959
94.000,-997204479.587
95.000,-997204716.959
96.000,-997204479.587
97.000,-997204716.959
98.000,-997204558.711
99.000,-997204716.959
100.000,-997204479.587
101.000,-997204716.959
102.000,-997204479.587
103.000,-997204716.959
104.000,-997204479.587
105.000,-997204716.959
106.000,-997204558.711
107.000,-997204716.959
108.000,-997204479.587
109.000,-997204716.959
110.000,-997204479.587
111.000,-997204637.835
112.000,-997204479.587
113.000,-997204716.959
114.000,-997204558.711
115.000,-997204796.083
116.000,-997204558.711
117.000,-997204716.959
118.000,-997204479.587
119.000,-997204637.835
120.000,-997204479.587
121.000,-997204716.959
122.000,-997204558.711
123.000,-997204796.083
124.000,-997204558.711
125.000,-997204716.959
126.000,-997204479.587
127.000,-997204637.835
128.000,-997204400.463
129.000,-997204637.835
130.000,-997204479.587
131.000,-997204796.083
132.000,-997204558.711
133.000,-997204796.083
134.000,-997204479.587
135.000,-997204716.959
136.000,-997204400.463
137.000,-997204637.835
138.000,-997204479.587
139.000,-997204716.959
140.000,-997204558.711
141.000,-997204796.083
142.000,-997204479.587
143.000,-997204716.959
144.000,-997204479.587
145.000,-997204637.835
146.000,-997204479.587
147.000,-997204716.959
148.000,-997204558.711
149.000,-997204716.959
150.000,-997204479.587
151.000,-997204716.959
152.000,-997204479.587
153.000,-997204637.835
154.000,-997204479.587
155.000,-997204716.959
156.000,-997204558.711
157.000,-997204716.959
158.000,-997204479.587
159.000,-997204716.959
160.000,-997204479.587
161.000,-997204637.835
162.000,-997204479.587
163.000,-997204716.959
164.000,-997204558.711
165.000,-997204796.083
166.000,-997204558.711
167.000,-997204716.959
168.000,-997204479.587
169.000,-997204637.835
170.000,-997204479.587
171.000,-997204716.959
172.000,-997204558.711
173.000,-997204796.083
174.000,-997204558.711
175.000,-997204716.959
176.000,-997204479.587
177.000,-997204637.835
178.000,-997204400.463
179.000,-997204716.959
180.000,-997204479.587
181.000,-997204796.083
182.000,-997204558.711
183.000,-997204796.083
184.000,-997204479.587
185.000,-997204637.835
186.000,-997204400.463
187.000,-997204637.835
188.000,-997204479.587
189.000,-997204716.959
190.000,-997204558.711
191.000,-997204796.083
192.000,-997204558.711
193.000,-997204716.959
194.000,-997204400.463
195.000,-997204637.835
196.000,-997204479.587
197.000,-997204716.959
198.000,-997204558.711
199.000,-997204796.083
200.000,-997204558.711
201.000,-997204716.959
202.000,-997204479.587
203.000,-997204637.835
204.000,-997204479.587
205.000,-997204716.959
206.000,-997204479.587
207.000,-997204796.083
208.000,-997204558.711
209.000,-997204716.959
210.000,-997204479.587
211.000,-997204637.835
212.000,-997204479.587
213.000,-997204716.959
214.000,-997204479.587
215.000,-997204716.959
216.000,-997204558.711
217.000,-997204716.959
218.000,-997204479.587
219.000,-997204637.835
220.000,-997204479.587
221.000,-997204716.959
222.000,-997204479.587
223.000,-997204716.959
224.000,-997204558.711
225.000,-997204716.959
226.000,-997204479.587
227.000,-997204637.835
228.000,-997204479.587
229.000,-997204716.959
230.000,-997204479.587
231.000,-997204716.959
232.000,-997204558.711
233.000,-997204716.959
234.000,-997204479.587
235.000,-997204716.959
236.000,-997204400.463
237.000,-997204637.835
238.000,-997204479.587
239.000,-997204716.959
240.000,-997204558.711
241.000,-997204796.083
242.000,-997204479.587
243.000,-997204716.959
244.000,-997204479.587
245.000,-997204637.835
246.000,-997204479.587
247.000,-997204716.959
248.000,-997204558.711
249.000,-997204796.083
250.000,-997204558.711
251.000,-997204716.959
252.000,-997204479.587
253.000,-997204637.835
254.000,-997204479.587
255.000,-997204716.959
256.000,-997204558.711
257.000,-997204796.083
258.000,-997204558.711
259.000,-997204716.959
260.000,-997204479.587
261.000,-997204637.835
262.000,-997204479.587
263.000,-997204716.959
264.000,-997204479.587
265.000,-997204716.959
266.000,-997204558.711
267.000,-997204716.959
268.000,-997204479.587
269.000,-997204716.959
270.000,-997204479.587
271.000,-997204716.959
272.000,-997204479.587
273.000,-997204716.959
274.000,-997204558.711
275.000,-997204716.959
276.000,-997204479.587
277.000,-997204716.959
278.000,-997204479.587
279.000,-997204716.959
280.000,-997204479.587
281.000,-997204716.959
282.000,-997204558.711
283.000,-997204716.959
284.000,-997204479.587
285.000,-997204637.835
286.000,-997204479.587
287.000,-997204716.959
288.000,-997204479.587
289.000,-997204716.959
290.000,-997204558.711
291.000,-997204716.959
292.000,-997204479.587
293.000,-997204637.835
294.000,-997204400.463
295.000,-997204637.835
296.000,-997204479.587
297.000,-997204716.959
298.000,-997204558.711
299.000,-997204796.083
300.000,-997204558.711
301.000,-997204716.959
302.000,-997204400.463
303.000,-997204637.835
304.000,-997204479.587
305.000,-997204716.959
306.000,-997204558.711
307.000,-997204796.083
308.000,-997204558.711
309.000,-997204716.959
310.000,-997204479.587
311.000,-997204637.835
312.000,-997204400.463
313.000,-997204716.959
314.000,-997204479.587
315.000,-997204796.083
316.000,-997204558.711
317.000,-997204716.959
318.000,-997204479.587
319.000,-997204716.959
320.000,-997204400.463
321.000,-997204637.835
322.000,-997204479.587
323.000,-997204716.959
324.000,-997204558.711
325.000,-997204716.959
326.000,-997204479.587
327.000,-997204716.959
328.000,-997204479.587
329.000,-997204716.959
330.000,-997204479.587
331.000,-997204716.959
332.000,-997204558.711
333.000,-997204716.959
334.000,-997204479.587
335.000,-997204716.959
336.000,-997204479.587
337.000,-997204716.959
338.000,-997204479.587
339.000,-997204716.959
340.000,-997204558.711
341.000,-997204716.959
342.000,-997204479.587
343.000,-997204716.959
344.000,-997204479.587
345.000,-997204716.959
346.000,-997204479.587
347.000,-997204716.959
348.000,-997204558.711
349.000,-997204716.959
350.000,-997204479.587
351.000,-997204716.959
352.000,-997204479.587
353.000,-997204637.835
354.000,-997204479.587
355.000,-997204716.959
356.000,-997204558.711
357.000,-997204796.083
358.000,-997204558.711
359.000,-997204716.959
360.000,-997204479.587
361.000,-997204637.835
362.000,-997204479.587
363.000,-997204716.959
364.000,-997204479.587
365.000,-997204796.083
366.000,-997204558.711
367.000,-997204716.959
368.000,-997204479.587
369.000,-997204637.835
370.000,-997204479.587
371.000,-997204716.959
372.000,-997204479.587
373.000,-997204716.959
374.000,-997204558.711
375.000,-997204716.959
376.000,-997204479.587
377.000,-997204716.959
378.000,-997204479.587
379.000,-997204716.959
380.000,-997204479.587
381.000,-997204716.959
382.000,-997204558.711
383.000,-997204716.959
384.000,-997204479.587
385.000,-997204716.959
386.000,-997204479.587
387.000,-997204716.959
388.000,-997204479.587
389.000,-997204716.959
390.000,-997204558.711
391.000,-997204716.959
392.000,-997204479.587
393.000,-997204716.959
394.000,-997204479.587
395.000,-997204716.959
396.000,-997204479.587
397.000,-997204716.959
398.000,-997204558.711
399.000,-997204716.959
400.000,-997204479.587
401.000,-997204716.959
402.000,-997204479.587
403.000,-997204716.959
404.000,-997204479.587
405.000,-997204716.959
406.000,-997204558.711
407.000,-997204716.959
408.000,-997204479.587
409.000,-997204716.959
410.000,-997204479.587
411.000,-997204637.835
412.000,-997204479.587
413.000,-997204716.959
414.000,-997204558.711
415.000,-997204796.083
416.000,-997204558.711
417.000,-997204716.959
418.000,-997204479.587
419.000,-997204637.835
420.000,-997204479.587
421.000,-997204716.959
422.000,-997204479.587
423.000,-997204716.959
424.000,-997204558.711
425.000,-997204716.959
426.000,-997204479.587
427.000,-997204716.959
428.000,-997204479.587
429.000,-997204716.959
430.000,-997204479.587
431.000,-997204716.959
432.000,-997204558.711
433.000,-997204716.959
434.000,-997204479.587
435.000,-997204716.959
436.000,-997204479.587
437.000,-997204716.959
438.000,-997204479.587
439.000,-997204716.959
440.000,-997204558.711
441.000,-997204716.959
442.000,-997204479.587
443.000,-997204716.959
444.000,-997204479.587
445.000,-997204716.959
446.000,-997204479.587
447.000,-997204716.959
448.000,-997204558.711
449.000,-997204716.959
450.000,-997204479.587
451.000,-997204716.959
452.000,-997204479.587
453.000,-997204716.959
454.000,-997204479.587
455.000,-997204716.959
456.000,-997204479.587
457.000,-997204716.959
458.000,-997204479.587
459.000,-997204716.959
460.000,-997204479.587
461.000,-997204716.959
462.000,-997204479.587
463.000,-997204716.959
464.000,-997204479.587
465.000,-997204716.959
466.000,-997204558.711
467.000,-997204716.959
468.000,-997204479.587
469.000,-997204637.835
470.000,-997204479.587
471.000,-997204716.959
472.000,-997204479.587
473.000,-997204716.959
474.000,-997204558.711
475.000,-997204716.959
476.000,-997204479.587
477.000,-997204716.959
478.000,-997204479.587
479.000,-997204716.959
480.000,-997204479.587
481.000,-997204716.959
482.000,-997204558.711
483.000,-997204716.959
484.000,-997204479.587
485.000,-997204716.959
486.000,-997204479.587
487.000,-997204716.959
488.000,-997204479.587
489.000,-997204716.959
490.000,-997204558.711
491.000,-997204716.959
492.000,-997204479.587
493.000,-997204716.959
494.000,-997204479.587
495.000,-997204716.959
496.000,-997204479.587
497.000,-997204716.959
498.000,-997204479.587
499.000,-997204716.959
500.000,-997204479.587
501.000,-997204716.959
502.000,-997204479.587
503.000,-997204716.959
504.000,-997204479.587
505.000,-997204716.959
506.000,-997204479.587
507.000,-997204716.959
508.000,-997204479.587
509.000,-997204716.959
510.000,-997204479.587
511.000,-997204716.959
512.000,-997204479.587
513.000,-997204716.959
514.000,-997204558.711
515.000,-997204716.959
516.000,-997204479.587
517.000,-997204716.959
518.000,-997204479.587
519.000,-997204637.835
520.000,-997204479.587
521.000,-997204716.959
522.000,-997204558.711
523.000,-997204796.083
524.000,-997204558.711
525.000,-997204716.959
526.000,-997204479.587
527.000,-997204637.835
528.000,-997204479.587
529.000,-997204716.959
530.000,-997204479.587
531.000,-997204796.083
532.000,-997204558.711
533.000,-997204716.959
534.000,-997204479.587
535.000,-997204637.835
536.000,-997204400.463
537.000,-997204637.835
538.000,-997204479.587
539.000,-997204716.959
540.000,-997204558.711
541.000,-997204796.083
542.000,-997204479.587
543.000,-997204716.959
544.000,-997204479.587
545.000,-997204637.835
546.000,-997204479.587
547.000,-997204716.959
548.000,-997204558.711
549.000,-997204796.083
550.000,-997204558.711
551.000,-997204716.959
552.000,-997204479.587
553.000,-997204637.835
554.000,-997204479.587
555.000,-997204716.959
556.000,-997204558.711
557.000,-997204716.959
558.000,-997204558.711
559.000,-997204716.959
560.000,-997204479.587
561.000,-997204716.959
562.000,-997204479.587
563.000,-997204716.959
564.000,-997204479.587
565.000,-997204716.959
566.000,-997204558.711
567.000,-997204716.959
568.000,-997204479.587
569.000,-997204716.959
570.000,-997204479.587
571.000,-997204716.959
572.000,-997204479.587
573.000,-997204716.959
574.000,-997204558.711
575.000,-997204716.959
576.000,-997204479.587
577.000,-997204716.959
578.000,-997204479.587
579.000,-997204716.959
580.000,-997204479.587
581.000,-997204716.959
582.000,-997204558.711
583.000,-997204716.959
584.000,-997204479.587
585.000,-997204716.959
586.000,-997204479.587
587.000,-997204716.959
588.000,-997204479.587
589.000,-997204716.959
590.000,-997204558.711
591.000,-997204716.959
592.000,-997204479.587
593.000,-997204716.959
594.000,-997204479.587
595.000,-997204716.959
596.000,-997204479.587
597.000,-997204716.959
598.000,-997204558.711
599.000,-997204716.959
600.000,-997204558.711
601.000,-997204716.959
602.000,-997204479.587
603.000,-997204637.835
604.000,-997204479.587
605.000,-997204716.959
606.000,-997204558.711
607.000,-997204796.083
608.000,-997204558.711
609.000,-997204716.959
610.000,-997204479.587
611.000,-997204637.835
612.000,-997204479.587
613.000,-997204716.959
614.000,-997204479.587
615.000,-997204716.959
616.000,-997204558.711
617.000,-997204716.959
618.000,-997204479.587
619.000,-997204716.959
620.000,-997204479.587
621.000,-997204716.959
622.000,-997204479.587
623.000,-997204716.959
624.000,-997204558.711
625.000,-997204716.959
626.000,-997204479.587
627.000,-997204716.959
628.000,-997204479.587
629.000,-997204716.959
630.000,-997204479.587
631.000,-997204716.959
632.000,-997204558.711
633.000,-997204716.959
634.000,-997204479.587
635.000,-997204716.959
636.000,-997204479.587
637.000,-997204716.959
638.000,-997204479.587
639.000,-997204716.959
640.000,-997204558.711
641.000,-997204716.959
642.000,-997204479.587
643.000,-997204716.959
644.000,-997204479.587
645.000,-997204637.835
646.000,-997204479.587
647.000,-997204716.959
648.000,-997204558.711
649.000,-997204716.959
650.000,-997204479.587
651.000,-997204716.959
652.000,-997204479.587
653.000,-997204637.835
654.000,-997204479.587
655.000,-997204716.959
656.000,-997204558.711
657.000,-997204796.083
658.000,-997204558.711
659.000,-997204716.959
660.000,-997204479.587
661.000,-997204637.835
662.000,-997204479.587
663.000,-997204716.959
664.000,-997204558.711
665.000,-997204796.083
666.000,-997204558.711
667.000,-997204716.959
668.000,-997204479.587
669.000,-997204637.835
670.000,-997204400.463
671.000,-997204637.835
672.000,-997204479.587
673.000,-997204716.959
674.000,-997204558.711
675.000,-997204796.083
676.000,-997204479.587
677.000,-997204716.959
678.000,-997204479.587
679.000,-997204637.835
680.000,-997204479.587
681.000,-997204716.959
682.000,-997204558.711
