Time_ms,Absolute_Displacement_nm
0.000,2690.213
1.000,3085.833
2.000,3085.833
3.000,2690.213
4.000,2927.585
5.000,3244.081
6.000,2848.461
7.000,2848.461
8.000,3244.081
9.000,3006.709
10.000,2690.213
11.000,3085.833
12.000,3085.833
13.000,2690.213
14.000,2927.585
15.000,3244.081
16.000,2848.461
17.000,2769.337
18.000,3244.081
19.000,2927.585
20.000,2611.089
21.000,3085.833
22.000,3164.957
23.000,2769.337
24.000,3006.709
25.000,3244.081
26.000,2848.461
27.000,2769.337
28.000,3164.957
29.000,2927.585
30.000,2690.213
31.000,3085.833
32.000,3164.957
33.000,2769.337
34.000,2927.585
35.000,3244.081
36.000,2769.337
37.000,2769.337
38.000,3164.957
39.000,3006.709
40.000,2690.213
41.000,3164.957
42.000,3164.957
43.000,2690.213
44.000,2927.585
45.000,3244.081
46.000,2769.337
47.000,2769.337
48.000,3244.081
49.000,3006.709
50.000,2690.213
51.000,3085.833
52.000,3085.833
53.000,2690.213
54.000,2927.585
55.000,3244.081
56.000,2848.461
57.000,2848.461
58.000,3244.081
59.000,3006.709
60.000,2690.213
61.000,3085.833
62.000,3085.833
63.000,2690.213
64.000,2927.585
65.000,3244.081
66.000,2848.461
67.000,2769.337
68.000,3164.957
69.000,2927.585
70.000,2611.089
71.000,3085.833
72.000,3164.957
73.000,2769.337
74.000,3006.709
75.000,3244.081
76.000,2848.461
77.000,2769.337
78.000,3164.957
79.000,2927.585
80.000,2690.213
81.000,3085.833
82.000,3164.957
83.000,2769.337
84.000,2927.585
85.000,3244.081
86.000,2769.337
87.000,2769.337
88.000,3164.957
89.000,3006.709
90.000,2690.213
91.000,3164.957
92.000,3164.957
93.000,2690.213
94.000,2927.585
95.000,3164.957
96.000,2769.337
97.000,2769.337
98.000,3244.081
99.000,3006.709
100.000,2690.213
101.000,3085.833
102.000,3085.833
103.000,2690.213
104.000,2927.585
105.000,3244.081
106.000,2848.461
107.000,2848.461
108.000,3244.081
109.000,3006.709
110.000,2690.213
111.000,3085.833
112.000,3085.833
113.000,2690.213
114.000,2927.585
115.000,3244.081
116.000,2848.461
117.000,2769.337
118.000,3164.957
119.000,2927.585
120.000,2611.089
121.000,3085.833
122.000,3164.957
123.000,2769.337
124.000,3006.709
125.000,3244.081
126.000,2848.461
127.000,2769.337
128.000,3164.957
129.000,2927.585
130.000,2690.213
131.000,3085.833
132.000,3164.957
133.000,2769.337
134.000,2927.585
135.000,3244.081
136.000,2769.337
137.000,2769.337
138.000,3164.957
139.000,3006.709
140.000,2690.213
141.000,3164.957
142.000,3164.957
143.000,2690.213
144.000,2927.585
145.000,3244.081
146.000,2769.337
147.000,2769.337
148.000,3244.081
149.000,3006.709
150.000,2690.213
151.000,3085.833
152.000,3164.957
153.000,2690.213
154.000,2927.585
155.000,3244.081
156.000,2848.461
157.000,2769.337
158.000,3244.081
159.000,3006.709
160.000,2690.213
161.000,3085.833
162.000,3164.957
163.000,2690.213
164.000,2927.585
165.000,3244.081
166.000,2848.461
167.000,2769.337
168.000,3164.957
169.000,2927.585
170.000,2611.089
171.000,3085.833
172.000,3164.957
173.000,2769.337
174.000,3006.709
175.000,3244.081
176.000,2769.337
177.000,2769.337
178.000,3164.957
179.000,2927.585
180.000,2690.213
181.000,3164.957
182.000,3164.957
183.000,2769.337
184.000,2927.585
185.000,3244.081
186.000,2769.337
187.000,2690.213
188.000,3164.957
189.000,3006.709
190.000,2690.213
191.000,3164.957
192.000,3164.957
193.000,2690.213
194.000,2927.585
195.000,3164.957
196.000,2769.337
197.000,2769.337
198.000,3244.081
199.000,3006.709
200.000,2690.213
201.000,3085.833
202.000,3164.957
203.000,2690.213
204.000,2927.585
205.000,3244.081
206.000,2848.461
207.000,2848.461
208.000,3244.081
209.000,3006.709
210.000,2690.213
211.000,3085.833
212.000,3085.833
213.000,2690.213
214.000,2927.585
215.000,3244.081
216.000,2848.461
217.000,2769.337
218.000,3164.957
219.000,2927.585
220.000,2611.089
221.000,3085.833
222.000,3164.957
223.000,2769.337
224.000,3006.709
225.000,3244.081
226.000,2848.461
227.000,2769.337
228.000,3164.957
229.000,2927.585
230.000,2690.213
231.000,3164.957
232.000,3164.957
233.000,2769.337
234.000,2927.585
235.000,3244.081
236.000,2769.337
237.000,2690.213
238.000,3164.957
239.000,3006.709
240.000,2690.213
241.000,3164.957
242.000,3164.957
243.000,2690.213
244.000,2927.585
245.000,3164.957
246.000,2769.337
247.000,2769.337
248.000,3244.081
249.000,3006.709
250.000,2690.213
251.000,3085.833
252.000,3164.957
253.000,2690.213
254.000,2927.585
255.000,3244.081
256.000,2848.461
257.000,2769.337
258.000,3244.081
259.000,3006.709
260.000,2690.213
261.000,3085.833
262.000,3085.833
263.000,2690.213
264.000,2927.585
265.000,3244.081
266.000,2848.461
267.000,2769.337
268.000,3244.081
269.000,2927.585
270.000,2690.213
271.000,3085.833
272.000,3164.957
273.000,2769.337
274.000,2927.585
275.000,3244.081
276.000,2848.461
277.000,2769.337
278.000,3164.957
279.000,2927.585
280.000,2690.213
281.000,3164.957
282.000,3164.957
283.000,2769.337
284.000,2927.585
285.000,3244.081
286.000,2769.337
287.000,2769.337
288.000,3164.957
289.000,3006.709
290.000,2690.213
291.000,3164.957
292.000,3164.957
293.000,2690.213
294.000,2927.585
295.000,3164.957
296.000,2769.337
297.000,2769.337
298.000,3244.081
299.000,3006.709
300.000,2690.213
301.000,3085.833
302.000,3085.833
303.000,2690.213
304.000,2927.585
305.000,3244.081
306.000,2848.461
307.000,2848.461
308.000,3244.081
309.000,3006.709
310.000,2690.213
311.000,3085.833
312.000,3085.833
313.000,2690.213
314.000,2927.585
315.000,3244.081
316.000,2848.461
317.000,2769.337
318.000,3244.081
319.000,2927.585
320.000,2611.089
321.000,3085.833
322.000,3164.957
323.000,2769.337
324.000,3006.709
325.000,3244.081
326.000,2848.461
327.000,2769.337
328.000,3164.957
329.000,2927.585
330.000,2690.213
331.000,3085.833
332.000,3164.957
333.000,2769.337
334.000,2927.585
335.000,3244.081
336.000,2769.337
337.000,2690.213
338.000,3164.957
339.000,3006.709
340.000,2690.213
341.000,3164.957
342.000,3164.957
343.000,2690.213
344.000,2927.585
345.000,3164.957
346.000,2769.337
347.000,2769.337
348.000,3244.081
349.000,3006.709
350.000,2690.213
351.000,3085.833
352.000,3164.957
353.000,2690.213
354.000,2927.585
355.000,3244.081
356.000,2848.461
357.000,2848.461
358.000,3244.081
359.000,3006.709
360.000,2690.213
361.000,3085.833
362.000,3085.833
363.000,2690.213
364.000,2927.585
365.000,3244.081
366.000,2848.461
367.000,2769.337
368.000,3244.081
369.000,2927.585
370.000,2611.089
371.000,3085.833
372.000,3164.957
373.000,2769.337
374.000,2927.585
375.000,3244.081
376.000,2848.461
377.000,2769.337
378.000,3164.957
379.000,2927.585
380.000,2690.213
381.000,3085.833
382.000,3164.957
383.000,2769.337
384.000,2927.585
385.000,3244.081
386.000,2769.337
387.000,2769.337
388.000,3164.957
389.000,3006.709
390.000,2690.213
391.000,3164.957
392.000,3164.957
393.000,2690.213
394.000,2927.585
395.000,3164.957
396.000,2769.337
397.000,2769.337
398.000,3244.081
399.000,3006.709
400.000,2690.213
401.000,3085.833
402.000,3085.833
403.000,2690.213
404.000,2927.585
405.000,3244.081
406.000,2848.461
407.000,2769.337
408.000,3244.081
409.000,3006.709
410.000,2690.213
411.000,3085.833
412.000,3085.833
413.000,2690.213
414.000,2927.585
415.000,3244.081
416.000,2848.461
417.000,2769.337
418.000,3164.957
419.000,2927.585
420.000,2611.089
421.000,3085.833
422.000,3164.957
423.000,2769.337
424.000,3006.709
425.000,3244.081
426.000,2848.461
427.000,2769.337
428.000,3164.957
429.000,2927.585
430.000,2690.213
431.000,3164.957
432.000,3164.957
433.000,2769.337
434.000,2927.585
435.000,3244.081
436.000,2769.337
437.000,2690.213
438.000,3164.957
439.000,3006.709
440.000,2690.213
441.000,3164.957
442.000,3164.957
443.000,2690.213
444.000,2927.585
445.000,3164.957
446.000,2769.337
447.000,2769.337
448.000,3244.081
449.000,3006.709
450.000,2690.213
451.000,3085.833
452.000,3164.957
453.000,2690.213
454.000,2927.585
455.000,3244.081
456.000,2848.461
457.000,2769.337
458.000,3244.081
459.000,3006.709
460.000,2690.213
461.000,3085.833
462.000,3085.833
463.000,2690.213
464.000,2927.585
465.000,3244.081
466.000,2848.461
467.000,2769.337
468.000,3164.957
469.000,2927.585
470.000,2611.089
471.000,3085.833
472.000,3164.957
473.000,2769.337
474.000,3006.709
475.000,3244.081
476.000,2848.461
477.000,2769.337
478.000,3164.957
479.000,2927.585
480.000,2690.213
481.000,3085.833
482.000,3164.957
483.000,2769.337
484.000,2927.585
485.000,3244.081
486.000,2769.337
487.000,2690.213
488.000,3164.957
489.000,3006.709
490.000,2690.213
491.000,3164.957
492.000,3164.957
493.000,2690.213
494.000,2927.585
495.000,3164.957
496.000,2769.337
497.000,2769.337
498.000,3244.081
499.000,3006.709
500.000,2690.213
501.000,3085.833
502.000,3164.957
503.000,2690.213
504.000,2927.585
505.000,3244.081
506.000,2848.461
507.000,2769.337
508.000,3244.081
509.000,3006.709
510.000,2690.213
511.000,3085.833
512.000,3164.957
513.000,2690.213
514.000,2927.585
515.000,3244.081
516.000,2848.461
517.000,2769.337
518.000,3164.957
519.000,2927.585
520.000,2611.089
521.000,3085.833
522.000,3164.957
523.000,2769.337
524.000,3006.709
525.000,3244.081
526.000,2848.461
527.000,2769.337
528.000,3164.957
529.000,2927.585
530.000,2690.213
531.000,3164.957
532.000,3164.957
533.000,2769.337
534.000,2927.585
535.000,3244.081
536.000,2769.337
537.000,2769.337
538.000,3164.957
539.000,3006.709
540.000,2690.213
541.000,3164.957
542.000,3164.957
543.000,2690.213
544.000,2927.585
545.000,3164.957
546.000,2769.337
547.000,2769.337
548.000,3244.081
549.000,3006.709
550.000,2690.213
551.000,3085.833
552.000,3164.957
553.000,2690.213
554.000,2927.585
555.000,3244.081
556.000,2848.461
557.000,2769.337
558.000,3244.081
559.000,3006.709
560.000,2690.213
561.000,3085.833
562.000,3085.833
563.000,2690.213
564.000,2927.585
565.000,3244.081
566.000,2848.461
567.000,2769.337
568.000,3164.957
569.000,2927.585
570.000,2611.089
571.000,3085.833
572.000,3164.957
573.000,2769.337
574.000,3006.709
575.000,3244.081
576.000,2848.461
577.000,2769.337
578.000,3164.957
579.000,2927.585
580.000,2690.213
581.000,3085.833
582.000,3164.957
583.000,2769.337
584.000,2927.585
585.000,3244.081
586.000,2769.337
587.000,2769.337
588.000,3164.957
589.000,3006.709
590.000,2690.213
591.000,3164.957
592.000,3164.957
593.000,2690.213
594.000,2927.585
595.000,3244.081
596.000,2769.337
597.000,2769.337
598.000,3244.081
599.000,3006.709
600.000,2690.213
601.000,3085.833
602.000,3164.957
603.000,2690.213
604.000,2927.585
605.000,3244.081
606.000,2848.461
607.000,2769.337
608.000,3244.081
609.000,3006.709
610.000,2690.213
611.000,3085.833
612.000,3164.957
613.000,2690.213
614.000,2927.585
615.000,3244.081
616.000,2848.461
617.000,2769.337
618.000,3164.957
619.000,2927.585
620.000,2611.089
621.000,3085.833
622.000,3164.957
623.000,2769.337
624.000,2927.585
625.000,3244.081
626.000,2848.461
627.000,2769.337
628.000,3164.957
629.000,2927.585
630.000,2690.213
631.000,3085.833
632.000,3164.957
633.000,2769.337
634.000,2927.585
635.000,3244.081
636.000,2769.337
637.000,2769.337
638.000,3164.957
639.000,3006.709
640.000,2690.213
641.000,3164.957
642.000,3164.957
643.000,2690.213
644.000,2927.585
645.000,3244.081
646.000,2769.337
647.000,2769.337
648.000,3244.081
649.000,3006.709
650.000,2690.213
651.000,3085.833
652.000,3164.957
653.000,2690.213
654.000,2927.585
655.000,3244.081
656.000,2848.461
657.000,2769.337
658.000,3244.081
659.000,3006.709
660.000,2690.213
661.000,3085.833
662.000,3164.957
663.000,2690.213
664.000,2927.585
665.000,3244.081
666.000,2848.461
667.000,2769.337
668.000,3164.957
669.000,2927.585
670.000,2611.089
671.000,3085.833
672.000,3164.957
673.000,2769.337
674.000,2927.585
675.000,3244.081
676.000,2848.461
677.000,2769.337
678.000,3164.957
679.000,2927.585
680.000,2690.213
681.000,3085.833
682.000,3164.957
683.000,2769.337
684.000,2927.585
685.000,3244.081
686.000,2769.337
687.000,2690.213
688.000,3164.957
689.000,3006.709
690.000,2690.213
691.000,3164.957
692.000,3164.957
693.000,2690.213
694.000,2927.585
695.000,3164.957
696.000,2769.337
697.000,2769.337
698.000,3244.081
699.000,3006.709
700.000,2690.213
701.000,3085.833
702.000,3164.957
703.000,2690.213
704.000,2927.585
705.000,3244.081
706.000,2848.461
707.000,2769.337
708.000,3244.081
709.000,3006.709
710.000,2690.213
711.000,3085.833
712.000,3085.833
713.000,2690.213
714.000,2927.585
715.000,3244.081
716.000,2848.461
717.000,2769.337
718.000,3244.081
719.000,3006.709
720.000,2611.089
721.000,3085.833
722.000,3164.957
723.000,2769.337
724.000,2927.585
725.000,3244.081
726.000,2848.461
727.000,2769.337
728.000,3164.957
729.000,3006.709
730.000,2690.213
731.000,3085.833
732.000,3164.957
733.000,2769.337
734.000,2927.585
735.000,3244.081
736.000,2769.337
737.000,2769.337
738.000,3164.957
739.000,3006.709
740.000,2690.213
741.000,3164.957
742.000,3164.957
743.000,2690.213
744.000,2927.585
745.000,3164.957
746.000,2769.337
747.000,2769.337
748.000,3244.081
749.000,3006.709
750.000,2690.213
751.000,3085.833
752.000,3164.957
753.000,2690.213
754.000,2927.585
755.000,3244.081
756.000,2848.461
757.000,2769.337
758.000,3244.081
