Time_ms,Absolute_Displacement_nm
0.000,632.991
1.000,316.496
2.000,-79.124
3.000,0.000
4.000,474.744
5.000,632.991
6.000,316.496
7.000,-79.124
8.000,0.000
9.000,474.744
10.000,632.991
11.000,237.372
12.000,-79.124
13.000,0.000
14.000,474.744
15.000,712.115
16.000,316.496
17.000,-79.124
18.000,0.000
19.000,474.744
20.000,632.991
21.000,316.496
22.000,-79.124
23.000,0.000
24.000,474.744
25.000,632.991
26.000,316.496
27.000,-79.124
28.000,0.000
29.000,474.744
30.000,712.115
31.000,316.496
32.000,-79.124
33.000,0.000
34.000,474.744
35.000,632.991
36.000,316.496
37.000,-79.124
38.000,0.000
39.000,553.867
40.000,712.115
41.000,316.496
42.000,-79.124
43.000,0.000
44.000,474.744
45.000,632.991
46.000,316.496
47.000,-79.124
48.000,79.124
49.000,553.867
50.000,632.991
51.000,237.372
52.000,-79.124
53.000,0.000
54.000,474.744
55.000,712.115
56.000,316.496
57.000,-79.124
58.000,0.000
59.000,474.744
60.000,632.991
61.000,237.372
62.000,-79.124
63.000,0.000
64.000,553.867
65.000,712.115
66.000,316.496
67.000,-79.124
68.000,0.000
69.000,474.744
70.000,632.991
71.000,316.496
72.000,-79.124
73.000,79.124
74.000,553.867
75.000,632.991
76.000,316.496
77.000,-158.248
78.000,0.000
79.000,474.744
80.000,632.991
81.000,316.496
82.000,-79.124
83.000,0.000
84.000,474.744
85.000,632.991
86.000,237.372
87.000,-79.124
88.000,0.000
89.000,474.744
90.000,712.115
91.000,316.496
92.000,-79.124
93.000,0.000
94.000,474.744
95.000,632.991
96.000,316.496
97.000,-79.124
98.000,0.000
99.000,474.744
100.000,632.991
101.000,316.496
102.000,-79.124
103.000,0.000
104.000,474.744
105.000,632.991
106.000,316.496
107.000,-79.124
108.000,0.000
109.000,474.744
110.000,632.991
111.000,316.496
112.000,-79.124
113.000,0.000
114.000,474.744
115.000,632.991
116.000,316.496
117.000,-79.124
118.000,0.000
119.000,474.744
120.000,632.991
121.000,316.496
122.000,-79.124
123.000,0.000
124.000,474.744
125.000,632.991
126.000,237.372
127.000,-79.124
128.000,0.000
129.000,474.744
130.000,712.115
131.000,316.496
132.000,-79.124
133.000,0.000
134.000,474.744
135.000,632.991
136.000,237.372
137.000,-79.124
138.000,0.000
139.000,553.867
140.000,712.115
141.000,316.496
142.000,-79.124
143.000,0.000
144.000,474.744
145.000,632.991
146.000,316.496
147.000,-79.124
148.000,79.124
149.000,553.867
150.000,632.991
151.000,316.496
