Time_ms,Absolute_Displacement_nm
0.000,3006.709
1.000,3006.709
2.000,3006.709
3.000,3006.709
4.000,3006.709
5.000,2927.585
6.000,2927.585
7.000,3006.709
8.000,3006.709
9.000,3006.709
10.000,3006.709
11.000,3006.709
12.000,3006.709
13.000,2927.585
14.000,2927.585
15.000,3006.709
16.000,3006.709
17.000,3006.709
18.000,3006.709
19.000,3006.709
20.000,3006.709
21.000,2927.585
22.000,2927.585
23.000,2927.585
24.000,3006.709
25.000,3006.709
26.000,3006.709
27.000,3006.709
28.000,3006.709
29.000,2927.585
30.000,2927.585
31.000,2927.585
32.000,3006.709
33.000,3006.709
34.000,3006.709
35.000,3006.709
36.000,3006.709
37.000,3006.709
38.000,2927.585
39.000,2927.585
40.000,2927.585
41.000,3006.709
42.000,3006.709
43.000,3006.709
44.000,3006.709
45.000,3006.709
46.000,2927.585
47.000,2927.585
48.000,2927.585
49.000,3006.709
50.000,3006.709
51.000,3006.709
52.000,3006.709
53.000,3006.709
54.000,2927.585
55.000,2927.585
56.000,2927.585
57.000,3006.709
58.000,3006.709
59.000,3006.709
60.000,3006.709
61.000,3006.709
62.000,3006.709
63.000,2927.585
64.000,2927.585
65.000,3006.709
66.000,3006.709
67.000,3006.709
68.000,3006.709
69.000,3006.709
70.000,2927.585
71.000,2927.585
72.000,2927.585
73.000,3006.709
74.000,3006.709
75.000,3006.709
76.000,3006.709
77.000,3006.709
78.000,3006.709
79.000,2927.585
80.000,2927.585
81.000,2927.585
82.000,3006.709
83.000,3006.709
84.000,3006.709
85.000,3006.709
86.000,3006.709
87.000,2927.585
88.000,2927.585
89.000,2927.585
90.000,3006.709
91.000,3006.709
92.000,3006.709
93.000,3006.709
94.000,3006.709
95.000,3006.709
96.000,2927.585
97.000,2927.585
98.000,2927.585
99.000,3006.709
100.000,3006.709
101.000,3006.709
102.000,3006.709
103.000,3006.709
104.000,2927.585
105.000,2927.585
106.000,2927.585
107.000,2927.585
108.000,3006.709
109.000,3006.709
110.000,3006.709
111.000,3006.709
112.000,3006.709
113.000,2927.585
114.000,2927.585
115.000,2927.585
116.000,3006.709
117.000,3006.709
118.000,3006.709
119.000,3006.709
120.000,3006.709
121.000,2927.585
122.000,2927.585
123.000,2927.585
124.000,3006.709
