Time_ms,Absolute_Displacement_nm
0.000,395.620
1.000,395.620
2.000,395.620
3.000,316.496
4.000,316.496
5.000,316.496
6.000,395.620
7.000,395.620
8.000,395.620
9.000,395.620
10.000,395.620
11.000,316.496
12.000,316.496
13.000,316.496
14.000,316.496
15.000,395.620
16.000,395.620
17.000,395.620
18.000,395.620
19.000,395.620
20.000,316.496
21.000,316.496
22.000,316.496
23.000,316.496
24.000,395.620
25.000,395.620
26.000,395.620
27.000,395.620
28.000,316.496
29.000,316.496
30.000,316.496
31.000,316.496
32.000,316.496
33.000,395.620
34.000,395.620
35.000,395.620
36.000,316.496
37.000,316.496
38.000,316.496
39.000,316.496
40.000,316.496
41.000,316.496
42.000,316.496
43.000,316.496
44.000,316.496
45.000,316.496
46.000,316.496
47.000,316.496
48.000,316.496
49.000,316.496
50.000,316.496
51.000,316.496
52.000,316.496
53.000,316.496
54.000,316.496
55.000,316.496
56.000,316.496
57.000,316.496
58.000,316.496
59.000,316.496
60.000,316.496
61.000,316.496
62.000,316.496
63.000,316.496
64.000,316.496
65.000,316.496
66.000,316.496
67.000,316.496
68.000,316.496
69.000,316.496
70.000,237.372
71.000,237.372
72.000,316.496
73.000,316.496
74.000,316.496
75.000,316.496
76.000,316.496
77.000,316.496
78.000,237.372
79.000,237.372
80.000,237.372
81.000,316.496
82.000,316.496
83.000,316.496
84.000,316.496
85.000,316.496
86.000,237.372
87.000,237.372
88.000,237.372
89.000,237.372
90.000,316.496
91.000,316.496
92.000,316.496
93.000,316.496
94.000,237.372
95.000,237.372
96.000,237.372
97.000,237.372
98.000,237.372
99.000,316.496
100.000,316.496
101.000,316.496
102.000,237.372
103.000,237.372
104.000,237.372
105.000,237.372
106.000,237.372
107.000,237.372
108.000,316.496
109.000,237.372
110.000,237.372
111.000,237.372
112.000,237.372
113.000,237.372
114.000,237.372
115.000,237.372
116.000,237.372
117.000,237.372
118.000,237.372
119.000,237.372
120.000,237.372
121.000,237.372
122.000,237.372
123.000,237.372
124.000,237.372
125.000,237.372
126.000,237.372
127.000,237.372
128.000,237.372
129.000,237.372
130.000,237.372
131.000,237.372
132.000,237.372
133.000,237.372
134.000,237.372
135.000,237.372
136.000,237.372
137.000,158.248
138.000,237.372
139.000,237.372
140.000,237.372
141.000,237.372
142.000,237.372
143.000,237.372
144.000,237.372
145.000,158.248
146.000,158.248
147.000,158.248
148.000,237.372
149.000,237.372
150.000,237.372
151.000,237.372
152.000,237.372
153.000,158.248
154.000,158.248
155.000,158.248
156.000,158.248
157.000,237.372
158.000,237.372
159.000,237.372
160.000,237.372
161.000,237.372
162.000,158.248
163.000,158.248
164.000,158.248
165.000,237.372
166.000,237.372
167.000,237.372
168.000,237.372
169.000,237.372
170.000,158.248
171.000,158.248
172.000,158.248
173.000,158.248
174.000,237.372
175.000,237.372
176.000,237.372
177.000,158.248
178.000,158.248
179.000,158.248
180.000,158.248
181.000,158.248
182.000,237.372
183.000,237.372
184.000,237.372
185.000,158.248
186.000,158.248
187.000,158.248
188.000,158.248
189.000,158.248
190.000,158.248
191.000,237.372
192.000,237.372
193.000,158.248
194.000,158.248
195.000,158.248
196.000,158.248
197.000,158.248
198.000,158.248
199.000,237.372
200.000,237.372
201.000,158.248
202.000,158.248
203.000,158.248
204.000,158.248
205.000,158.248
206.000,158.248
207.000,158.248
208.000,237.372
209.000,158.248
210.000,158.248
211.000,158.248
212.000,158.248
213.000,158.248
214.000,158.248
215.000,158.248
216.000,158.248
217.000,158.248
218.000,158.248
219.000,158.248
220.000,158.248
221.000,158.248
222.000,158.248
223.000,158.248
224.000,158.248
225.000,158.248
226.000,158.248
227.000,158.248
228.000,158.248
229.000,158.248
230.000,158.248
231.000,158.248
232.000,158.248
233.000,158.248
234.000,158.248
235.000,158.248
236.000,158.248
237.000,158.248
238.000,158.248
239.000,158.248
240.000,158.248
241.000,158.248
242.000,158.248
243.000,158.248
244.000,158.248
245.000,158.248
246.000,158.248
247.000,158.248
248.000,158.248
249.000,158.248
250.000,158.248
251.000,158.248
252.000,158.248
253.000,158.248
254.000,158.248
255.000,158.248
256.000,158.248
257.000,158.248
258.000,158.248
259.000,158.248
260.000,158.248
261.000,158.248
262.000,158.248
263.000,158.248
264.000,158.248
265.000,158.248
266.000,158.248
267.000,158.248
268.000,158.248
269.000,158.248
270.000,158.248
271.000,158.248
272.000,158.248
273.000,158.248
274.000,158.248
275.000,158.248
276.000,158.248
277.000,158.248
278.000,158.248
279.000,158.248
280.000,158.248
281.000,158.248
282.000,158.248
283.000,158.248
284.000,158.248
285.000,158.248
286.000,158.248
287.000,158.248
288.000,158.248
289.000,158.248
290.000,158.248
291.000,158.248
292.000,158.248
293.000,158.248
294.000,158.248
295.000,158.248
296.000,158.248
297.000,158.248
298.000,158.248
299.000,158.248
300.000,158.248
301.000,158.248
302.000,158.248
303.000,158.248
304.000,158.248
305.000,158.248
306.000,158.248
307.000,158.248
308.000,158.248
309.000,158.248
310.000,158.248
311.000,158.248
312.000,158.248
313.000,158.248
314.000,158.248
315.000,158.248
316.000,158.248
317.000,158.248
318.000,158.248
319.000,158.248
320.000,158.248
321.000,158.248
322.000,158.248
323.000,158.248
324.000,158.248
325.000,158.248
326.000,158.248
327.000,158.248
328.000,158.248
329.000,158.248
330.000,158.248
331.000,158.248
332.000,158.248
333.000,158.248
334.000,158.248
335.000,158.248
336.000,158.248
337.000,158.248
338.000,158.248
339.000,158.248
340.000,158.248
341.000,158.248
342.000,158.248
343.000,158.248
344.000,158.248
345.000,158.248
346.000,158.248
347.000,158.248
348.000,158.248
349.000,158.248
350.000,158.248
351.000,158.248
352.000,158.248
353.000,158.248
354.000,158.248
355.000,158.248
356.000,158.248
357.000,158.248
358.000,158.248
359.000,158.248
360.000,158.248
361.000,158.248
362.000,158.248
363.000,158.248
364.000,158.248
365.000,158.248
366.000,237.372
367.000,237.372
368.000,158.248
369.000,158.248
370.000,158.248
371.000,158.248
372.000,158.248
373.000,158.248
374.000,237.372
375.000,237.372
376.000,237.372
377.000,158.248
378.000,158.248
379.000,158.248
380.000,158.248
381.000,158.248
382.000,237.372
383.000,237.372
384.000,237.372
385.000,237.372
386.000,158.248
387.000,158.248
388.000,158.248
389.000,158.248
390.000,158.248
391.000,237.372
392.000,237.372
393.000,237.372
394.000,237.372
395.000,158.248
396.000,158.248
397.000,158.248
398.000,158.248
399.000,237.372
400.000,237.372
401.000,237.372
402.000,237.372
403.000,158.248
404.000,158.248
405.000,158.248
406.000,158.248
407.000,237.372
408.000,237.372
409.000,237.372
410.000,237.372
411.000,237.372
412.000,158.248
413.000,158.248
414.000,237.372
415.000,237.372
416.000,237.372
417.000,237.372
418.000,237.372
419.000,237.372
420.000,158.248
421.000,158.248
422.000,237.372
423.000,237.372
424.000,237.372
425.000,237.372
426.000,237.372
427.000,237.372
428.000,237.372
429.000,158.248
430.000,158.248
431.000,237.372
432.000,237.372
433.000,237.372
434.000,237.372
435.000,237.372
436.000,237.372
437.000,237.372
438.000,237.372
439.000,237.372
440.000,237.372
441.000,237.372
442.000,237.372
443.000,237.372
444.000,237.372
445.000,237.372
446.000,237.372
447.000,237.372
448.000,237.372
449.000,237.372
450.000,237.372
451.000,237.372
452.000,237.372
453.000,237.372
454.000,237.372
455.000,237.372
456.000,237.372
457.000,237.372
458.000,237.372
459.000,237.372
460.000,237.372
461.000,237.372
462.000,237.372
463.000,237.372
464.000,237.372
465.000,237.372
466.000,237.372
467.000,237.372
468.000,237.372
469.000,237.372
470.000,237.372
471.000,237.372
472.000,237.372
473.000,237.372
474.000,316.496
475.000,316.496
476.000,237.372
477.000,237.372
478.000,237.372
479.000,237.372
480.000,237.372
481.000,237.372
482.000,316.496
483.000,316.496
484.000,316.496
485.000,316.496
486.000,237.372
487.000,237.372
488.000,237.372
489.000,237.372
490.000,316.496
491.000,316.496
492.000,316.496
493.000,316.496
494.000,316.496
495.000,237.372
496.000,237.372
497.000,237.372
498.000,316.496
499.000,316.496
500.000,316.496
501.000,316.496
502.000,316.496
503.000,316.496
504.000,237.372
505.000,237.372
506.000,316.496
507.000,316.496
508.000,316.496
509.000,316.496
510.000,316.496
511.000,316.496
512.000,316.496
513.000,316.496
514.000,316.496
515.000,316.496
516.000,316.496
517.000,316.496
518.000,316.496
519.000,316.496
520.000,316.496
521.000,316.496
522.000,316.496
523.000,316.496
524.000,316.496
525.000,316.496
526.000,316.496
527.000,316.496
528.000,316.496
529.000,316.496
530.000,316.496
531.000,316.496
532.000,316.496
533.000,316.496
534.000,395.620
535.000,316.496
536.000,316.496
537.000,316.496
538.000,316.496
539.000,316.496
540.000,316.496
541.000,395.620
542.000,395.620
543.000,395.620
544.000,316.496
545.000,316.496
546.000,316.496
547.000,316.496
548.000,316.496
549.000,395.620
550.000,395.620
551.000,395.620
552.000,395.620
553.000,316.496
554.000,316.496
555.000,316.496
556.000,316.496
557.000,395.620
558.000,395.620
559.000,395.620
560.000,395.620
561.000,395.620
562.000,316.496
563.000,316.496
564.000,316.496
565.000,395.620
566.000,395.620
567.000,395.620
568.000,395.620
569.000,395.620
570.000,395.620
571.000,316.496
572.000,395.620
573.000,395.620
574.000,395.620
575.000,395.620
576.000,395.620
577.000,395.620
578.000,395.620
579.000,395.620
580.000,395.620
581.000,395.620
582.000,395.620
583.000,395.620
584.000,395.620
585.000,395.620
586.000,395.620
587.000,395.620
588.000,395.620
589.000,395.620
590.000,395.620
591.000,395.620
592.000,395.620
593.000,395.620
594.000,395.620
595.000,395.620
596.000,395.620
597.000,395.620
598.000,395.620
599.000,395.620
600.000,474.744
601.000,395.620
602.000,395.620
603.000,395.620
604.000,395.620
605.000,395.620
606.000,395.620
607.000,474.744
608.000,474.744
609.000,474.744
610.000,395.620
611.000,395.620
612.000,395.620
613.000,395.620
614.000,395.620
615.000,474.744
616.000,474.744
617.000,474.744
618.000,474.744
619.000,395.620
620.000,395.620
621.000,395.620
622.000,395.620
623.000,395.620
624.000,474.744
625.000,474.744
626.000,474.744
627.000,474.744
628.000,395.620
629.000,395.620
630.000,395.620
631.000,395.620
632.000,474.744
633.000,474.744
634.000,474.744
635.000,474.744
636.000,474.744
637.000,395.620
638.000,395.620
639.000,395.620
640.000,474.744
641.000,474.744
642.000,474.744
643.000,474.744
644.000,474.744
645.000,474.744
646.000,395.620
647.000,474.744
648.000,474.744
649.000,474.744
650.000,474.744
651.000,474.744
652.000,474.744
653.000,474.744
654.000,474.744
655.000,474.744
656.000,474.744
657.000,474.744
658.000,474.744
659.000,474.744
660.000,474.744
661.000,474.744
662.000,474.744
663.000,474.744
664.000,474.744
665.000,474.744
666.000,474.744
667.000,474.744
668.000,474.744
669.000,474.744
670.000,474.744
671.000,474.744
672.000,474.744
673.000,474.744
674.000,474.744
675.000,474.744
676.000,474.744
677.000,474.744
678.000,474.744
679.000,474.744
680.000,474.744
681.000,474.744
682.000,474.744
683.000,474.744
684.000,553.867
685.000,474.744
686.000,474.744
687.000,474.744
688.000,474.744
689.000,474.744
690.000,474.744
691.000,474.744
692.000,553.867
693.000,474.744
694.000,474.744
695.000,474.744
696.000,474.744
697.000,474.744
698.000,474.744
699.000,553.867
700.000,553.867
701.000,553.867
702.000,474.744
703.000,474.744
704.000,474.744
705.000,474.744
706.000,474.744
707.000,474.744
708.000,553.867
709.000,553.867
710.000,553.867
711.000,474.744
712.000,474.744
713.000,474.744
714.000,474.744
715.000,474.744
716.000,553.867
717.000,553.867
718.000,553.867
719.000,474.744
720.000,474.744
721.000,474.744
722.000,474.744
723.000,474.744
724.000,553.867
725.000,553.867
726.000,553.867
727.000,553.867
728.000,474.744
729.000,474.744
730.000,474.744
731.000,474.744
732.000,553.867
733.000,553.867
734.000,553.867
735.000,553.867
736.000,474.744
737.000,474.744
738.000,474.744
739.000,474.744
740.000,553.867
741.000,553.867
742.000,553.867
743.000,553.867
744.000,553.867
745.000,474.744
746.000,474.744
747.000,474.744
748.000,553.867
749.000,553.867
750.000,553.867
751.000,553.867
752.000,553.867
753.000,474.744
754.000,474.744
755.000,474.744
756.000,474.744
757.000,553.867
758.000,553.867
759.000,553.867
760.000,553.867
761.000,553.867
762.000,474.744
763.000,474.744
764.000,474.744
765.000,553.867
