Time_ms,Absolute_Displacement_nm
0.000,2927.585
1.000,2927.585
2.000,2769.337
3.000,3006.709
4.000,2848.461
5.000,3006.709
6.000,3006.709
7.000,2848.461
8.000,3006.709
9.000,2769.337
10.000,2927.585
11.000,2927.585
12.000,2848.461
13.000,3085.833
14.000,2848.461
15.000,2927.585
16.000,2927.585
17.000,2769.337
18.000,3006.709
19.000,2769.337
20.000,2927.585
21.000,3006.709
22.000,2848.461
23.000,3085.833
24.000,2848.461
25.000,2927.585
26.000,2927.585
27.000,2769.337
28.000,3006.709
29.000,2848.461
30.000,2927.585
31.000,3006.709
32.000,2848.461
33.000,3006.709
34.000,2769.337
35.000,2927.585
36.000,2927.585
37.000,2848.461
38.000,3085.833
39.000,2848.461
40.000,2927.585
41.000,2927.585
42.000,2769.337
43.000,3006.709
44.000,2848.461
45.000,2927.585
46.000,3006.709
47.000,2848.461
48.000,3006.709
49.000,2848.461
50.000,2927.585
51.000,2927.585
52.000,2769.337
53.000,3006.709
54.000,2848.461
55.000,2927.585
56.000,3006.709
57.000,2769.337
58.000,3006.709
59.000,2769.337
60.000,2927.585
61.000,3006.709
62.000,2848.461
63.000,3085.833
64.000,2848.461
65.000,2927.585
66.000,2927.585
67.000,2769.337
68.000,3006.709
69.000,2848.461
70.000,2927.585
71.000,3006.709
72.000,2848.461
73.000,3006.709
74.000,2848.461
75.000,2927.585
76.000,2927.585
77.000,2769.337
78.000,3006.709
79.000,2848.461
80.000,3006.709
81.000,3006.709
82.000,2848.461
83.000,3006.709
84.000,2769.337
85.000,2927.585
86.000,2927.585
87.000,2848.461
88.000,3085.833
89.000,2848.461
90.000,2927.585
91.000,2927.585
92.000,2769.337
93.000,3006.709
94.000,2848.461
95.000,2927.585
96.000,3006.709
97.000,2848.461
98.000,3006.709
99.000,2848.461
100.000,2927.585
101.000,2927.585
102.000,2769.337
103.000,3006.709
104.000,2848.461
105.000,3006.709
106.000,3006.709
107.000,2848.461
108.000,3006.709
109.000,2769.337
110.000,2927.585
111.000,2927.585
112.000,2848.461
113.000,3085.833
114.000,2848.461
115.000,2927.585
116.000,2927.585
117.000,2769.337
118.000,3006.709
119.000,2848.461
120.000,2927.585
121.000,3006.709
122.000,2848.461
123.000,3085.833
124.000,2848.461
125.000,2927.585
126.000,2927.585
127.000,2769.337
128.000,3006.709
129.000,2848.461
130.000,3006.709
131.000,3006.709
132.000,2848.461
133.000,3006.709
134.000,2769.337
135.000,2927.585
136.000,2927.585
137.000,2848.461
138.000,3085.833
139.000,2848.461
140.000,2927.585
141.000,2927.585
142.000,2769.337
143.000,3006.709
144.000,2848.461
145.000,2927.585
146.000,3006.709
147.000,2848.461
148.000,3006.709
149.000,2848.461
150.000,2927.585
151.000,2927.585
152.000,2769.337
153.000,3006.709
154.000,2848.461
155.000,2927.585
156.000,3006.709
157.000,2848.461
158.000,3006.709
159.000,2769.337
160.000,2927.585
161.000,2927.585
162.000,2848.461
163.000,3085.833
164.000,2848.461
165.000,2927.585
166.000,2927.585
167.000,2769.337
168.000,3006.709
169.000,2848.461
170.000,2927.585
171.000,3006.709
172.000,2848.461
173.000,3006.709
174.000,2848.461
175.000,2927.585
176.000,2927.585
177.000,2769.337
178.000,3006.709
179.000,2848.461
180.000,2927.585
181.000,3006.709
182.000,2769.337
183.000,3006.709
184.000,2769.337
185.000,2927.585
186.000,2927.585
187.000,2848.461
188.000,3085.833
189.000,2848.461
190.000,2927.585
191.000,2927.585
192.000,2769.337
193.000,3006.709
194.000,2848.461
195.000,2927.585
196.000,3006.709
197.000,2848.461
198.000,3006.709
199.000,2848.461
200.000,2927.585
201.000,2927.585
202.000,2769.337
203.000,3006.709
204.000,2848.461
205.000,3006.709
206.000,3006.709
207.000,2769.337
208.000,3006.709
209.000,2769.337
210.000,2927.585
211.000,2927.585
212.000,2848.461
213.000,3085.833
214.000,2848.461
215.000,2927.585
216.000,2927.585
217.000,2769.337
218.000,3006.709
219.000,2848.461
220.000,2927.585
221.000,3006.709
222.000,2848.461
223.000,3006.709
224.000,2848.461
225.000,2927.585
226.000,2927.585
227.000,2769.337
228.000,3006.709
229.000,2848.461
230.000,3006.709
231.000,3006.709
232.000,2769.337
233.000,3006.709
234.000,2769.337
235.000,2927.585
236.000,2927.585
237.000,2848.461
238.000,3085.833
239.000,2848.461
240.000,2927.585
241.000,2927.585
242.000,2769.337
243.000,3006.709
244.000,2848.461
245.000,2927.585
246.000,3006.709
247.000,2848.461
248.000,3085.833
249.000,2848.461
250.000,2927.585
251.000,2927.585
252.000,2769.337
253.000,3006.709
254.000,2848.461
255.000,3006.709
256.000,3006.709
257.000,2848.461
258.000,3006.709
259.000,2769.337
260.000,2927.585
261.000,2927.585
262.000,2848.461
263.000,3085.833
264.000,2848.461
265.000,2927.585
266.000,2927.585
267.000,2769.337
268.000,3006.709
269.000,2848.461
270.000,2927.585
271.000,3006.709
272.000,2848.461
273.000,3085.833
274.000,2848.461
275.000,2927.585
276.000,2927.585
277.000,2769.337
278.000,3006.709
279.000,2848.461
280.000,2927.585
281.000,3006.709
282.000,2848.461
283.000,3006.709
284.000,2769.337
285.000,2927.585
286.000,2927.585
287.000,2848.461
288.000,3085.833
289.000,2848.461
290.000,2927.585
291.000,2927.585
292.000,2769.337
293.000,3006.709
294.000,2848.461
295.000,2927.585
296.000,3006.709
297.000,2848.461
298.000,3006.709
299.000,2848.461
300.000,2927.585
301.000,2927.585
302.000,2769.337
303.000,3006.709
304.000,2848.461
305.000,3006.709
306.000,3006.709
307.000,2769.337
308.000,3006.709
309.000,2769.337
310.000,2927.585
311.000,2927.585
312.000,2848.461
313.000,3085.833
314.000,2848.461
315.000,2927.585
316.000,2927.585
317.000,2769.337
318.000,3006.709
319.000,2848.461
320.000,2927.585
321.000,3006.709
322.000,2848.461
323.000,3006.709
324.000,2848.461
325.000,2927.585
326.000,2927.585
327.000,2769.337
328.000,3006.709
329.000,2848.461
330.000,3006.709
331.000,3006.709
332.000,2848.461
333.000,3006.709
334.000,2769.337
335.000,2927.585
336.000,2927.585
337.000,2848.461
338.000,3085.833
339.000,2848.461
340.000,2927.585
341.000,2927.585
342.000,2769.337
343.000,3006.709
344.000,2848.461
345.000,2927.585
346.000,3006.709
347.000,2848.461
348.000,3006.709
349.000,2848.461
350.000,2927.585
351.000,2927.585
352.000,2769.337
353.000,3006.709
354.000,2848.461
355.000,3006.709
356.000,3006.709
357.000,2848.461
358.000,3006.709
359.000,2769.337
360.000,2927.585
361.000,2927.585
362.000,2848.461
363.000,3085.833
364.000,2848.461
365.000,2927.585
366.000,2927.585
367.000,2769.337
368.000,3006.709
369.000,2848.461
370.000,2927.585
371.000,3006.709
372.000,2848.461
373.000,3006.709
374.000,2848.461
375.000,2927.585
376.000,2927.585
377.000,2769.337
378.000,3006.709
379.000,2848.461
380.000,3006.709
381.000,3006.709
382.000,2848.461
383.000,3006.709
384.000,2769.337
385.000,2927.585
386.000,2927.585
387.000,2848.461
388.000,3085.833
389.000,2848.461
390.000,2927.585
391.000,2927.585
392.000,2769.337
393.000,3006.709
394.000,2848.461
395.000,2927.585
396.000,3006.709
397.000,2848.461
398.000,3085.833
399.000,2848.461
400.000,2927.585
401.000,2927.585
402.000,2769.337
403.000,3006.709
404.000,2848.461
405.000,2927.585
406.000,3006.709
407.000,2848.461
408.000,3006.709
409.000,2769.337
410.000,2927.585
411.000,2927.585
412.000,2848.461
413.000,3085.833
414.000,2848.461
415.000,2927.585
416.000,2927.585
417.000,2769.337
418.000,3006.709
419.000,2848.461
420.000,2927.585
421.000,3006.709
422.000,2848.461
423.000,3006.709
424.000,2848.461
425.000,2927.585
426.000,2927.585
427.000,2769.337
428.000,3006.709
429.000,2848.461
430.000,2927.585
431.000,3006.709
432.000,2769.337
433.000,3006.709
434.000,2769.337
435.000,2927.585
436.000,2927.585
437.000,2848.461
438.000,3085.833
439.000,2848.461
440.000,2927.585
441.000,2927.585
442.000,2769.337
443.000,3006.709
444.000,2848.461
445.000,2927.585
446.000,3006.709
447.000,2848.461
448.000,3006.709
449.000,2848.461
450.000,2927.585
451.000,2927.585
452.000,2769.337
453.000,3006.709
454.000,2848.461
455.000,3006.709
456.000,3006.709
457.000,2848.461
458.000,3006.709
459.000,2769.337
460.000,2927.585
461.000,2927.585
462.000,2848.461
463.000,3085.833
464.000,2848.461
465.000,2927.585
466.000,2927.585
467.000,2769.337
468.000,3006.709
469.000,2848.461
470.000,2927.585
471.000,3006.709
472.000,2848.461
473.000,3085.833
474.000,2848.461
475.000,2927.585
476.000,2927.585
477.000,2769.337
478.000,3006.709
479.000,2848.461
480.000,3006.709
481.000,3006.709
482.000,2848.461
483.000,3006.709
484.000,2769.337
485.000,2927.585
486.000,2927.585
487.000,2848.461
488.000,3085.833
489.000,2848.461
490.000,2927.585
491.000,2927.585
492.000,2769.337
493.000,3006.709
494.000,2848.461
495.000,2927.585
496.000,3006.709
497.000,2848.461
498.000,3006.709
499.000,2848.461
500.000,2927.585
501.000,2927.585
502.000,2769.337
503.000,3006.709
504.000,2848.461
505.000,3006.709
506.000,3006.709
507.000,2848.461
508.000,3006.709
509.000,2769.337
510.000,2927.585
511.000,2927.585
512.000,2848.461
513.000,3085.833
514.000,2848.461
515.000,2927.585
516.000,2927.585
517.000,2769.337
518.000,3006.709
519.000,2848.461
520.000,2927.585
521.000,3006.709
522.000,2848.461
523.000,3085.833
524.000,2848.461
525.000,2927.585
526.000,2927.585
527.000,2769.337
528.000,3006.709
529.000,2848.461
530.000,3006.709
531.000,3006.709
532.000,2848.461
533.000,3006.709
534.000,2769.337
535.000,2927.585
536.000,2927.585
537.000,2848.461
538.000,3085.833
539.000,2848.461
540.000,2927.585
541.000,2927.585
542.000,2769.337
543.000,3006.709
544.000,2848.461
545.000,2927.585
546.000,3006.709
547.000,2848.461
548.000,3006.709
549.000,2848.461
550.000,2927.585
551.000,2927.585
552.000,2769.337
553.000,3006.709
554.000,2848.461
555.000,3006.709
556.000,3006.709
557.000,2769.337
558.000,3006.709
559.000,2769.337
560.000,2927.585
561.000,2927.585
562.000,2848.461
563.000,3085.833
564.000,2848.461
565.000,2927.585
566.000,2927.585
567.000,2769.337
568.000,3006.709
569.000,2848.461
570.000,2927.585
571.000,3006.709
572.000,2848.461
573.000,3006.709
574.000,2848.461
575.000,2927.585
576.000,2927.585
577.000,2769.337
578.000,3006.709
579.000,2848.461
580.000,3006.709
581.000,3006.709
582.000,2848.461
583.000,3006.709
584.000,2769.337
585.000,2927.585
586.000,2927.585
587.000,2848.461
588.000,3085.833
589.000,2848.461
590.000,2927.585
591.000,2927.585
592.000,2769.337
593.000,3006.709
594.000,2848.461
595.000,2927.585
596.000,3006.709
597.000,2848.461
598.000,3006.709
599.000,2848.461
600.000,2927.585
601.000,2927.585
602.000,2769.337
603.000,3006.709
604.000,2848.461
605.000,3006.709
606.000,3006.709
607.000,2848.461
608.000,3006.709
609.000,2769.337
610.000,2927.585
611.000,2927.585
612.000,2848.461
613.000,3085.833
614.000,2848.461
615.000,2927.585
616.000,2927.585
617.000,2769.337
618.000,3006.709
619.000,2848.461
620.000,2927.585
621.000,3006.709
622.000,2848.461
623.000,3085.833
624.000,2848.461
625.000,2927.585
626.000,2927.585
627.000,2769.337
628.000,3006.709
629.000,2848.461
630.000,3006.709
631.000,3006.709
632.000,2848.461
633.000,3006.709
634.000,2769.337
635.000,2927.585
636.000,2927.585
637.000,2848.461
638.000,3085.833
639.000,2848.461
640.000,2927.585
641.000,2927.585
642.000,2769.337
643.000,3006.709
644.000,2848.461
645.000,2927.585
646.000,3006.709
647.000,2848.461
648.000,3085.833
649.000,2848.461
650.000,2927.585
651.000,2927.585
652.000,2769.337
653.000,3006.709
654.000,2848.461
655.000,2927.585
656.000,3006.709
657.000,2848.461
658.000,3006.709
659.000,2769.337
660.000,2927.585
661.000,2927.585
662.000,2848.461
663.000,3085.833
664.000,2848.461
665.000,2927.585
666.000,2927.585
667.000,2769.337
668.000,3006.709
669.000,2848.461
670.000,2927.585
671.000,3006.709
672.000,2848.461
673.000,3006.709
674.000,2769.337
675.000,2927.585
676.000,2927.585
677.000,2769.337
