Time_ms,Absolute_Displacement_nm
0.000,3006.709
1.000,3244.081
2.000,3323.205
3.000,3244.081
4.000,3006.709
5.000,2769.337
6.000,2611.089
7.000,2531.965
8.000,2611.089
9.000,2769.337
10.000,3006.709
11.000,3164.957
12.000,3323.205
13.000,3244.081
14.000,3085.833
15.000,2848.461
16.000,2611.089
17.000,2531.965
18.000,2531.965
19.000,2769.337
20.000,3006.709
21.000,3244.081
22.000,3323.205
23.000,3244.081
24.000,3085.833
25.000,2848.461
26.000,2611.089
27.000,2452.842
28.000,2531.965
29.000,2769.337
30.000,3006.709
31.000,3244.081
32.000,3323.205
33.000,3244.081
34.000,3085.833
35.000,2769.337
36.000,2531.965
37.000,2452.842
38.000,2531.965
39.000,2769.337
40.000,3006.709
41.000,3244.081
42.000,3323.205
43.000,3244.081
44.000,3006.709
45.000,2769.337
46.000,2531.965
47.000,2452.842
48.000,2611.089
49.000,2769.337
50.000,3006.709
51.000,3244.081
52.000,3323.205
53.000,3244.081
54.000,3006.709
55.000,2769.337
56.000,2611.089
57.000,2531.965
58.000,2611.089
59.000,2769.337
60.000,3006.709
61.000,3164.957
62.000,3323.205
63.000,3244.081
64.000,3085.833
65.000,2848.461
66.000,2611.089
67.000,2531.965
68.000,2531.965
69.000,2690.213
70.000,3006.709
71.000,3244.081
72.000,3323.205
73.000,3244.081
74.000,3085.833
75.000,2848.461
76.000,2611.089
77.000,2452.842
78.000,2531.965
79.000,2769.337
80.000,3006.709
81.000,3244.081
82.000,3323.205
83.000,3244.081
84.000,3085.833
85.000,2769.337
86.000,2531.965
87.000,2452.842
88.000,2531.965
89.000,2769.337
90.000,3006.709
91.000,3244.081
92.000,3323.205
93.000,3244.081
94.000,3006.709
95.000,2769.337
96.000,2531.965
97.000,2531.965
98.000,2611.089
99.000,2769.337
100.000,3006.709
101.000,3244.081
102.000,3244.081
103.000,3244.081
104.000,3006.709
105.000,2769.337
106.000,2611.089
107.000,2531.965
108.000,2611.089
109.000,2769.337
110.000,3006.709
111.000,3164.957
112.000,3244.081
113.000,3244.081
114.000,3085.833
115.000,2848.461
116.000,2611.089
117.000,2531.965
118.000,2531.965
119.000,2690.213
120.000,3006.709
121.000,3164.957
122.000,3323.205
123.000,3244.081
124.000,3085.833
125.000,2848.461
126.000,2611.089
127.000,2452.842
128.000,2531.965
129.000,2769.337
130.000,3006.709
131.000,3244.081
132.000,3323.205
133.000,3244.081
134.000,3085.833
135.000,2769.337
136.000,2531.965
137.000,2452.842
138.000,2531.965
139.000,2769.337
140.000,3006.709
141.000,3244.081
142.000,3323.205
143.000,3244.081
144.000,3006.709
145.000,2769.337
146.000,2611.089
147.000,2531.965
148.000,2611.089
149.000,2769.337
150.000,3006.709
151.000,3244.081
152.000,3244.081
153.000,3244.081
154.000,3006.709
155.000,2769.337
156.000,2611.089
157.000,2531.965
158.000,2611.089
159.000,2769.337
160.000,3006.709
161.000,3164.957
162.000,3244.081
163.000,3244.081
164.000,3085.833
165.000,2848.461
166.000,2611.089
167.000,2531.965
168.000,2531.965
169.000,2690.213
170.000,3006.709
171.000,3164.957
172.000,3323.205
173.000,3244.081
174.000,3085.833
175.000,2848.461
176.000,2611.089
177.000,2452.842
178.000,2531.965
179.000,2690.213
180.000,3006.709
181.000,3244.081
182.000,3323.205
183.000,3244.081
184.000,3085.833
185.000,2769.337
186.000,2531.965
187.000,2452.842
188.000,2531.965
189.000,2769.337
190.000,3006.709
191.000,3244.081
192.000,3323.205
193.000,3244.081
194.000,3006.709
195.000,2769.337
196.000,2531.965
197.000,2452.842
198.000,2531.965
199.000,2769.337
200.000,3006.709
201.000,3244.081
202.000,3323.205
203.000,3244.081
204.000,3006.709
205.000,2769.337
206.000,2611.089
207.000,2531.965
208.000,2531.965
209.000,2769.337
210.000,3006.709
211.000,3164.957
212.000,3323.205
213.000,3244.081
214.000,3085.833
215.000,2848.461
216.000,2611.089
217.000,2531.965
218.000,2531.965
219.000,2690.213
220.000,2927.585
221.000,3164.957
222.000,3323.205
223.000,3323.205
224.000,3085.833
225.000,2848.461
226.000,2611.089
227.000,2452.842
228.000,2531.965
229.000,2690.213
230.000,3006.709
231.000,3244.081
232.000,3323.205
233.000,3323.205
234.000,3085.833
235.000,2769.337
236.000,2531.965
237.000,2452.842
238.000,2531.965
239.000,2769.337
240.000,3006.709
241.000,3244.081
242.000,3323.205
243.000,3244.081
244.000,3006.709
245.000,2769.337
246.000,2531.965
247.000,2452.842
248.000,2531.965
249.000,2769.337
250.000,3006.709
251.000,3244.081
252.000,3323.205
253.000,3244.081
254.000,3006.709
255.000,2769.337
256.000,2611.089
257.000,2531.965
258.000,2611.089
259.000,2769.337
260.000,3006.709
261.000,3164.957
262.000,3323.205
263.000,3244.081
264.000,3085.833
265.000,2848.461
266.000,2611.089
267.000,2531.965
268.000,2531.965
269.000,2690.213
270.000,3006.709
271.000,3164.957
272.000,3323.205
273.000,3244.081
274.000,3085.833
275.000,2848.461
276.000,2611.089
277.000,2452.842
278.000,2531.965
279.000,2690.213
280.000,3006.709
281.000,3244.081
282.000,3323.205
283.000,3323.205
284.000,3085.833
285.000,2769.337
286.000,2531.965
287.000,2452.842
288.000,2531.965
289.000,2769.337
290.000,3006.709
291.000,3244.081
292.000,3323.205
293.000,3244.081
294.000,3006.709
295.000,2769.337
296.000,2531.965
297.000,2452.842
298.000,2531.965
299.000,2769.337
300.000,3006.709
301.000,3244.081
302.000,3323.205
303.000,3244.081
304.000,3006.709
305.000,2769.337
306.000,2611.089
307.000,2531.965
308.000,2531.965
309.000,2769.337
310.000,3006.709
311.000,3164.957
312.000,3323.205
313.000,3244.081
314.000,3085.833
315.000,2848.461
316.000,2611.089
317.000,2531.965
318.000,2531.965
319.000,2690.213
320.000,3006.709
321.000,3164.957
322.000,3323.205
323.000,3244.081
324.000,3085.833
325.000,2848.461
326.000,2611.089
327.000,2452.842
328.000,2531.965
329.000,2690.213
330.000,3006.709
331.000,3244.081
332.000,3323.205
333.000,3244.081
334.000,3085.833
335.000,2769.337
336.000,2531.965
337.000,2452.842
338.000,2531.965
339.000,2769.337
340.000,3006.709
341.000,3244.081
342.000,3323.205
343.000,3244.081
344.000,3006.709
345.000,2769.337
346.000,2531.965
347.000,2452.842
348.000,2611.089
349.000,2769.337
350.000,3006.709
351.000,3244.081
352.000,3323.205
353.000,3244.081
354.000,3006.709
355.000,2769.337
356.000,2611.089
357.000,2531.965
358.000,2611.089
359.000,2769.337
360.000,3006.709
361.000,3164.957
362.000,3244.081
363.000,3244.081
364.000,3085.833
365.000,2848.461
366.000,2611.089
367.000,2531.965
368.000,2531.965
369.000,2690.213
370.000,3006.709
371.000,3164.957
372.000,3323.205
373.000,3244.081
374.000,3085.833
375.000,2848.461
376.000,2611.089
377.000,2452.842
378.000,2531.965
379.000,2690.213
380.000,3006.709
381.000,3244.081
382.000,3323.205
383.000,3244.081
384.000,3085.833
385.000,2769.337
386.000,2531.965
387.000,2452.842
388.000,2531.965
389.000,2769.337
390.000,3006.709
391.000,3244.081
392.000,3323.205
393.000,3244.081
394.000,3006.709
395.000,2769.337
396.000,2531.965
397.000,2452.842
398.000,2611.089
399.000,2769.337
400.000,3006.709
401.000,3244.081
402.000,3323.205
403.000,3244.081
404.000,3006.709
405.000,2769.337
406.000,2611.089
407.000,2531.965
408.000,2611.089
409.000,2769.337
410.000,3006.709
411.000,3164.957
412.000,3244.081
413.000,3244.081
414.000,3085.833
415.000,2848.461
416.000,2611.089
417.000,2531.965
418.000,2531.965
419.000,2690.213
420.000,3006.709
421.000,3164.957
422.000,3323.205
423.000,3244.081
424.000,3085.833
425.000,2848.461
426.000,2611.089
427.000,2452.842
428.000,2531.965
429.000,2690.213
430.000,3006.709
431.000,3244.081
432.000,3323.205
433.000,3244.081
434.000,3085.833
435.000,2769.337
436.000,2611.089
437.000,2452.842
438.000,2531.965
439.000,2769.337
440.000,3006.709
441.000,3244.081
442.000,3323.205
443.000,3244.081
444.000,3006.709
445.000,2769.337
446.000,2611.089
447.000,2531.965
448.000,2611.089
449.000,2769.337
450.000,3006.709
451.000,3244.081
452.000,3323.205
453.000,3244.081
454.000,3006.709
455.000,2769.337
456.000,2611.089
457.000,2531.965
458.000,2611.089
459.000,2769.337
460.000,3006.709
461.000,3164.957
462.000,3244.081
463.000,3244.081
464.000,3085.833
465.000,2848.461
