Time_ms,Absolute_Displacement_nm
0.000,-395.620
1.000,-712.115
2.000,-1028.611
3.000,-1265.983
4.000,-1345.107
5.000,-1186.859
6.000,-949.487
7.000,-632.991
8.000,-395.620
9.000,-316.496
10.000,-395.620
11.000,-712.115
12.000,-1028.611
13.000,-1265.983
14.000,-1345.107
15.000,-1186.859
16.000,-949.487
17.000,-632.991
18.000,-395.620
19.000,-316.496
20.000,-395.620
21.000,-632.991
22.000,-1028.611
23.000,-1265.983
24.000,-1345.107
25.000,-1265.983
26.000,-949.487
27.000,-632.991
28.000,-395.620
29.000,-316.496
30.000,-395.620
31.000,-712.115
32.000,-1028.611
33.000,-1265.983
34.000,-1345.107
35.000,-1186.859
36.000,-949.487
37.000,-632.991
38.000,-395.620
39.000,-316.496
40.000,-395.620
41.000,-712.115
42.000,-1028.611
43.000,-1265.983
44.000,-1345.107
45.000,-1186.859
46.000,-949.487
47.000,-632.991
48.000,-395.620
49.000,-316.496
50.000,-395.620
51.000,-712.115
52.000,-1028.611
53.000,-1265.983
54.000,-1345.107
55.000,-1186.859
56.000,-949.487
57.000,-632.991
58.000,-395.620
59.000,-316.496
60.000,-395.620
61.000,-632.991
62.000,-1028.611
63.000,-1265.983
64.000,-1345.107
65.000,-1186.859
66.000,-949.487
67.000,-632.991
68.000,-395.620
69.000,-316.496
70.000,-395.620
71.000,-632.991
72.000,-1028.611
73.000,-1265.983
74.000,-1345.107
75.000,-1265.983
76.000,-949.487
77.000,-632.991
78.000,-395.620
79.000,-316.496
80.000,-395.620
81.000,-632.991
82.000,-1028.611
83.000,-1265.983
84.000,-1345.107
85.000,-1265.983
86.000,-949.487
87.000,-632.991
88.000,-395.620
89.000,-316.496
90.000,-395.620
91.000,-712.115
92.000,-1028.611
93.000,-1265.983
94.000,-1345.107
95.000,-1186.859
96.000,-949.487
97.000,-632.991
98.000,-395.620
99.000,-316.496
100.000,-395.620
101.000,-712.115
102.000,-1028.611
103.000,-1265.983
104.000,-1345.107
105.000,-1186.859
106.000,-949.487
107.000,-632.991
108.000,-395.620
109.000,-316.496
110.000,-395.620
111.000,-632.991
112.000,-1028.611
113.000,-1265.983
114.000,-1345.107
115.000,-1186.859
116.000,-949.487
117.000,-632.991
118.000,-395.620
119.000,-316.496
120.000,-395.620
121.000,-632.991
122.000,-1028.611
123.000,-1265.983
124.000,-1345.107
125.000,-1265.983
126.000,-949.487
127.000,-632.991
128.000,-395.620
129.000,-316.496
130.000,-395.620
131.000,-632.991
132.000,-1028.611
133.000,-1265.983
134.000,-1345.107
135.000,-1265.983
136.000,-949.487
137.000,-632.991
138.000,-395.620
139.000,-316.496
140.000,-395.620
141.000,-712.115
142.000,-1028.611
143.000,-1265.983
144.000,-1345.107
145.000,-1186.859
146.000,-949.487
147.000,-632.991
148.000,-395.620
149.000,-316.496
150.000,-395.620
151.000,-712.115
152.000,-1028.611
153.000,-1265.983
154.000,-1345.107
155.000,-1186.859
156.000,-949.487
157.000,-632.991
158.000,-395.620
159.000,-316.496
160.000,-395.620
161.000,-632.991
162.000,-949.487
163.000,-1265.983
164.000,-1345.107
165.000,-1265.983
166.000,-949.487
167.000,-632.991
168.000,-395.620
169.000,-316.496
170.000,-395.620
171.000,-632.991
172.000,-1028.611
173.000,-1265.983
174.000,-1345.107
175.000,-1265.983
176.000,-949.487
177.000,-632.991
178.000,-395.620
179.000,-316.496
180.000,-395.620
181.000,-632.991
182.000,-1028.611
183.000,-1265.983
184.000,-1345.107
185.000,-1265.983
186.000,-949.487
187.000,-632.991
188.000,-395.620
189.000,-316.496
190.000,-395.620
191.000,-712.115
192.000,-1028.611
193.000,-1265.983
194.000,-1345.107
195.000,-1186.859
196.000,-949.487
197.000,-632.991
198.000,-395.620
199.000,-316.496
200.000,-395.620
201.000,-712.115
202.000,-1028.611
203.000,-1265.983
204.000,-1345.107
205.000,-1186.859
206.000,-949.487
207.000,-632.991
208.000,-395.620
209.000,-316.496
210.000,-395.620
211.000,-632.991
212.000,-949.487
213.000,-1265.983
214.000,-1345.107
215.000,-1265.983
216.000,-949.487
217.000,-632.991
218.000,-395.620
219.000,-316.496
220.000,-395.620
221.000,-632.991
222.000,-949.487
223.000,-1265.983
224.000,-1345.107
225.000,-1265.983
226.000,-949.487
227.000,-632.991
228.000,-395.620
229.000,-316.496
230.000,-395.620
231.000,-632.991
232.000,-1028.611
233.000,-1265.983
234.000,-1345.107
235.000,-1265.983
236.000,-949.487
237.000,-632.991
238.000,-395.620
239.000,-316.496
240.000,-395.620
241.000,-712.115
242.000,-1028.611
243.000,-1265.983
244.000,-1345.107
245.000,-1186.859
246.000,-949.487
247.000,-632.991
248.000,-395.620
249.000,-316.496
250.000,-395.620
251.000,-712.115
252.000,-1028.611
253.000,-1265.983
254.000,-1345.107
255.000,-1186.859
256.000,-949.487
257.000,-632.991
258.000,-395.620
259.000,-316.496
260.000,-395.620
261.000,-632.991
262.000,-949.487
263.000,-1265.983
264.000,-1345.107
265.000,-1265.983
266.000,-949.487
267.000,-632.991
268.000,-395.620
269.000,-316.496
270.000,-395.620
271.000,-632.991
272.000,-949.487
273.000,-1265.983
274.000,-1345.107
275.000,-1265.983
276.000,-949.487
277.000,-632.991
278.000,-395.620
279.000,-316.496
280.000,-395.620
281.000,-632.991
282.000,-1028.611
283.000,-1265.983
284.000,-1345.107
285.000,-1265.983
286.000,-949.487
287.000,-632.991
288.000,-395.620
289.000,-316.496
290.000,-395.620
291.000,-712.115
292.000,-1028.611
293.000,-1265.983
294.000,-1345.107
295.000,-1186.859
296.000,-949.487
297.000,-632.991
298.000,-395.620
299.000,-316.496
300.000,-395.620
301.000,-712.115
302.000,-1028.611
303.000,-1265.983
304.000,-1345.107
305.000,-1186.859
306.000,-949.487
307.000,-632.991
308.000,-395.620
309.000,-316.496
310.000,-395.620
311.000,-632.991
312.000,-949.487
313.000,-1265.983
314.000,-1345.107
315.000,-1265.983
316.000,-949.487
317.000,-632.991
318.000,-395.620
319.000,-316.496
320.000,-395.620
321.000,-632.991
322.000,-949.487
323.000,-1265.983
324.000,-1345.107
325.000,-1265.983
326.000,-949.487
327.000,-632.991
328.000,-395.620
329.000,-316.496
330.000,-395.620
331.000,-632.991
332.000,-1028.611
333.000,-1265.983
334.000,-1345.107
335.000,-1265.983
336.000,-949.487
337.000,-632.991
338.000,-395.620
339.000,-316.496
340.000,-395.620
341.000,-632.991
342.000,-1028.611
343.000,-1265.983
344.000,-1345.107
345.000,-1186.859
346.000,-949.487
347.000,-632.991
