Time_ms,Absolute_Displacement_nm
0.000,-997204716.959
1.000,-997204796.083
2.000,-997204716.959
3.000,-997204716.959
4.000,-997204637.835
5.000,-997204637.835
6.000,-997204637.835
7.000,-997204716.959
8.000,-997204716.959
9.000,-997204716.959
10.000,-997204716.959
11.000,-997204716.959
12.000,-997204716.959
13.000,-997204637.835
14.000,-997204637.835
15.000,-997204716.959
16.000,-997204716.959
17.000,-997204716.959
18.000,-997204716.959
19.000,-997204716.959
20.000,-997204716.959
21.000,-997204716.959
22.000,-997204716.959
23.000,-997204716.959
24.000,-997204716.959
25.000,-997204716.959
26.000,-997204716.959
27.000,-997204716.959
28.000,-997204716.959
29.000,-997204716.959
30.000,-997204637.835
31.000,-997204716.959
32.000,-997204716.959
33.000,-997204716.959
34.000,-997204716.959
35.000,-997204716.959
36.000,-997204716.959
37.000,-997204716.959
38.000,-997204637.835
39.000,-997204716.959
40.000,-997204716.959
41.000,-997204716.959
42.000,-997204796.083
43.000,-997204716.959
44.000,-997204716.959
45.000,-997204716.959
46.000,-997204637.835
47.000,-997204637.835
48.000,-997204716.959
49.000,-997204716.959
50.000,-997204796.083
51.000,-997204796.083
52.000,-997204716.959
53.000,-997204716.959
54.000,-997204637.835
55.000,-997204637.835
56.000,-997204716.959
57.000,-997204716.959
58.000,-997204796.083
59.000,-997204796.083
60.000,-997204796.083
61.000,-997204716.959
62.000,-997204716.959
63.000,-997204637.835
64.000,-997204637.835
65.000,-997204716.959
66.000,-997204716.959
67.000,-997204796.083
68.000,-997204796.083
69.000,-997204716.959
70.000,-997204716.959
71.000,-997204716.959
72.000,-997204637.835
73.000,-997204716.959
74.000,-997204716.959
75.000,-997204716.959
76.000,-997204796.083
77.000,-997204716.959
78.000,-997204716.959
79.000,-997204716.959
80.000,-997204637.835
81.000,-997204716.959
82.000,-997204716.959
83.000,-997204716.959
84.000,-997204716.959
85.000,-997204716.959
86.000,-997204716.959
87.000,-997204716.959
88.000,-997204716.959
89.000,-997204716.959
90.000,-997204716.959
91.000,-997204716.959
92.000,-997204796.083
93.000,-997204716.959
94.000,-997204716.959
95.000,-997204716.959
96.000,-997204637.835
97.000,-997204716.959
98.000,-997204716.959
99.000,-997204716.959
100.000,-997204796.083
101.000,-997204796.083
102.000,-997204716.959
103.000,-997204716.959
104.000,-997204637.835
105.000,-997204637.835
106.000,-997204716.959
107.000,-997204716.959
108.000,-997204796.083
109.000,-997204796.083
110.000,-997204796.083
